symbol,exchange,raw_exists,qfq_exists,issues,raw_rows,raw_first,raw_last,qfq_rows,qfq_first,qfq_last,trade_days,suspended_days,st_days,issue_count
000001.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000002.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000004.SZ,SZ,True,True,,2067,2018-01-02,2026-07-13,2067,2018-01-02,2026-07-13,2067,65,555,0
000005.SZ,SZ,True,True,,1533,2018-01-02,2024-04-26,1533,2018-01-02,2024-04-26,1533,37,724,0
000006.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,42,0,0
000007.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,57,563,0
000008.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,60,0,0
000009.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000010.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,3,393,0
000011.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000012.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000014.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000016.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,30,93,0
000017.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,277,0
000018.SZ,SZ,True,True,,491,2018-01-02,2020-01-07,491,2018-01-02,2020-01-07,491,28,138,0
000019.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,68,0,0
000020.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000021.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
