symbol,raw_exists,qfq_exists,issues,raw_rows,raw_first,raw_last,qfq_rows,qfq_first,qfq_last,trade_days,suspended_days,st_days,issue_count
601868.SH,True,True,,1202,2021-09-28,2026-09-11,1202,2021-09-28,2026-09-11,1202,0,0,0
601330.SH,True,True,,2006,2018-06-11,2026-09-11,2006,2018-06-11,2026-09-11,2006,0,0,0
603402.SH,True,True,,168,2026-01-06,2026-09-11,168,2026-01-06,2026-09-11,168,0,0,0
600109.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
603107.SH,True,True,,697,2023-11-01,2026-09-11,697,2023-11-01,2026-09-11,697,0,0,0
603335.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
603500.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
600391.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
600309.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,106,0,0
600328.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,27,0,0
600302.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,6,92,0
603788.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
600016.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
601998.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
600192.SH,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
001232.SZ,True,True,,29,2026-08-04,2026-09-11,29,2026-08-04,2026-09-11,29,0,0,0
002590.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
002129.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,16,0,0
002265.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,11,0,0
000888.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000987.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,11,0,0
002848.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,5,264,0
002315.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000507.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,3,0,0
000023.SZ,True,True,,1620,2018-01-02,2024-09-02,1620,2018-01-02,2024-09-02,1620,30,325,0
003016.SZ,True,True,,1430,2020-10-26,2026-09-11,1430,2020-10-26,2026-09-11,1430,0,0,0
000921.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
002327.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
002892.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000595.SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,21,667,0
