date,pool_a,pool_b,pool_c
2018-01-02,2529,0,0
2018-01-03,2536,0,0
2018-01-04,2537,0,0
2018-01-05,2537,0,0
2018-01-08,2536,0,0
2018-01-09,2538,0,0
2018-01-10,2539,0,0
2018-01-11,2540,0,0
2018-01-12,2538,0,0
2018-01-15,2545,0,0
2018-01-16,2547,0,0
2018-01-17,2542,0,0
2018-01-18,2542,0,0
2018-01-19,2546,0,0
2018-01-22,2543,0,0
2018-01-23,2540,0,0
2018-01-24,2543,0,0
2018-01-25,2536,0,0
2018-01-26,2532,0,0
2018-01-29,2527,0,0
2018-01-30,2528,0,0
2018-01-31,2526,0,0
2018-02-01,2524,0,0
2018-02-02,2497,0,0
2018-02-05,2463,0,0
2018-02-06,2456,0,0
2018-02-07,2449,0,0
2018-02-08,2442,0,0
2018-02-09,2447,0,0
2018-02-12,2459,0,0
2018-02-13,2463,0,0
2018-02-14,2470,0,0
2018-02-22,2476,0,0
2018-02-23,2477,0,0
2018-02-26,2492,0,0
2018-02-27,2498,0,0
2018-02-28,2496,0,0
2018-03-01,2494,0,0
2018-03-02,2503,0,0
2018-03-05,2498,0,0
2018-03-06,2502,0,0
2018-03-07,2506,0,0
2018-03-08,2505,0,0
2018-03-09,2509,0,0
2018-03-12,2510,0,0
2018-03-13,2508,0,0
2018-03-14,2508,0,0
2018-03-15,2517,0,0
2018-03-16,2518,0,0
2018-03-19,2519,0,0
2018-03-20,2519,0,0
2018-03-21,2522,0,0
2018-03-22,2522,0,0
2018-03-23,2521,0,0
2018-03-26,2520,0,0
2018-03-27,2515,0,0
2018-03-28,2512,0,0
2018-03-29,2511,0,0
2018-03-30,2516,0,0
2018-04-02,2517,0,0
2018-04-03,2519,0,0
2018-04-04,2521,0,0
2018-04-09,2516,0,0
2018-04-10,2521,0,0
2018-04-11,2525,0,0
2018-04-12,2528,0,0
2018-04-13,2530,0,0
2018-04-16,2528,0,0
2018-04-17,2525,0,0
2018-04-18,2521,0,0
2018-04-19,2525,0,0
2018-04-20,2522,0,0
2018-04-23,2523,0,0
2018-04-24,2519,0,0
2018-04-25,2522,0,0
2018-04-26,2520,0,0
2018-04-27,2522,0,0
2018-05-02,2517,0,0
2018-05-03,2517,0,0
2018-05-04,2518,0,0
2018-05-07,2523,0,0
2018-05-08,2526,0,0
2018-05-09,2529,0,0
2018-05-10,2534,0,0
2018-05-11,2538,0,0
2018-05-14,2541,0,0
2018-05-15,2540,0,0
2018-05-16,2545,0,0
2018-05-17,2549,0,0
2018-05-18,2549,0,0
2018-05-21,2547,0,0
2018-05-22,2548,0,0
2018-05-23,2548,0,0
2018-05-24,2546,0,0
2018-05-25,2549,0,0
2018-05-28,2557,0,0
2018-05-29,2555,0,0
2018-05-30,2552,0,0
2018-05-31,2548,0,0
2018-06-01,2548,0,0
2018-06-04,2552,0,0
2018-06-05,2554,0,0
2018-06-06,2551,0,0
2018-06-07,2546,0,0
2018-06-08,2545,0,0
2018-06-11,2546,0,0
2018-06-12,2546,0,0
2018-06-13,2548,0,0
2018-06-14,2545,0,0
2018-06-15,2540,0,0
2018-06-19,2530,0,0
2018-06-20,2533,0,0
2018-06-21,2534,0,0
2018-06-22,2538,0,0
2018-06-25,2542,0,0
2018-06-26,2545,0,0
2018-06-27,2551,0,0
2018-06-28,2556,0,0
2018-06-29,2561,0,0
2018-07-02,2567,277,143
2018-07-03,2574,283,150
2018-07-04,2574,302,158
2018-07-05,2577,316,162
2018-07-06,2576,310,158
2018-07-09,2584,285,145
2018-07-10,2588,288,148
2018-07-11,2588,290,150
2018-07-12,2587,251,121
2018-07-13,2592,256,126
2018-07-16,2599,272,138
2018-07-17,2599,258,135
2018-07-18,2598,267,135
2018-07-19,2599,262,134
2018-07-20,2602,270,137
2018-07-23,2603,281,152
2018-07-24,2603,281,153
2018-07-25,2604,268,146
2018-07-26,2604,291,156
2018-07-27,2604,297,161
2018-07-30,2606,315,163
2018-07-31,2610,306,151
2018-08-01,2613,320,158
2018-08-02,2614,311,161
2018-08-03,2617,331,168
2018-08-06,2620,351,172
2018-08-07,2623,318,155
2018-08-08,2622,323,161
2018-08-09,2624,309,153
2018-08-10,2623,299,144
2018-08-13,2623,270,134
2018-08-14,2623,289,136
2018-08-15,2625,306,144
2018-08-16,2625,323,152
2018-08-17,2629,339,163
2018-08-20,2631,315,147
2018-08-21,2633,287,135
2018-08-22,2633,281,131
2018-08-23,2633,261,118
2018-08-24,2637,258,119
2018-08-27,2641,225,111
2018-08-28,2645,234,117
2018-08-29,2645,231,111
2018-08-30,2647,229,104
2018-08-31,2650,234,107
2018-09-03,2652,212,98
2018-09-04,2653,205,97
2018-09-05,2654,206,97
2018-09-06,2652,201,98
2018-09-07,2649,194,99
2018-09-10,2650,202,104
2018-09-11,2651,191,92
2018-09-12,2652,197,96
2018-09-13,2657,191,96
2018-09-14,2659,211,109
2018-09-17,2658,210,108
2018-09-18,2661,201,103
2018-09-19,2661,197,102
2018-09-20,2663,198,104
2018-09-21,2665,197,104
2018-09-25,2669,179,90
2018-09-26,2672,182,92
2018-09-27,2673,193,97
2018-09-28,2672,184,98
2018-10-08,2672,213,109
2018-10-09,2678,207,104
2018-10-10,2683,208,110
2018-10-11,2683,239,125
2018-10-12,2687,249,129
2018-10-15,2685,263,135
2018-10-16,2687,263,136
2018-10-17,2688,258,132
2018-10-18,2685,267,130
2018-10-19,2682,252,121
2018-10-22,2677,223,96
2018-10-23,2678,244,108
2018-10-24,2678,265,119
2018-10-25,2674,239,103
2018-10-26,2677,267,121
2018-10-29,2682,272,124
2018-10-30,2685,267,117
2018-10-31,2683,263,122
2018-11-01,2685,258,111
2018-11-02,2688,248,102
2018-11-05,2697,219,90
2018-11-06,2698,245,104
2018-11-07,2700,276,115
2018-11-08,2702,277,119
2018-11-09,2704,278,124
2018-11-12,2708,238,107
2018-11-13,2710,221,95
2018-11-14,2711,245,110
2018-11-15,2716,204,87
2018-11-16,2719,210,92
2018-11-19,2721,226,105
2018-11-20,2720,271,125
2018-11-21,2721,263,124
2018-11-22,2726,249,118
2018-11-23,2727,327,158
2018-11-26,2726,317,152
2018-11-27,2726,307,146
2018-11-28,2732,291,139
2018-11-29,2732,333,159
2018-11-30,2733,322,150
2018-12-03,2733,258,119
2018-12-04,2734,240,112
2018-12-05,2736,258,115
2018-12-06,2735,294,136
2018-12-07,2738,297,130
2018-12-10,2740,298,132
2018-12-11,2737,268,117
2018-12-12,2740,250,111
2018-12-13,2740,229,98
2018-12-14,2740,259,116
2018-12-17,2739,235,110
2018-12-18,2738,217,106
2018-12-19,2738,216,107
2018-12-20,2740,202,98
2018-12-21,2738,197,97
2018-12-24,2738,192,92
2018-12-25,2733,200,96
2018-12-26,2732,187,91
2018-12-27,2732,204,101
2018-12-28,2736,197,101
