symbol,pool_a_days,pool_b_days,pool_c_days
000001.SZ,2111,38,0
000002.SZ,2111,589,0
000004.SZ,1484,271,0
000005.SZ,808,12,0
000006.SZ,2069,648,0
000007.SZ,1493,141,0
000008.SZ,2051,495,0
000009.SZ,2111,685,0
000010.SZ,1716,130,0
000011.SZ,2111,325,0
000012.SZ,2111,591,0
000014.SZ,2111,452,0
000016.SZ,1998,498,0
000017.SZ,1833,316,0
000018.SZ,342,29,0
000019.SZ,2043,308,0
000020.SZ,2111,124,0
000021.SZ,2111,912,0
000022.SZ,109,0,0
000023.SZ,1293,3,0
000025.SZ,2111,733,0
000026.SZ,2111,226,0
000027.SZ,2111,187,0
000028.SZ,2111,276,0
000029.SZ,1420,94,0
000030.SZ,2111,106,0
000031.SZ,2036,190,0
000032.SZ,2099,642,0
000034.SZ,2019,1136,0
000035.SZ,1980,500,0
000036.SZ,2111,279,0
000037.SZ,2108,411,0
000038.SZ,941,151,0
000039.SZ,2106,656,0
000040.SZ,1520,585,0
000042.SZ,2086,48,0
000043.SZ,464,4,0
000045.SZ,2098,271,0
000046.SZ,1236,86,0
000048.SZ,1757,301,0
000049.SZ,2105,1000,0
000050.SZ,2111,625,0
000055.SZ,2111,103,0
000056.SZ,1948,437,0
000058.SZ,2111,540,0
000059.SZ,2111,695,0
000060.SZ,2111,738,0
000061.SZ,2101,290,0
000062.SZ,2101,315,0
000063.SZ,2071,1106,0
000065.SZ,2105,733,0
000066.SZ,2111,1082,0
000068.SZ,2111,214,0
000069.SZ,2111,263,0
000070.SZ,1829,628,0
000078.SZ,2018,414,0
000088.SZ,2095,58,0
000089.SZ,2111,209,0
000090.SZ,2106,526,0
000096.SZ,2111,141,0
000099.SZ,2111,594,0
000100.SZ,2110,1084,0
000150.SZ,1049,213,0
000151.SZ,2101,561,0
000153.SZ,2101,260,0
000155.SZ,2090,640,0
000156.SZ,1987,312,0
000157.SZ,2111,386,0
000158.SZ,2102,1072,0
000159.SZ,2111,498,0
000166.SZ,2111,14,0
000301.SZ,2086,162,0
000333.SZ,2071,0,0
000338.SZ,2111,1046,0
000400.SZ,2111,1240,0
000401.SZ,2070,444,0
000402.SZ,2111,383,0
000403.SZ,1882,444,0
000404.SZ,2111,371,0
000407.SZ,2101,255,0
000408.SZ,1833,219,0
000409.SZ,1394,479,0
000410.SZ,1154,300,0
000411.SZ,2100,277,0
000413.SZ,1520,717,0
000415.SZ,1992,501,0
000416.SZ,1290,263,0
000417.SZ,2111,369,0
000418.SZ,294,0,0
000419.SZ,2111,187,0
000420.SZ,2086,601,0
000421.SZ,2101,286,0
000422.SZ,1343,784,0
000423.SZ,2111,495,0
000425.SZ,2088,787,0
000426.SZ,2062,919,0
000428.SZ,2111,378,0
000429.SZ,2111,111,0
000430.SZ,1850,163,0
000488.SZ,1728,683,0
000498.SZ,2100,389,0
000501.SZ,2111,612,0
000502.SZ,799,0,0
000503.SZ,2091,1042,0
000504.SZ,1346,19,0
000505.SZ,2105,476,0
000506.SZ,1759,495,0
000507.SZ,2108,367,0
000509.SZ,1487,174,0
000510.SZ,2101,349,0
000511.SZ,30,0,0
000513.SZ,2111,937,0
000514.SZ,2111,220,0
000516.SZ,1984,674,0
000517.SZ,2111,213,0
000518.SZ,1857,257,0
000519.SZ,2111,1291,0
000520.SZ,2111,364,0
000521.SZ,2109,614,0
000523.SZ,1797,151,0
000524.SZ,2101,423,0
000525.SZ,1115,330,0
000526.SZ,1919,439,0
000528.SZ,2090,1001,0
000529.SZ,2111,152,0
000530.SZ,2111,479,0
000531.SZ,2111,219,0
000532.SZ,2111,616,0
000533.SZ,2072,287,0
000534.SZ,2005,235,0
000536.SZ,1862,639,0
000537.SZ,2111,381,0
000538.SZ,2060,306,0
000539.SZ,2111,523,0
000540.SZ,1050,223,0
000541.SZ,2111,274,0
000543.SZ,2100,780,0
000544.SZ,2111,99,0
000545.SZ,1996,360,0
000546.SZ,2025,521,0
000547.SZ,2053,1070,0
000548.SZ,2111,97,0
000550.SZ,2111,613,0
000551.SZ,2111,261,0
000552.SZ,2090,554,0
000553.SZ,2111,40,0
000554.SZ,2111,389,0
000555.SZ,2106,1052,0
000557.SZ,2097,158,0
000558.SZ,2096,561,0
000559.SZ,2101,323,0
