year,exchange,pool,horizon,samples,positives,positive_unbuyable,positive_rate,positive_unbuyable_rate
2018,SH,pool_a,40,322551,21516,467,0.06670573025661058,0.021704777839747166
2018,SH,pool_a,60,322532,39891,484,0.12368075105725944,0.012133062595572936
2018,SH,pool_b,40,13530,614,0,0.04538063562453806,0.0
2018,SH,pool_b,60,13530,1791,0,0.13237250554323726,0.0
2018,SH,pool_c,40,2719,67,0,0.024641412283927914,0.0
2018,SH,pool_c,60,2719,210,0,0.07723427730783376,0.0
2018,SZ,pool_a,40,308386,25526,335,0.08277288852282529,0.013123873697406566
2018,SZ,pool_a,60,308360,45191,355,0.146552730574653,0.007855546458365604
2018,SZ,pool_b,40,18073,1155,3,0.06390748630553865,0.0025974025974025974
2018,SZ,pool_b,60,18072,2993,5,0.16561531651173086,0.001670564650851988
2018,SZ,pool_c,40,12546,796,2,0.06344651681810935,0.002512562814070352
2018,SZ,pool_c,60,12546,2087,3,0.16634783994898772,0.0014374700527072352
2019,SH,pool_a,40,343883,55505,527,0.16140664121227277,0.009494640122511486
2019,SH,pool_a,60,343883,78365,550,0.2278827391874562,0.007018439354303579
2019,SH,pool_b,40,39582,5834,18,0.14739022788136022,0.0030853616729516627
2019,SH,pool_b,60,39582,7930,20,0.20034359052094386,0.0025220680958385876
2019,SH,pool_c,40,8355,1655,3,0.1980849790544584,0.0018126888217522659
2019,SH,pool_c,60,8355,2421,5,0.28976660682226213,0.0020652622883106154
2019,SZ,pool_a,40,323668,61881,459,0.19118664804676397,0.0074174625490861495
2019,SZ,pool_a,60,323628,86079,482,0.26598131187659907,0.005599507429221994
2019,SZ,pool_b,40,47698,9091,9,0.19059499350077572,0.000989990100098999
2019,SZ,pool_b,60,47698,12585,13,0.2638475407773911,0.0010329757647993642
2019,SZ,pool_c,40,33043,6643,5,0.20104106769966407,0.0007526719855486979
2019,SZ,pool_c,60,33043,9333,9,0.28245014072572106,0.0009643201542912247
2020,SH,pool_a,40,349648,60481,646,0.17297682240424656,0.010681040326714174
2020,SH,pool_a,60,349628,87744,665,0.2509638816113126,0.0075788657913931435
2020,SH,pool_b,40,60610,11363,24,0.18747731397459166,0.002112118278623603
2020,SH,pool_b,60,60610,16200,24,0.2672826266292691,0.0014814814814814814
2020,SH,pool_c,40,16399,3867,9,0.2358070614061833,0.0023273855702094647
2020,SH,pool_c,60,16399,5301,9,0.32325141776937616,0.001697792869269949
2020,SZ,pool_a,40,320026,58639,550,0.18323198740102367,0.009379423250737564
2020,SZ,pool_a,60,320014,84071,575,0.2627103814208128,0.006839457125524854
2020,SZ,pool_b,40,75847,13787,15,0.18177383416615028,0.0010879814317835642
2020,SZ,pool_b,60,75847,19778,20,0.2607617967750867,0.0010112245929821014
2020,SZ,pool_c,40,53365,9812,11,0.1838658296636372,0.0011210762331838565
2020,SZ,pool_c,60,53365,14020,14,0.2627190105874637,0.0009985734664764623
2021,SH,pool_a,40,372690,63399,516,0.17011188923770426,0.008138929636114135
2021,SH,pool_a,60,372651,91302,541,0.24500672210728,0.0059253904624214145
2021,SH,pool_b,40,65787,12167,12,0.18494535394530834,0.0009862743486479823
2021,SH,pool_b,60,65787,17180,13,0.2611458190827975,0.0007566938300349244
2021,SH,pool_c,40,15793,3020,1,0.19122395998227062,0.00033112582781456954
2021,SH,pool_c,60,15793,4265,2,0.27005635408092193,0.0004689331770222743
2021,SZ,pool_a,40,333350,59150,483,0.1774411279436028,0.008165680473372782
2021,SZ,pool_a,60,333350,85187,506,0.25554822258887055,0.005939873454869874
2021,SZ,pool_b,40,73467,13146,23,0.17893748213483604,0.0017495816217860947
2021,SZ,pool_b,60,73467,18391,26,0.25033008017205005,0.0014137349790658475
2021,SZ,pool_c,40,49581,8839,11,0.17827393558016175,0.0012444846702115624
2021,SZ,pool_c,60,49581,12463,12,0.25136645085819165,0.0009628500361068764
2022,SH,pool_a,40,387139,47249,327,0.122046603416344,0.006920781392198777
2022,SH,pool_a,60,387139,68317,335,0.1764663337974216,0.004903611107045099
2022,SH,pool_b,40,83021,10050,16,0.12105370930246565,0.0015920398009950248
2022,SH,pool_b,60,83021,14417,18,0.17365485840931813,0.0012485260456405632
2022,SH,pool_c,40,22542,2937,4,0.1302901250998137,0.001361933946203609
2022,SH,pool_c,60,22542,4298,4,0.1906663117735782,0.0009306654257794323
2022,SZ,pool_a,40,341094,59269,555,0.17376148510381303,0.009364085778400175
2022,SZ,pool_a,60,341084,83704,582,0.2454058237853432,0.006953072732485903
2022,SZ,pool_b,40,98513,13937,23,0.1414737141290997,0.0016502834182392193
2022,SZ,pool_b,60,98513,20073,27,0.20375990985961243,0.00134509041996712
2022,SZ,pool_c,40,65807,9462,18,0.14378409591684777,0.0019023462270133164
2022,SZ,pool_c,60,65807,13741,21,0.20880757366237634,0.0015282730514518594
2023,SH,pool_a,40,395833,30507,184,0.0770703806908469,0.006031402628904841
2023,SH,pool_a,60,395782,46796,192,0.11823680713119848,0.004102914779040944
2023,SH,pool_b,40,65907,5062,6,0.07680519519929598,0.001185302252074279
2023,SH,pool_b,60,65889,7389,6,0.11214314984291764,0.0008120178643930166
2023,SH,pool_c,40,22962,2104,4,0.09162964898528003,0.0019011406844106464
2023,SH,pool_c,60,22962,2975,4,0.12956188485323578,0.0013445378151260505
2023,SZ,pool_a,40,348506,25837,210,0.07413645676114615,0.00812787862367922
2023,SZ,pool_a,60,348447,37816,217,0.10852726526559275,0.005738311825682251
2023,SZ,pool_b,40,89344,7495,15,0.08388923710601719,0.0020013342228152103
2023,SZ,pool_b,60,89327,10561,16,0.11822853112720678,0.0015150080484802575
2023,SZ,pool_c,40,63418,5337,12,0.08415591787820492,0.0022484541877459247
2023,SZ,pool_c,60,63418,7529,12,0.11872023715664322,0.00159383716296985
2024,SH,pool_a,40,398593,82897,480,0.2079740487163598,0.0057903181056009265
2024,SH,pool_a,60,398504,116168,503,0.2915102483287495,0.004329935954824048
2024,SH,pool_b,40,60685,11785,12,0.19419955507950895,0.0010182435299109036
2024,SH,pool_b,60,60670,16511,13,0.27214438767100707,0.0007873538852885954
2024,SH,pool_c,40,20079,4982,2,0.24811992629114996,0.0004014452027298274
2024,SH,pool_c,60,20079,6822,2,0.3397579560735096,0.0002931691586045148
2024,SZ,pool_a,40,346290,80964,484,0.23380403707874903,0.00597796551553777
2024,SZ,pool_a,60,346230,111307,508,0.3214828293331023,0.004563953749539561
2024,SZ,pool_b,40,66110,14650,18,0.22160036303131145,0.0012286689419795222
2024,SZ,pool_b,60,66065,20103,18,0.30429122833572997,0.0008953887479480674
2024,SZ,pool_c,40,42867,10011,12,0.23353628665406956,0.001198681450404555
2024,SZ,pool_c,60,42851,13722,12,0.32022589904552984,0.0008745080891998251
2025,SH,pool_a,40,399330,64102,374,0.1605238774948038,0.00583445134317182
2025,SH,pool_a,60,399248,96790,398,0.24243076984731296,0.0041119950408100014
2025,SH,pool_b,40,112220,20058,30,0.17873819283550169,0.0014956625785222854
2025,SH,pool_b,60,112175,29995,34,0.26739469578783154,0.0011335222537089515
2025,SH,pool_c,40,43848,8751,15,0.19957580733442803,0.0017140898183064792
2025,SH,pool_c,60,43848,12630,16,0.28804050355774496,0.001266825019794141
2025,SZ,pool_a,40,342809,61368,413,0.17901513670877953,0.006729891800286794
2025,SZ,pool_a,60,342809,92528,432,0.2699112333690189,0.00466885699463946
2025,SZ,pool_b,40,129218,24267,38,0.18779891346406846,0.0015659125561462068
2025,SZ,pool_b,60,129218,36352,44,0.28132303549041154,0.0012103873239436619
2025,SZ,pool_c,40,88736,17212,33,0.19396862603678328,0.0019172670230072043
2025,SZ,pool_c,60,88736,25602,36,0.2885187522538767,0.0014061401453011485
2026,SH,pool_a,40,211037,28173,154,0.13349791742680195,0.0054662265289461545
2026,SH,pool_a,60,178522,31223,143,0.17489721154815652,0.0045799570829196425
2026,SH,pool_b,40,75201,10512,17,0.13978537519447878,0.0016171993911719938
2026,SH,pool_b,60,63393,11680,17,0.1842474721183727,0.0014554794520547946
2026,SH,pool_c,40,29768,5064,8,0.17011556033324376,0.001579778830963665
2026,SH,pool_c,60,25169,5936,9,0.23584568318169177,0.0015161725067385444
2026,SZ,pool_a,40,181349,25050,138,0.13813144820208548,0.005508982035928144
2026,SZ,pool_a,60,153180,27818,130,0.1816033424729077,0.004673233158386656
2026,SZ,pool_b,40,80942,10743,21,0.13272466704553879,0.001954761239877129
2026,SZ,pool_b,60,68645,12263,20,0.17864374681331488,0.0016309222865530458
2026,SZ,pool_c,40,55219,7437,8,0.13468190296818125,0.0010757025682398816
2026,SZ,pool_c,60,47040,8589,8,0.1825892857142857,0.0009314239143089998
