strategy,start,end,initial_cash,final_equity,total_return,annualized_return,max_drawdown,sharpe,closed_trades,win_rate,mean_trade_return,period
baseline1-2,2020-01-02,2020-12-31,1000000.0,850290.0812835081,-0.14970991871649186,-0.15018333805165696,-0.2529207836227737,-0.40266419770785034,246,0.34959349593495936,-0.012711766126841844,2020
baseline3-1,2020-01-02,2020-12-31,1000000.0,881223.3902262581,-0.11877660977374194,-0.11915916928217052,-0.21764032756200513,-0.268366989428931,234,0.36324786324786323,-0.014468527863366222,2020
baseline2-2,2020-01-02,2020-12-31,1000000.0,950035.4800203281,-0.049964519979671884,-0.05013172699742485,-0.22336007062844454,-0.07878433313769893,195,0.37948717948717947,-0.010997504194622592,2020
baseline1-2,2021-01-04,2021-12-31,1000000.0,1413737.0243079546,0.41373702430795456,0.4195114491302576,-0.1585938620152001,1.4599618854632654,234,0.4230769230769231,0.014170368740282116,2021
baseline3-1,2021-01-04,2021-12-31,1000000.0,1374890.063007192,0.3748900630071921,0.38005305135613354,-0.1725119792871066,1.3636874174423457,230,0.3782608695652174,0.015675967472201697,2021
baseline2-2,2021-01-04,2021-12-31,1000000.0,1398643.43595631,0.39864343595631,0.4041787575131963,-0.11765934175006987,1.6990021156409052,211,0.44075829383886256,0.023579566095905273,2021
baseline1-2,2022-01-04,2022-12-30,1000000.0,887561.5235133398,-0.11243847648666017,-0.11398101460961907,-0.3827200614390941,-0.2691687829994551,247,0.3603238866396761,-0.0023365005371968526,2022
baseline3-1,2022-01-04,2022-12-30,1000000.0,991182.455039084,-0.008817544960916024,-0.008945557296899609,-0.38746320511614696,0.11806472273273584,219,0.365296803652968,0.002031007151797381,2022
baseline2-2,2022-01-04,2022-12-30,1000000.0,1226158.2749293402,0.22615827492934026,0.22980948146120217,-0.1767805044262878,0.9531430114219663,215,0.4,0.013425773383706758,2022
baseline1-2,2023-01-03,2023-12-29,1000000.0,1527769.576034864,0.527769576034864,0.537241266353452,-0.10747913246890628,2.2726273249497098,200,0.47,0.015052528764499822,2023
baseline3-1,2023-01-03,2023-12-29,1000000.0,1381160.590959644,0.38116059095964405,0.38768024462314843,-0.09556843886098232,1.8179092074982348,183,0.4644808743169399,0.014768770047556093,2023
baseline2-2,2023-01-03,2023-12-29,1000000.0,1028614.4362041518,0.028614436204151827,0.029037731308281245,-0.22377944603984,0.252486410472466,196,0.3979591836734694,-0.001541335040758606,2023
baseline1-2,2024-01-02,2024-12-31,1000000.0,1084325.2045088601,0.08432520450886005,0.08462670469536326,-0.3784508418472565,0.4126819247494581,284,0.39436619718309857,0.014770065089844015,2024
baseline3-1,2024-01-02,2024-12-31,1000000.0,1036065.8752019202,0.03606587520192006,0.03619194251446278,-0.3784508418472565,0.3016892236670737,280,0.34285714285714286,0.0064508803852587485,2024
baseline2-2,2024-01-02,2024-12-31,1000000.0,1190770.7245154204,0.19077072451542043,0.19148491346576857,-0.26220037788821104,0.718075045101207,233,0.3605150214592275,0.009556123300301879,2024
baseline1-2,2025-01-02,2025-12-31,1000000.0,1629828.0618428444,0.6298280618428445,0.6347702267679016,-0.15234748400769715,2.0556603563663565,221,0.4796380090497738,0.031580197074016235,2025
baseline3-1,2025-01-02,2025-12-31,1000000.0,1409223.8308980798,0.4092238308980798,0.41222341653403793,-0.15234748400769715,1.466196844729807,198,0.4898989898989899,0.027627194691318854,2025
baseline2-2,2025-01-02,2025-12-31,1000000.0,1667515.8001022164,0.6675158001022163,0.6728092616696788,-0.10340331737116004,2.6474099752519225,190,0.5631578947368421,0.03338334486793448,2025
baseline1-2,2026-01-05,2026-07-31,1000000.0,643815.9605598403,-0.35618403944015964,-0.540207932859855,-0.42846006032584893,-2.786452793616458,153,0.2549019607843137,-0.03578489959306854,2026/1-7
baseline3-1,2026-01-05,2026-07-31,1000000.0,753831.9597817002,-0.24616804021829986,-0.39263211327525405,-0.3299511905191811,-1.7151724515275568,148,0.22972972972972974,-0.03623067835606739,2026/1-7
baseline2-2,2026-01-05,2026-07-31,1000000.0,677711.2527410995,-0.32228874725890055,-0.49663896757138026,-0.3717977119371453,-2.790706859559882,129,0.23255813953488372,-0.03512649523647162,2026/1-7
baseline1-2,2025-01-02,2026-07-31,1000000.0,1216744.6522679643,0.21674465226796436,0.1327137434343919,-0.39264138237523305,0.6082357135269888,385,0.3948051948051948,0.005441700824677487,锁定测试2025-2026/7
baseline3-1,2025-01-02,2026-07-31,1000000.0,1056302.0279803597,0.05630202798035966,0.03540587159572839,-0.37509160172570255,0.2692706521181489,351,0.4017094017094017,0.0034152671724275337,锁定测试2025-2026/7
baseline2-2,2025-01-02,2026-07-31,1000000.0,1144682.428334776,0.14468242833477607,0.08962671580991355,-0.40838293861465647,0.5082825381969645,328,0.4420731707317073,0.007517126843763534,锁定测试2025-2026/7
