period,strategy,period_return,annualized_return,max_drawdown,end_equity_continuous
2020,baseline1-2,-0.14970991871649186,-0.15018333805165696,-0.2529207836227737,850290.0812835081
2020,baseline2-2,-0.049964519979671884,-0.05013172699742485,-0.22336007062844454,950035.4800203281
2020,baseline3-1,-0.11877660977374194,-0.11915916928217052,-0.21764032756200513,881223.3902262581
2021,baseline1-2,0.39311489614990225,0.39856312431885965,-0.16231410183292394,1199102.863374852
2021,baseline2-2,0.23233129845284095,0.23536587367832262,-0.13678291645560925,1172329.5466661283
2021,baseline3-1,0.4095006925140052,0.41520781255739014,-0.15755140442261617,1249778.0335631918
2022,baseline1-2,-0.07529885844730999,-0.07635394263820772,-0.364358209751076,1131306.52248167
2022,baseline2-2,0.3515916298772088,0.3575431949432726,-0.16695660918623179,1627394.392362808
2022,baseline3-1,-0.023837761016501702,-0.024181157887051996,-0.33436093622930607,1249316.870270176
2023,baseline1-2,0.3730608701645668,0.3794239650095603,-0.10615841462058062,1585200.7883962458
2023,baseline2-2,-0.04291319632733448,-0.04352519380087194,-0.246132370934532,1582157.0518902177
2023,baseline3-1,0.22185254326603343,0.2254280617771851,-0.10893180037839023,1556064.8039593922
2024,baseline1-2,0.38545328598561923,0.3870053074223825,-0.3651263382919824,2226043.5232114135
2024,baseline2-2,0.18444164738900715,0.18513035093916086,-0.2551684139322049,1898971.5303787766
2024,baseline3-1,-0.04356116668588672,-0.04370744085024347,-0.4099589823291171,1507965.776271872
2025,baseline1-2,0.8053300119588365,0.8119525846603044,-0.13069719300979266,3982834.397558882
2025,baseline2-2,0.6335515223645241,0.6385281538956669,-0.10917751572681134,3094849.170199812
2025,baseline3-1,0.4470591599715741,0.45037744178503636,-0.12222038599675422,2162856.231494464
2026/1-7,baseline1-2,-0.2676374640856928,-0.4228214023400346,-0.39538964418193145,2958965.377374342
2026/1-7,baseline2-2,-0.3139078194237602,-0.48560344262768373,-0.39109700364269906,2157227.691662312
2026/1-7,baseline3-1,-0.29714858055581783,-0.46322559184857015,-0.40336459225618815,1542365.2879566436
锁定测试2025-2026/7,baseline1-2,0.3412330182231811,0.20501626332681888,-0.39538964418193145,2958965.377374342
锁定测试2025-2026/7,baseline2-2,0.1386475999327499,0.08597414669171966,-0.39109700364269906,2157227.691662312
锁定测试2025-2026/7,baseline3-1,0.03191963731111658,0.020159547612812467,-0.40336459225618815,1542365.2879566436
