variant,name_cn,changed_parameter,train_2020_2024_cagr,train_2020_2024_mdd,train_2020_2024_final,train_2020_2024_trades,recent_2025_202607_cagr,recent_2025_202607_mdd,recent_2025_202607_final,recent_2025_202607_trades,full_2020_202607_cagr,full_2020_202607_mdd,full_2020_202607_final,full_2020_202607_trades,mean_cagr,min_cagr,worst_mdd,eligible_mdd50,balanced_growth_score,rank
d03_threshold_063,信号阈值降至0.63,"{""SIGNAL_THRESHOLD"": 0.63}",0.7653878289607623,-0.3352985730472767,17114171.36626829,778,0.4423249066916255,-0.3191935952768845,1779948.1409714501,249,0.6790996371300366,-0.3352985730472767,30211642.31118281,1031,0.6289374575941414,0.4423249066916255,0.3352985730472767,True,0.5729536923233866,1.0
d18_hold45,最长持有45日,"{""MAX_CALENDAR_DAYS"": 45}",0.7583909329469183,-0.27185136873882276,16777927.618495215,489,0.38661280543758436,-0.3260598554334958,1672919.3331975448,153,0.6749588920970124,-0.28861966563575503,29725040.175438598,642,0.606654210160505,0.38661280543758436,0.3260598554334958,True,0.5406417887436288,2.0
d19_hold60,最长持有60日,"{""MAX_CALENDAR_DAYS"": 60}",0.6999009364178113,-0.2901681496898202,14168683.000180768,473,0.4258943905446435,-0.31514696187232116,1748131.9716890347,148,0.6344617689679246,-0.31742037498340325,25305809.31408196,626,0.5867523653101264,0.4258943905446435,0.31742037498340325,True,0.5384949728804815,3.0
d17_all46,全部止盈提高至46%,"{""TAKE_ALL"": 0.46}",0.7149980889480116,-0.2411113711552768,14808684.432535388,508,0.36655397200352513,-0.29040337486264856,1634979.8270117757,154,0.62402284853269,-0.29830981722190897,24261673.971473724,667,0.5685249698280755,0.36655397200352513,0.29830981722190897,True,0.5079336704807104,4.0
d09_fraction14,单票目标仓位14%,"{""BASE_FRACTION"": 0.14}",0.8180640493730618,-0.3123667144603993,19822454.58574589,439,0.29558988258290264,-0.3870549322950312,1503327.6129371813,134,0.6736661370697854,-0.38876966400078894,29574489.457201768,580,0.5957733563419166,0.29558988258290264,0.38876966400078894,True,0.5057183142142124,5.0
d08_fraction12,单票目标仓位12%,"{""BASE_FRACTION"": 0.12}",0.8071293983064942,-0.2856593757685514,19233873.590711914,477,0.29666421706251356,-0.3520039137153229,1505290.551019283,145,0.66753442194577,-0.353714059804361,28869181.00474299,629,0.5904426791049259,0.29666421706251356,0.353714059804361,True,0.5023091404922022,6.0
d15_all38,全部止盈提高至38%,"{""TAKE_ALL"": 0.38}",0.7492408152161933,-0.2389883391762515,16346203.58903742,513,0.3324272195213005,-0.29487262532080205,1571164.9927633773,155,0.6395219918192714,-0.2993858245719003,25825503.955232076,671,0.5737300088522551,0.3324272195213005,0.2993858245719003,True,0.5013391720529687,7.0
d01_threshold_067,信号阈值降至0.67,"{""SIGNAL_THRESHOLD"": 0.67}",0.7247241235671806,-0.29404489756398455,15233091.839430328,591,0.3337913003961299,-0.35360918731225743,1573697.9255343522,196,0.6324588147980461,-0.33717546146193955,25102566.304507263,790,0.5636580795871189,0.3337913003961299,0.35360918731225743,True,0.4946980458298222,8.0
d16_all42,全部止盈提高至42%,"{""TAKE_ALL"": 0.42}",0.7064438067510441,-0.23898668078969765,14443274.526029175,509,0.3474831609509692,-0.29528298753570803,1599204.3706540985,155,0.6129043064619408,-0.29978568020982843,23189965.252770945,667,0.555610424721318,0.3474831609509692,0.29978568020982843,True,0.49317224559021333,9.0
d14_half32,减半止盈提高至32%,"{""TAKE_HALF"": 0.32}",0.7381021803238292,-0.3012250229065645,15832697.304855838,502,0.31964066262596447,-0.28787149250724864,1547494.3763876087,151,0.6280984121636293,-0.3012250229065645,24664890.983083535,658,0.5619470850378077,0.31964066262596447,0.3012250229065645,True,0.48925515831425465,10.0
