variant,name_cn,mechanism,train_2020_2024_cagr,train_2020_2024_mdd,train_2020_2024_final,train_2020_2024_trades,recent_2025_202607_cagr,recent_2025_202607_mdd,recent_2025_202607_final,recent_2025_202607_trades,full_2020_202607_cagr,full_2020_202607_mdd,full_2020_202607_final,full_2020_202607_trades,mean_cagr,min_cagr,worst_mdd,eligible_mdd50,balanced_growth_score,rank,train_2020_2024_beats_base,recent_2025_202607_beats_base,full_2020_202607_beats_base,beats_base_all3
s09_trend_adaptive_expiry,强趋势持仓自适应延期,trend_adaptive_expiry,0.7949001038221122,-0.3527974081011961,18592252.459604464,750,0.5437423900943164,-0.2511536806368406,1980918.481981163,241,0.727528643973161,-0.3527974081011961,36423686.11404109,993,0.6887237126298631,0.5437423900943164,0.3527974081011961,True,0.6452293158691991,1.0,True,True,True,True
s03_path_utility,收益风险时间联合排序,path_utility_rank,0.6789372372798426,-0.36466673517155945,13316870.266894719,785,0.5746378054146712,-0.28488310322716714,2043687.4444578108,254,0.6556912001554662,-0.36466673517155945,27547214.409729484,1045,0.6364220809499933,0.5746378054146712,0.36466673517155945,True,0.6178867982893966,2.0,False,True,False,False
s02_expected_gain,未来22日收益幅度模型排序,expected_gain_rank,0.7236908546069314,-0.36940329148076645,15187547.487134207,782,0.5471893099683287,-0.27858219080540225,1987886.0118500968,253,0.6610322273220075,-0.36940329148076645,28136890.735857293,1038,0.6439707972990892,0.5471893099683287,0.36940329148076645,True,0.614936351099861,3.0,False,True,False,False
aggressive063,高进攻候选 阈值0.63,baseline,0.7653878289607623,-0.3352985730472767,17114171.36626829,778,0.4423249066916255,-0.3191935952768845,1779948.1409714501,249,0.6790996371300366,-0.3352985730472767,30211642.31118281,1031,0.6289374575941414,0.4423249066916255,0.3352985730472767,True,0.5729536923233866,4.0,False,False,False,False
s06_gap_quality,次日跳空质量过滤,gap_quality_entry,0.7578621671137944,-0.3414659668718095,16752733.57122242,769,0.4454681100330029,-0.30227249777151055,1786058.488736487,248,0.6746258514981796,-0.3414659668718095,29686193.174579024,1023,0.6259853762149923,0.4454681100330029,0.3414659668718095,True,0.5718301963603954,5.0,False,True,False,False
s01_time_to_target,到达30%时间模型排序,time_to_target_rank,0.7487744402108958,-0.36760518161120537,16324439.332751863,783,0.45133040693978943,-0.3019224323601001,1797475.1139880738,248,0.6695430583175039,-0.36760518161120537,29098638.66484924,1035,0.6232159684893964,0.45133040693978943,0.36760518161120537,True,0.5716503000245143,6.0,False,True,False,False
s05_signal_persistence,信号连续两日确认入场,signal_persistence,0.7467829930863192,-0.3354149668795974,16231765.392888576,773,0.44906285889415676,-0.31919822248588237,1793055.994009625,249,0.6671993808760557,-0.3354149668795974,28831057.11569475,1025,0.6210150776188439,0.44906285889415676,0.3354149668795974,True,0.5694294120014377,7.0,False,True,False,False
s10_stop_quarantine,止损股票短期禁止重入,stop_reentry_quarantine,0.7347652002018006,-0.3494144860653364,15681397.038578155,749,0.3981642733561295,-0.3399251155608929,1694911.6491579826,241,0.6472118094612265,-0.3494144860653364,26632577.69343737,994,0.5933804276730522,0.3981642733561295,0.3494144860653364,True,0.5348155813779754,8.0,False,False,False,False
s07_stagnant_recycle,横盘持仓提前回收资金,stagnant_recycle,0.7285549179667883,-0.34052017301671533,15402899.580636363,888,0.37570642410408994,-0.3380105364193432,1652251.4947871184,289,0.621459152551008,-0.34052017301671533,24010909.030815706,1185,0.5752401648739621,0.37570642410408994,0.34052017301671533,True,0.5153800426430004,9.0,False,False,False,False
s04_trend_confirmation,短中趋势共同确认入场,trend_confirmation,0.33784802867297725,-0.1418043106165564,4281552.873830184,160,0.2121160673117226,-0.09803285015670893,1353694.4742673573,83,0.3051666830175701,-0.1418043106165564,5763100.757428559,243,0.28504359300075666,0.2121160673117226,0.1418043106165564,True,0.26316533529404645,10.0,False,False,False,False
s08_signal_decay_exit,模型信号衰减提前退出,signal_decay_exit,0.34546866362012585,-0.323323268581463,4404807.068882432,1291,0.053094874125279246,-0.3802602091698347,1084850.2145066313,432,0.2712194888489441,-0.3735269606869538,4846044.367194068,1732,0.22326100886478306,0.053094874125279246,0.3802602091698347,True,0.17221116844293188,11.0,False,False,False,False
