rank,variant,name_cn,design_2020_2024_cagr,design_2020_2024_total_return,design_2020_2024_max_drawdown,design_2020_2024_sharpe,design_2020_2024_volatility,design_2020_2024_final_equity,recent_2025_202607_cagr,recent_2025_202607_total_return,recent_2025_202607_max_drawdown,recent_2025_202607_sharpe,recent_2025_202607_volatility,recent_2025_202607_final_equity,full_2020_202607_cagr,full_2020_202607_total_return,full_2020_202607_max_drawdown,full_2020_202607_sharpe,full_2020_202607_volatility,full_2020_202607_final_equity,eligible_mdd_10_50,robust_sharpe,ranking_score
1,voltarget_50_15,进攻50%核心+目标波动15%,0.31984395109339414,3.0012940266940777,-0.182376089500775,1.9742144595851991,0.1519147932390676,4001294.0266940775,0.3218123166035669,0.5515053218140336,-0.10753939288269054,2.0564026185508464,0.1461435083759658,1551505.3218140337,0.32000983078379175,5.208028976558564,-0.182376089500775,1.9936707840705945,0.1505064776698897,6208028.976558564,True,1.9742144595851991,2.0564026185508464
2,voltarget_50_18,进攻50%核心+目标波动18%,0.37276801329906784,3.869841824764258,-0.20028042952760816,2.029828964194189,0.16924577147562944,4869841.824764258,0.3578939019662428,0.6186983815915463,-0.11553539166094662,2.045071064088846,0.16181793884477008,1618698.3815915463,0.3688314736332119,6.882805080352734,-0.20028042952760816,2.033599245765901,0.16744587794068952,7882805.080352734,True,2.029828964194189,2.045071064088846
3,voltarget_35_18,进攻35%核心+目标波动18%,0.35247144492979543,3.520555036780319,-0.16371068055610494,2.108672994327419,0.15443828543748134,4520555.036780319,0.3113383998359667,0.5321954290941915,-0.1011759836780124,1.9968811753567033,0.14637605212440005,1532195.4290941914,0.3421714255392596,5.926373764323512,-0.16371068055610494,2.0830113015782104,0.15250236083207114,6926373.764323512,True,1.9968811753567033,1.9968811753567033
4,voltarget_65_18,进攻65%核心+目标波动18%,0.3755431653926129,3.9192309746005707,-0.21670105683163432,1.9304395043122637,0.18002084957931302,4919230.97460057,0.37110725070125783,0.6435640810496188,-0.12942281788306154,1.9752045648814927,0.17363510327790552,1643564.0810496188,0.3741151175128974,7.085071336240212,-0.21670105683163432,1.9412357196031087,0.17845739884460937,8085071.3362402115,True,1.9304395043122637,1.9752045648814927
5,voltarget_65_15,进攻65%核心+目标波动15%,0.3139997316015155,2.913546625879953,-0.190312713830584,1.8707218085492874,0.15838844497235977,3913546.625879953,0.32676725653479366,0.5606710387171485,-0.1169610665665548,1.9730774434279288,0.1549520359812706,1560671.0387171486,0.3167454135792427,5.107758877680047,-0.190312713830584,1.8953414190608318,0.15752359835171378,6107758.877680047,True,1.8707218085492874,1.9730774434279288
6,dd_80_8_15,进攻80%核心+回撤8%/15%降仓,0.603623526096944,9.587908271401538,-0.2144579096011593,2.132477777817073,0.24400581324811266,10587908.271401538,0.4526278665823704,0.8000054577161673,-0.1889866287902634,1.969178965937885,0.20796721498278273,1800005.4577161672,0.5654909946763158,18.058292674320956,-0.2144579096011593,2.093822612624586,0.2358274992134967,19058292.674320955,True,1.969178965937885,1.969178965937885
7,voltarget_50_22,进攻50%核心+目标波动22%,0.42438546808988487,4.856146189665524,-0.20556990955967303,2.07235534023241,0.18567318541513098,5856146.189665524,0.36497511795766235,0.6320070584872375,-0.13141550656162537,1.950908690111101,0.1733929487718056,1632007.0584872374,0.4095170920692621,8.557271917067283,-0.20556990955967303,2.044446973164767,0.18275625601205117,9557271.917067282,True,1.950908690111101,1.950908690111101
8,voltarget_65_22,进攻65%核心+目标波动22%,0.4434469660499587,5.258332605747314,-0.24225682187265019,1.9884243268128465,0.20205648782616223,6258332.605747314,0.40666113029700424,0.7111552122292131,-0.14742356782618082,1.9407897381851453,0.192169462203299,1711155.212229213,0.43411604146236127,9.708978458188541,-0.24225682187265019,1.9775713265287578,0.19967366508910062,10708978.458188541,True,1.9407897381851453,1.9407897381851453
9,voltarget_80_15,进攻80%核心+目标波动15%,0.3107116063987301,2.8648583329856643,-0.1894853986824111,1.803750508542846,0.16325476906790362,3864858.3329856643,0.3261857439396936,0.5595943288076073,-0.11993573195062701,1.910455812051863,0.16022376217281933,1559594.3288076073,0.31410326329608096,5.02761113776926,-0.1894853986824111,1.8294615579347575,0.16248380654051367,6027611.13776926,True,1.803750508542846,1.910455812051863
10,voltarget_80_18,进攻80%核心+目标波动18%,0.37079247205890065,3.8349255793519212,-0.22266135040041446,1.837031488533292,0.18801281450017238,4834925.579351922,0.37907089548503237,0.658617245157288,-0.1433243204449095,1.9094024051215737,0.18370298692829656,1658617.245157288,0.372409208155301,7.019290944965178,-0.22266135040041446,1.8545491204392668,0.18693177709179032,8019290.944965178,True,1.837031488533292,1.9094024051215737
11,dd_65_8_15,进攻65%核心+回撤8%/15%降仓,0.5655792762604066,8.390940314474857,-0.1775491566580797,2.1790964201260548,0.22533371843050606,9390940.314474856,0.3819148741745173,0.6640051578736341,-0.17652679708157815,1.8913504332585063,0.18691136100612024,1664005.157873634,0.5189373313156835,14.62657312056957,-0.1775491566580797,2.113622249758572,0.21672275866812332,15626573.12056957,True,1.8913504332585063,1.8913504332585063
12,voltarget_65_26,进攻65%核心+目标波动26%,0.4909363269384417,6.357018553589883,-0.2517207520520701,2.019458129554185,0.21715237888805292,7357018.553589883,0.41431830997649555,0.7258419090202293,-0.16557199972179204,1.8882403523586084,0.20147880607307467,1725841.9090202292,0.47173602650002033,11.697050945224834,-0.2517207520520701,1.989315257497034,0.21344480680011876,12697050.945224835,True,1.8882403523586084,1.8882403523586084
13,voltarget_80_22,进攻80%核心+目标波动22%,0.4474846669562291,5.346294016467144,-0.25665387561889597,1.8987247894769408,0.21449196208282378,6346294.016467145,0.42575347531315133,0.7478600085220779,-0.16239926220607181,1.8879583772449986,0.20646790316488475,1747860.008522078,0.4418085558524967,10.092433513705863,-0.25665387561889597,1.89654013172541,0.21253297870905677,11092433.513705863,True,1.8879583772449986,1.8879583772449986
14,voltarget_35_22,进攻35%核心+目标波动22%,0.3919486879244176,4.219448371730425,-0.17550490839664845,2.1287424149088077,0.16804447389706317,5219448.371730425,0.30298923007518663,0.5168660383085193,-0.11285194447524904,1.8846884917760076,0.15201358419731767,1516866.0383085194,0.3697381009639722,6.917203973782577,-0.17550490839664845,2.0732431686654946,0.16430990431490516,7917203.973782577,True,1.8846884917760076,1.8846884917760076
