baseline,date,time,symbol,name,action,trade_price,quantity,amount,portfolio_daily_return,raw_open,raw_high,raw_low,raw_close,raw_preclose,raw_volume,raw_pct_chg,trade_inside_raw_range,one_price_board,suspended
baseline1-2,2024-09-24,09:31:00,688728.SH,格科微,买入,10.461,643,6726.35,0.04418805586099217,10.44,10.85,10.26,10.85,10.35,10377312.0,4.8309,True,False,False
baseline1-2,2024-09-24,09:31:00,688630.SH,芯碁微装,卖出,48.692,1063,51760.04,0.04418805586099217,48.79,50.11,47.09,49.95,48.48,3272132.0,3.0322,True,False,False
baseline1-2,2024-09-24,09:31:00,688276.SH,百克生物,买入,21.773,2655,57808.54,0.04418805586099217,21.73,22.7,21.73,22.6,21.73,3419384.0,4.0037,True,False,False
baseline1-2,2024-09-25,09:31:00,688599.SH,天合光能,买入,17.214,3002,51677.51,0.005545791190128657,17.18,17.43,16.88,16.89,17.02,22575611.0,-0.7638,True,False,False
baseline1-2,2024-09-30,09:31:00,688276.SH,百克生物,卖出,27.794,1328,36910.83,0.1483719463126103,27.85,30.74,27.31,30.6,26.27,11250973.0,16.4827,True,False,False
baseline1-2,2024-09-30,09:31:00,688536.SH,思瑞浦,卖出,89.85,248,22282.79,0.1483719463126103,90.03,100.96,90.0,100.96,84.13,3846294.0,20.0048,False,False,False
baseline1-2,2024-09-30,09:31:00,688409.SH,富创精密,卖出,41.167,900,37050.75,0.1483719463126103,41.25,46.2,40.49,46.2,38.5,9826802.0,20.0,True,False,False
baseline1-2,2024-09-30,09:31:00,688052.SH,纳芯微,卖出,104.79,319,33428.01,0.1483719463126103,105.0,118.8,103.01,118.8,99.0,3968804.0,20.0,True,False,False
baseline1-2,2024-09-30,09:31:00,688728.SH,格科微,卖出,13.223,322,4257.97,0.1483719463126103,13.25,14.76,12.92,14.73,12.57,36659555.0,17.1838,True,False,False
baseline1-2,2024-10-08,09:31:00,688520.SH,神州细胞,卖出,49.401,1677,82845.48,0.16046433604967802,49.5,49.52,43.82,47.26,41.36,7065650.0,14.265,True,False,False
baseline1-2,2024-10-08,09:31:00,688469.SH,芯联集成,卖出,5.07,17598,89219.04,0.16046433604967802,5.08,5.08,4.71,5.0,4.23,381155266.0,18.2033,True,False,False
baseline1-2,2024-10-08,09:31:00,688276.SH,百克生物,卖出,35.968,1327,47729.43,0.16046433604967802,36.04,36.05,32.2,35.0,30.6,12007908.0,14.3791,True,False,False
baseline1-2,2024-10-08,09:31:00,688009.SH,中国通号,卖出,7.535,12115,91285.31,0.16046433604967802,7.55,7.55,6.71,7.13,6.29,163044678.0,13.3545,True,False,False
baseline1-2,2024-10-08,09:31:00,688249.SH,晶合集成,卖出,20.968,793,16627.61,0.16046433604967802,21.01,21.01,19.95,21.01,17.51,69548806.0,19.9886,True,False,False
