日期,总资产,现金,证券,数量,持仓,收盘价, 收益
2026-07-31,19687844.83,1872190.34,,,,,
,,,南网科技(688248.SH),55146,2310617.40,41.9,19556.98
,,,新益昌(688383.SH),20191,1897954.00,94,-165658.92
,,,光格科技(688450.SH),72573,2044381.41,28.17,-20706.10
,,,海泰新光(688677.SH),16005,1095542.25,68.45,84907.52
,,,锴威特(688693.SH),36605,2040728.75,55.75,-23406.40
,,,智明达(688636.SH),92050,1632046.50,17.73,-986.83
,,,泛亚微透(688386.SH),17451,882671.58,50.58,-2905.23
,,,高凌信息(688175.SH),125373,2084952.99,16.63,20335.64
,,,莱特光电(688150.SH),56684,1929523.36,34.04,-70343.77
,,,瑞华泰(688323.SH),83395,1897236.25,22.75,-102161.41
2026-07-30,18740432.85,1010651.84,,,,,
,,,新益昌(688383.SH),20191,1776808.00,88,-286804.92
,,,智洋创新(688191.SH),108954,1805367.78,16.57,-302282.15
,,,高凌信息(688175.SH),125373,2056117.20,16.4,-8500.15
,,,泛亚微透(688386.SH),17451,837648.00,48,-47928.81
,,,锴威特(688693.SH),36605,1925056.95,52.59,-139078.20
,,,瑞华泰(688323.SH),83395,1822180.75,21.85,-177216.91
,,,智明达(688636.SH),92050,1513302.00,16.44,-119731.33
,,,光格科技(688450.SH),72573,1871657.67,25.79,-193429.84
,,,南网科技(688248.SH),55146,2291316.30,41.55,255.88
,,,莱特光电(688150.SH),56684,1830326.36,32.29,-169540.77
2026-07-29,19949794.78,4884855.19,,,,,
,,,南网科技(688248.SH),55146,2385064.50,43.25,94004.08
,,,新益昌(688383.SH),20191,1956709.81,96.91,-106903.11
,,,智明达(688636.SH),92050,1585101.00,17.22,-47932.33
,,,燕麦科技(688312.SH),24816,1031352.96,41.56,-75499.62
,,,光格科技(688450.SH),72573,1999386.15,27.55,-65701.36
,,,锴威特(688693.SH),36605,2114304.80,57.76,50169.65
,,,智洋创新(688191.SH),108954,1980783.72,18.18,-126866.21
,,,高凌信息(688175.SH),125373,2012236.65,16.05,-52380.70
2026-07-28,20143615.55,3.27,,,,,
,,,智明达(688636.SH),92050,1591544.50,17.29,-41488.83
,,,华恒生物(688639.SH),154441,2495766.56,16.16,73204.36
,,,南网科技(688248.SH),55146,2297933.82,41.67,6873.40
,,,锴威特(688693.SH),36605,2136267.80,58.36,72132.65
,,,高凌信息(688175.SH),125373,2093729.10,16.7,29111.75
,,,燕麦科技(688312.SH),24816,1027382.40,41.4,-79470.18
,,,科兴制药(688136.SH),134334,2379055.14,17.71,-41826.88
,,,智洋创新(688191.SH),108954,2065767.84,18.96,-41882.09
,,,光格科技(688450.SH),72573,2023335.24,27.88,-41752.27
,,,新益昌(688383.SH),20191,2032829.88,100.68,-30783.04
2026-07-27,21018746.93,1633036.60,,,,,
,,,科兴制药(688136.SH),134334,2415325.32,17.98,-5556.70
,,,燕麦科技(688312.SH),24816,1126398.24,45.39,19545.66
,,,高凌信息(688175.SH),125373,2207818.53,17.61,143201.18
,,,新益昌(688383.SH),20191,2183252.83,108.13,119639.91
,,,南网科技(688248.SH),55146,2453997.00,44.5,162936.58
,,,光格科技(688450.SH),72573,2110422.84,29.08,45335.33
,,,华恒生物(688639.SH),154441,2497310.97,16.17,74748.77
,,,锴威特(688693.SH),36605,2266581.60,61.92,202446.45
,,,智洋创新(688191.SH),108954,2124603.00,19.5,16953.07
2026-07-24,20039650.01,31.56,,,,,
,,,新益昌(688383.SH),20191,2081692.10,103.1,18079.18
,,,华恒生物(688639.SH),154441,2387657.86,15.46,-34904.34
,,,光格科技(688450.SH),72573,2015352.21,27.77,-49735.30
,,,高凌信息(688175.SH),125373,1987162.05,15.85,-77455.30
,,,锴威特(688693.SH),36605,2188979.00,59.8,124843.85
,,,科兴制药(688136.SH),134334,2330694.90,17.35,-90187.12
,,,燕麦科技(688312.SH),24816,1096370.88,44.18,-10481.70
,,,智洋创新(688191.SH),108954,1993858.20,18.3,-113791.73
,,,南网科技(688248.SH),55146,2289661.92,41.52,-1398.50
,,,敏芯股份(688286.SH),40797,1668189.33,40.89,-131008.40
2026-07-23,20760359.23,31.56,,,,,
,,,高凌信息(688175.SH),125373,2056117.20,16.4,-8500.15
,,,科兴制药(688136.SH),134334,2493239.04,18.56,72357.02
,,,锴威特(688693.SH),36605,2242056.25,61.25,177921.10
,,,华恒生物(688639.SH),154441,2506577.43,16.23,84015.23
,,,南网科技(688248.SH),55146,2370726.54,42.99,79666.12
,,,智洋创新(688191.SH),108954,2086469.10,19.15,-21180.83
,,,燕麦科技(688312.SH),24816,1131361.44,45.59,24508.86
,,,光格科技(688450.SH),72573,2098811.16,28.92,33723.65
,,,敏芯股份(688286.SH),40797,1693075.50,41.5,-106122.23
,,,新益昌(688383.SH),20191,2081894.01,103.11,18281.09
2026-07-22,20729309.38,31.56,,,,,
,,,敏芯股份(688286.SH),40797,1735504.38,42.54,-63693.35
,,,新益昌(688383.SH),20191,2078865.36,102.96,15252.44
,,,高凌信息(688175.SH),125373,2049848.55,16.35,-14768.80
,,,智洋创新(688191.SH),108954,2066857.38,18.97,-40792.55
,,,华恒生物(688639.SH),154441,2467967.18,15.98,45404.98
,,,燕麦科技(688312.SH),24816,1158907.20,46.7,52054.62
,,,科兴制药(688136.SH),134334,2514732.48,18.72,93850.46
,,,南网科技(688248.SH),55146,2360248.80,42.8,69188.38
,,,光格科技(688450.SH),72573,2041478.49,28.13,-23609.02
,,,锴威特(688693.SH),36605,2254868.00,61.6,190732.85
2026-07-21,21251159.91,3906879.23,,,,,
,,,南网科技(688248.SH),55146,2390579.10,43.35,99518.68
,,,光格科技(688450.SH),72573,2162675.40,29.8,97587.89
,,,华恒生物(688639.SH),154441,2494222.15,16.15,71659.95
,,,高凌信息(688175.SH),125373,2063639.58,16.46,-977.77
,,,科兴制药(688136.SH),134334,2497269.06,18.59,76387.04
,,,锴威特(688693.SH),36605,2367977.45,64.69,303842.30
,,,燕麦科技(688312.SH),24816,1187693.76,47.86,80841.18
,,,新益昌(688383.SH),20191,2180224.18,107.98,116611.26
2026-07-20,20641483.97,9364328.22,,,,,
,,,京源环保(688096.SH),267302,2031495.20,7.6,-567299.26
,,,华恒生物(688639.SH),154441,2469511.59,15.99,46949.39
,,,科兴制药(688136.SH),134334,2561749.38,19.07,140867.36
,,,南网科技(688248.SH),55146,2370726.54,42.99,79666.12
,,,智洋创新(688191.SH),103752,1843673.04,17.77,-281896.70
2026-07-17,21097122.82,2125579.35,,,,,
,,,国博电子(688375.SH),13020,891870.00,68.5,-113106.94
,,,通源环境(688679.SH),75751,2036186.88,26.88,-274978.42
,,,光格科技(688450.SH),949,30899.44,32.56,-7604.46
,,,复洁科技(688335.SH),114679,2125001.87,18.53,-277303.29
,,,安达智能(688125.SH),17225,1965717.00,114.12,-344808.14
,,,京源环保(688096.SH),267302,2539369.00,9.5,-59425.46
,,,南网科技(688248.SH),55146,2103268.44,38.14,-187791.98
,,,科兴制药(688136.SH),134334,2579212.80,19.2,158330.78
,,,理工导航(688282.SH),1194,59043.30,49.45,-6454.66
,,,佳华科技(688051.SH),104540,2148297.00,20.55,-261654.61
,,,华恒生物(688639.SH),154441,2492677.74,16.14,70115.54
2026-07-16,22956164.65,3296086.20,,,,,
,,,安达智能(688125.SH),17225,2207383.75,128.15,-103141.39
,,,万润新能(688275.SH),395,32958.80,83.44,-2558.17
,,,理工导航(688282.SH),1194,64762.56,54.24,-735.40
,,,科兴制药(688136.SH),134334,2924451.18,21.77,503569.16
,,,光格科技(688450.SH),949,36062.00,38,-2441.90
,,,复洁科技(688335.SH),114679,2310781.85,20.15,-91523.31
,,,通源环境(688679.SH),75751,2246774.66,29.66,-64390.64
,,,智洋创新(688191.SH),93199,2072745.76,22.24,-237367.96
,,,佳华科技(688051.SH),104540,2342741.40,22.41,-67210.21
,,,京源环保(688096.SH),267302,2766575.70,10.35,167781.24
,,,华恒生物(688639.SH),154441,2654840.79,17.19,232278.59
2026-07-15,23279129.65,38535.35,,,,,
,,,科兴制药(688136.SH),134334,2916391.14,21.71,495509.12
,,,理工导航(688282.SH),1194,63079.02,52.83,-2418.94
,,,万润新能(688275.SH),395,35087.85,88.83,-429.12
,,,东微半导(688261.SH),14261,1147725.28,80.48,-94474.93
,,,艾罗能源(688717.SH),35058,2191475.58,62.51,-210251.45
,,,安达智能(688125.SH),17225,2244073.00,130.28,-66452.14
,,,智洋创新(688191.SH),93199,2208816.30,23.7,-101297.42
,,,佳华科技(688051.SH),104540,2373058.00,22.7,-36893.61
,,,京源环保(688096.SH),267302,2697077.18,10.09,98282.72
,,,通源环境(688679.SH),75751,2335403.33,30.83,24238.03
,,,华恒生物(688639.SH),154441,2702717.50,17.5,280155.30
,,,复洁科技(688335.SH),114679,2325690.12,20.28,-76615.04
2026-07-14,23074647.23,6997303.74,,,,,
,,,东微半导(688261.SH),14261,1294756.19,90.79,52555.98
,,,华恒生物(688639.SH),154441,2449434.26,15.86,26872.06
,,,科兴制药(688136.SH),134334,2792803.86,20.79,371921.84
,,,迪哲医药(688192.SH),617,34755.61,56.33,10853.70
,,,佳华科技(688051.SH),104540,2323924.20,22.23,-86027.41
,,,万润新能(688275.SH),395,36051.65,91.27,534.68
,,,艾罗能源(688717.SH),35058,2242309.68,63.96,-159417.35
,,,复洁科技(688335.SH),114679,2385323.20,20.8,-16981.96
,,,京源环保(688096.SH),267302,2517984.84,9.42,-80809.62
2026-07-13,22869260.12,35554.32,,,,,
,,,迪哲医药(688192.SH),617,28961.98,46.94,5060.07
,,,中自科技(688737.SH),127047,2136930.54,16.82,-285062.65
,,,智洋创新(688191.SH),62121,1532525.07,24.67,-154827.04
,,,科兴制药(688136.SH),134334,2799520.56,20.84,378638.54
,,,东微半导(688261.SH),14261,1315577.25,92.25,73377.04
,,,迅捷兴(688655.SH),36506,1225141.36,33.56,-155398.80
,,,安达智能(688125.SH),15442,2025990.40,131.2,-395313.75
,,,佳华科技(688051.SH),104540,2273745.00,21.75,-136206.61
,,,京源环保(688096.SH),267302,2432448.20,9.1,-166346.26
,,,复洁科技(688335.SH),114679,2356653.45,20.55,-45651.71
,,,华恒生物(688639.SH),154441,2469511.59,15.99,46949.39
,,,艾罗能源(688717.SH),35058,2236700.40,63.8,-165026.63
2026-07-10,24129979.63,1380557.33,,,,,
,,,京源环保(688096.SH),267302,2469870.48,9.24,-128923.98
,,,艾罗能源(688717.SH),35058,2338368.60,66.7,-63358.43
,,,智洋创新(688191.SH),62121,1660494.33,26.73,-26857.78
,,,安达智能(688125.SH),15442,2368185.12,153.36,-53119.03
,,,通源环境(688679.SH),1072,35644.00,33.25,-3702.95
,,,佳华科技(688051.SH),104540,2346923.00,22.45,-63028.61
,,,东微半导(688261.SH),14261,1255110.61,88.01,12910.40
,,,华恒生物(688639.SH),154441,2534376.81,16.41,111814.61
,,,科兴制药(688136.SH),134334,2878777.62,21.43,457895.60
,,,中自科技(688737.SH),127047,2252543.31,17.73,-169449.88
,,,复洁科技(688335.SH),114679,2580277.50,22.5,177972.34
,,,迪哲医药(688192.SH),617,28850.92,46.76,4949.01
2026-07-09,24113933.80,6491404.87,,,,,
,,,迪哲医药(688192.SH),617,28554.76,46.28,4652.85
,,,京源环保(688096.SH),267302,2469870.48,9.24,-128923.98
,,,安达智能(688125.SH),15442,2502376.10,162.05,81071.95
,,,通源环境(688679.SH),1072,38184.64,35.62,-1162.31
,,,卓越新能(688196.SH),41720,1406798.40,33.72,-140392.90
,,,科兴制药(688136.SH),134334,2713546.80,20.2,292664.78
,,,华恒生物(688639.SH),154441,2523565.94,16.34,101003.74
,,,佳华科技(688051.SH),104540,2316606.40,22.16,-93345.21
,,,中自科技(688737.SH),127047,2252543.31,17.73,-169449.88
,,,东微半导(688261.SH),14261,1370482.10,96.1,128281.89
2026-07-08,24057361.78,23.04,,,,,
,,,华曙高科(688433.SH),27253,2136635.20,78.4,-112812.55
,,,卓越新能(688196.SH),41720,1416811.20,33.96,-130380.10
,,,东微半导(688261.SH),14261,1314578.98,92.18,72378.77
,,,工大高科(688367.SH),76960,2243384.00,29.15,-207279.69
,,,通源环境(688679.SH),1072,38538.40,35.95,-808.55
,,,华恒生物(688639.SH),154441,2535921.22,16.42,113359.02
,,,固德威(688390.SH),13536,1090595.52,80.57,-157717.12
,,,佳华科技(688051.SH),104540,2285244.40,21.86,-124707.21
,,,京源环保(688096.SH),267302,2493927.66,9.33,-104866.80
,,,迪哲医药(688192.SH),617,27876.06,45.18,3974.15
,,,奥浦迈(688293.SH),27219,1115979.00,41,136841.66
,,,科兴制药(688136.SH),134334,2710860.12,20.18,289978.10
,,,中自科技(688737.SH),127047,2263977.54,17.82,-158015.65
,,,安达智能(688125.SH),15442,2383009.44,154.32,-38294.71
2026-07-07,24739221.68,29829.12,,,,,
,,,科兴制药(688136.SH),134334,2816983.98,20.97,396101.96
,,,奥浦迈(688293.SH),27219,1153813.41,42.39,174676.07
,,,工大高科(688367.SH),76960,2294947.20,29.82,-164182.09
,,,佳华科技(688051.SH),104540,2313470.20,22.13,-96481.41
,,,中自科技(688737.SH),127047,2307173.52,18.16,-114819.67
,,,京源环保(688096.SH),267302,2547388.06,9.53,-51406.40
,,,华曙高科(688433.SH),27253,2221119.50,81.5,-28328.25
,,,东微半导(688261.SH),14261,1412979.88,99.08,169704.39
,,,卓越新能(688196.SH),41720,1432247.60,34.33,-114943.70
,,,固德威(688390.SH),13536,1153267.20,85.2,-95045.44
,,,华恒生物(688639.SH),154441,2554454.14,16.54,131891.94
,,,迪哲医药(688192.SH),617,28511.57,46.21,4609.66
,,,安达智能(688125.SH),15442,2473036.30,160.15,51732.15
2026-07-06,25480194.49,3.29,,,,,
,,,迪哲医药(688192.SH),1234,61083.00,49.5,13279.17
,,,卓越新能(688196.SH),41720,1493576.00,35.8,-53615.30
,,,东微半导(688261.SH),14261,1214609.37,85.17,-28666.12
,,,中自科技(688737.SH),127047,2416433.94,19.02,-5559.25
,,,华恒生物(688639.SH),154441,2593064.39,16.79,170502.19
,,,工大高科(688367.SH),76960,2368828.80,30.78,-90300.49
,,,科兴制药(688136.SH),134334,3014454.96,22.44,593572.94
,,,京源环保(688096.SH),267302,2632924.70,9.85,34130.24
,,,安达智能(688125.SH),15442,2563372.00,166,142067.85
,,,固德威(688390.SH),13536,1199018.88,88.58,-49293.76
,,,佳华科技(688051.SH),104540,2419055.60,23.14,9103.99
,,,奥浦迈(688293.SH),27219,1209884.55,44.45,230747.21
,,,华曙高科(688433.SH),27253,2293885.01,84.17,44437.26
2026-07-03,25901400.14,3842073.25,,,,,
,,,奥浦迈(688293.SH),27219,1206073.89,44.31,226936.55
,,,科兴制药(688136.SH),134334,2966094.72,22.08,545212.70
