日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2026-07-31,09:31:00,688191.SH,智洋创新,卖出,17.206,-108954,-1874610.23,562.38,1874.61
2026-07-31,09:31:00,688677.SH,海泰新光,买入,63.126,16005,1010331.63,303.10,0.00
2026-07-30,09:31:00,688323.SH,瑞华泰,买入,23.968,83395,1998798.02,599.64,0.00
2026-07-30,09:31:00,688150.SH,莱特光电,买入,35.270,56684,1999267.35,599.78,0.00
2026-07-30,09:31:00,688386.SH,泛亚微透,买入,50.731,17451,885311.22,265.59,0.00
2026-07-30,09:31:00,688312.SH,燕麦科技,卖出,40.778,-24816,-1011953.80,303.59,1011.95
2026-07-29,09:31:00,688639.SH,华恒生物,卖出,16.227,-154441,-2506188.24,751.86,2506.19
2026-07-29,09:31:00,688136.SH,科兴制药,卖出,17.754,-134334,-2385022.26,715.51,2385.02
2026-07-28,09:31:00,688636.SH,智明达,买入,17.735,92050,1632543.57,489.76,0.00
2026-07-27,09:31:00,688286.SH,敏芯股份,卖出,40.080,-40797,-1635130.70,490.54,1635.13
2026-07-22,09:31:00,688191.SH,智洋创新,买入,19.339,108954,2107017.82,632.11,0.00
2026-07-22,09:31:00,688286.SH,敏芯股份,买入,44.088,40797,1798658.14,539.60,0.00
2026-07-21,09:31:00,688191.SH,智洋创新,卖出,18.164,-103752,-1884509.83,565.35,1884.51
2026-07-21,09:31:00,688096.SH,京源环保,卖出,7.585,-267302,-2027432.21,608.23,2027.43
2026-07-21,09:31:00,688383.SH,新益昌,买入,102.174,20191,2062994.02,618.90,0.00
2026-07-21,09:31:00,688693.SH,锴威特,买入,56.373,36605,2063516.09,619.05,0.00
2026-07-21,09:31:00,688450.SH,光格科技,买入,28.447,72573,2064468.16,619.34,0.00
2026-07-21,09:31:00,688175.SH,高凌信息,买入,16.463,125373,2063998.15,619.20,0.00
2026-07-21,09:31:00,688312.SH,燕麦科技,买入,44.589,24816,1106520.62,331.96,0.00
2026-07-20,09:31:00,688282.SH,理工导航,卖出,49.102,-1194,-58627.31,17.59,58.63
2026-07-20,09:31:00,688051.SH,佳华科技,卖出,20.718,-104540,-2165909.90,649.77,2165.91
2026-07-20,09:31:00,688335.SH,复洁科技,卖出,18.792,-114679,-2155086.76,646.53,2155.09
2026-07-20,09:31:00,688450.SH,光格科技,卖出,33.782,-949,-32059.40,9.62,32.06
2026-07-20,09:31:00,688191.SH,智洋创新,买入,20.481,103752,2124932.26,637.48,0.00
2026-07-20,09:31:00,688375.SH,国博电子,卖出,69.730,-13020,-907887.99,272.37,907.89
2026-07-20,09:31:00,688679.SH,通源环境,卖出,27.295,-75751,-2067646.27,620.29,2067.65
2026-07-20,09:31:00,688125.SH,安达智能,卖出,115.489,-17225,-1989290.45,596.79,1989.29
2026-07-17,09:31:00,688248.SH,南网科技,买入,41.533,55146,2290373.30,687.11,0.00
2026-07-17,09:31:00,688191.SH,智洋创新,卖出,22.485,-93199,-2095573.92,628.67,2095.57
2026-07-17,09:31:00,688375.SH,国博电子,买入,77.164,13020,1004675.54,301.40,0.00
2026-07-17,09:31:00,688275.SH,万润新能,卖出,82.844,-395,-32723.37,9.82,32.72
