symbol,entry_date,exit_date,reason,return
688333.SH,2020-02-05,2020-02-18,TPALL,0.4691396122906544
688007.SH,2020-02-05,2020-02-25,TRAIL,0.20715369470267384
688033.SH,2020-02-05,2020-02-26,TRAIL,0.17082434764982574
688011.SH,2020-02-05,2020-02-27,TRAIL,0.25216824147499667
688015.SH,2020-02-05,2020-02-28,TRAIL,0.16298360374627505
688068.SH,2020-04-15,2020-04-23,TPALL,0.3097421872282769
688058.SH,2020-04-29,2020-05-11,TPALL,0.34311787401397703
688006.SH,2020-04-15,2020-05-15,TIME,0.1357459404679844
688099.SH,2020-04-29,2020-05-19,TPALL,0.32687474115391474
688068.SH,2020-04-29,2020-05-25,TRAIL,0.02581783159396236
688005.SH,2020-05-06,2020-06-05,TIME,0.2741221269410511
688288.SH,2020-05-25,2020-06-05,TPALL,0.4088240157799312
688098.SH,2020-05-27,2020-06-12,TRAIL,0.03851853663222018
688310.SH,2020-06-10,2020-07-10,TIME,0.21462418590474125
688128.SH,2020-06-22,2020-07-15,TPALL,0.4802588866296118
688088.SH,2020-07-28,2020-08-12,TRAIL,0.041225017351619646
688108.SH,2020-09-18,2020-09-29,STOP,-0.07794749063948953
688399.SH,2020-09-18,2020-10-19,TRAIL,0.23698149319816092
688007.SH,2020-09-29,2020-10-29,STOP,-0.07503352518019228
688100.SH,2020-10-19,2020-11-18,TIME,0.013236118633247897
688108.SH,2020-11-06,2020-11-26,STOP,-0.08162912769517892
688365.SH,2020-10-30,2020-11-27,STOP,-0.08605048311136489
688366.SH,2020-11-03,2020-11-30,STOP,-0.08959378577086546
688266.SH,2020-12-11,2020-12-14,STOP,-0.1236095895488211
688108.SH,2020-12-03,2020-12-23,STOP,-0.07380326562848454
688266.SH,2020-12-15,2020-12-25,TRAIL,0.09132584735327247
688108.SH,2020-12-25,2021-01-12,STOP,-0.10056667851259969
688277.SH,2020-12-30,2021-01-14,TRAIL,0.1632754344597627
688258.SH,2021-01-08,2021-01-26,STOP,-0.07379213122574711
688277.SH,2021-01-15,2021-01-28,TRAIL,0.05032494332260649
688366.SH,2021-01-08,2021-01-29,TRAIL,0.19063291791079404
688580.SH,2021-01-14,2021-02-01,TRAIL,0.0553556850990704
688298.SH,2021-02-01,2021-02-08,STOP,-0.09006683496166216
688077.SH,2021-01-28,2021-02-09,STOP,-0.08104553286321624
688077.SH,2021-02-10,2021-02-26,TRAIL,0.088572383416743
688177.SH,2021-02-10,2021-03-11,STOP,-0.11375086804740352
688286.SH,2021-02-10,2021-03-12,TIME,0.004873521590853626
688233.SH,2021-02-10,2021-03-12,TIME,0.07687123826180058
688390.SH,2021-03-11,2021-03-17,STOP,-0.09031993540152869
688365.SH,2021-03-05,2021-03-19,STOP,-0.08019480467504064
688019.SH,2021-03-15,2021-03-19,STOP,-0.08898458543719706
688222.SH,2021-03-09,2021-03-24,STOP,-0.08450458268999746
688408.SH,2021-03-11,2021-03-24,STOP,-0.08074096496077224
688017.SH,2021-03-09,2021-03-30,TRAIL,0.09900977715764635
688019.SH,2021-03-29,2021-04-01,STOP,-0.07724409738371016
688390.SH,2021-03-29,2021-04-08,TRAIL,0.054224812293168494
688122.SH,2021-03-11,2021-04-12,TIME,0.13608054891816052
688088.SH,2021-04-06,2021-04-14,STOP,-0.10543450278016646
688567.SH,2021-03-29,2021-04-28,TIME,0.04641409566303714
688088.SH,2021-04-15,2021-04-28,STOP,-0.08286055938877904
688390.SH,2021-04-13,2021-05-07,TPALL,0.31916045009805455
688116.SH,2021-04-08,2021-05-10,TIME,0.2576884913999117
688222.SH,2021-04-30,2021-05-11,STOP,-0.08993677502362159
688200.SH,2021-04-16,2021-05-17,TIME,0.05927358478561586
688021.SH,2021-04-28,2021-05-28,TIME,0.20394676675739698
688019.SH,2021-05-10,2021-05-28,TPALL,0.3280507776075487
688127.SH,2021-04-29,2021-06-01,TIME,0.28785451581830174
688222.SH,2021-05-14,2021-06-04,TRAIL,0.15761864885296478
688135.SH,2021-05-12,2021-06-07,TPALL,0.37214188768485257
688529.SH,2021-05-10,2021-06-09,TIME,0.03093221865371916
688036.SH,2021-05-10,2021-06-09,TIME,0.07554410854720509
688008.SH,2021-05-11,2021-06-10,TIME,0.19526671681878405
688408.SH,2021-05-12,2021-06-11,TIME,0.22740243059298207
