start,end,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate,mean_trade_return,variant,name_cn,oos_annualized,oos_max_drawdown,score
2020-01-01,2026-07-31,1000000.0,23054674.80197227,22.05467480197227,0.6114699086574138,-0.31732704882019,672,0.49255952380952384,0.058018301615475686,stop_risk_filter,先止损概率过滤,0.2962732436207858,-0.3073761244752854,0.47527443387945223
2020-01-01,2026-07-31,1000000.0,19694111.176261127,18.694111176261128,0.5733226820939958,-0.3676779054456335,923,0.4463705308775731,0.041238088650498585,trailing_profit,盈利后移动止盈,0.18280185659654968,-0.3832802827273418,0.28825697821644414
2020-01-01,2026-07-31,1000000.0,22568383.90294156,21.56838390294156,0.6062544336512672,-0.3776470258877703,876,0.4383561643835616,0.04570661798729426,baseline1,基准1-1,0.1470171003620564,-0.4063047287421462,0.2779929388582526
2020-01-01,2026-07-31,1000000.0,22568383.90294156,21.56838390294156,0.6062544336512672,-0.3776470258877703,876,0.4383561643835616,0.04570661798729426,crowding_threshold,信号拥挤提高阈值,0.1470171003620564,-0.4063047287421462,0.2779929388582526
2020-01-01,2026-07-31,1000000.0,12323537.400994712,11.323537400994713,0.4650689921845761,-0.27923067839481397,622,0.44694533762057875,0.0480431099502944,market_breadth_gate,科创普跌广度过滤,0.14851878606826174,-0.2549003289818662,0.2752600883751852
2020-01-01,2026-07-31,1000000.0,12780097.145352764,11.780097145352764,0.47319572416275246,-0.31991015253818456,939,0.4398296059637913,0.04825034355758872,volatility_sizing,波动率反向仓位,0.19456556589177132,-0.31983985447858454,0.2575291164277693
2020-01-01,2026-07-31,1000000.0,15049445.186773974,14.049445186773974,0.5102703185499007,-0.3418449654104502,933,0.43729903536977494,0.04463110093310394,opportunity_quality,机会质量控制仓位,0.17116857962921017,-0.3417992640861418,0.25408399806722215
2020-01-01,2026-07-31,1000000.0,4667271.428529378,3.6672714285293777,0.26397432518110553,-0.18961013194330634,228,0.5263157894736842,0.07805579138653826,drawdown_throttle,组合回撤限制新增仓位,0.30746165982947327,-0.23277946985414488,0.24688320607313863
2020-01-01,2026-07-31,1000000.0,18900089.533887874,17.900089533887876,0.5635079499911149,-0.37742446908163796,848,0.4375,0.04488475452030469,correlation_dedup,高相关候选去重,0.1294382921080639,-0.4058755686209079,0.22329973373035938
2020-01-01,2026-07-31,1000000.0,6617923.904726966,5.6179239047269665,0.3329062199583319,-0.2641092881838468,447,0.49217002237136465,0.05169329564351465,baseline2_candidate,基准1-2候选,0.12539809084771503,-0.2604011235425647,0.13220415710220607
2020-01-01,2026-07-31,1000000.0,4643250.646204003,3.6432506462040033,0.262982970232126,-0.33241251657323134,582,0.39690721649484534,0.03445107680393676,low_vol_filter,高波动信号过滤,0.10900404105229566,-0.1689699713251348,0.06352543062463158
2020-01-01,2026-07-31,1000000.0,1245043.9473416414,0.24504394734164148,0.033888862983550316,-0.05436316385163986,15,0.6666666666666666,0.17242582617941465,stop_cooldown,连续止损冷却,0.05732855691955496,-0.07423429103295798,0.0032902526407099786
