variant,period,start,end,initial_cash,ending_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate
baseline1,2020,2020-01-01,2020-12-31,1000000.0,2077373.7828610258,1.077373782861026,1.0825959170209911,-0.09578994492553239,81,0.5802469135802469
baseline1,2021,2021-01-01,2021-12-31,1000000.0,2731573.918808812,1.7315739188088117,1.7640811108012273,-0.09188629078859334,115,0.5739130434782609
baseline1,2022,2022-01-01,2022-12-31,1000000.0,1150182.326061827,0.1501823260618269,0.152531677170745,-0.3162680598234904,154,0.35064935064935066
baseline1,2023,2023-01-01,2023-12-31,1000000.0,1577810.7240253119,0.5778107240253119,0.5883390165929638,-0.12465608399957495,120,0.475
baseline1,2024,2024-01-01,2024-12-31,1000000.0,1623268.0171118863,0.6232680171118863,0.6259707393771377,-0.26564884978768477,179,0.3575418994413408
baseline1,2025,2025-01-01,2025-12-31,1000000.0,1834421.2551042086,0.8344212551042085,0.8413329830267864,-0.0867694127996037,90,0.5444444444444444
baseline1,2026H1-7,2026-01-01,2026-07-31,1000000.0,635663.4462818257,-0.3643365537181743,-0.5504314858028192,-0.41287649696729056,101,0.19801980198019803
stop_risk_filter,2020,2020-01-01,2020-12-31,1000000.0,1963587.7568595747,0.9635877568595748,0.9681430895590606,-0.052987216677588544,44,0.75
stop_risk_filter,2021,2021-01-01,2021-12-31,1000000.0,1909786.3383798595,0.9097863383798594,0.9243885973085655,-0.06478370508070397,79,0.6455696202531646
stop_risk_filter,2022,2022-01-01,2022-12-31,1000000.0,1392324.035566112,0.39232403556611195,0.3990606229613094,-0.24993861047457,131,0.4198473282442748
stop_risk_filter,2023,2023-01-01,2023-12-31,1000000.0,1412579.9375914012,0.4125799375914012,0.41971353873979544,-0.07962657056251621,87,0.4942528735632184
stop_risk_filter,2024,2024-01-01,2024-12-31,1000000.0,1997515.327900982,0.9975153279009821,1.0022671556588425,-0.22962701382072692,154,0.44805194805194803
stop_risk_filter,2025,2025-01-01,2025-12-31,1000000.0,1863416.33024209,0.8634163302420899,0.8706191315180627,-0.03989003354447429,61,0.6065573770491803
stop_risk_filter,2026H1-7,2026-01-01,2026-07-31,1000000.0,766673.3031173757,-0.2333266968826243,-0.37425731376933313,-0.3076149812535587,86,0.2441860465116279
trailing_profit,2020,2020-01-01,2020-12-31,1000000.0,2116899.978967228,1.1168999789672278,1.1223588423433144,-0.08228951853255095,82,0.6097560975609756
trailing_profit,2021,2021-01-01,2021-12-31,1000000.0,2449094.172774095,1.4490941727740951,1.4750569108022087,-0.09899790646855411,120,0.5916666666666667
trailing_profit,2022,2022-01-01,2022-12-31,1000000.0,1117062.4942286012,0.11706249422860115,0.11886734867455373,-0.35622825287330073,163,0.3619631901840491
trailing_profit,2023,2023-01-01,2023-12-31,1000000.0,1488819.3389257877,0.48881933892578777,0.4974854588590063,-0.14302145916408704,131,0.46564885496183206
trailing_profit,2024,2024-01-01,2024-12-31,1000000.0,1503090.7386236396,0.5030907386236396,0.505195730334578,-0.26564884978768477,192,0.375
trailing_profit,2025,2025-01-01,2025-12-31,1000000.0,1835091.116641374,0.8350911166413741,0.8420095369105245,-0.08001750681522046,92,0.5760869565217391
trailing_profit,2026H1-7,2026-01-01,2026-07-31,1000000.0,674367.8049709701,-0.32563219502902985,-0.5010124686492855,-0.38651547873762726,106,0.2358490566037736
market_breadth_gate,2020,2020-01-01,2020-12-31,1000000.0,1698538.7132313238,0.6985387132313237,0.7016316080755456,-0.09821242597868707,55,0.6181818181818182
market_breadth_gate,2021,2021-01-01,2021-12-31,1000000.0,2368147.6912666727,1.3681476912666728,1.3923055270004476,-0.07562041053087187,84,0.5952380952380952
market_breadth_gate,2022,2022-01-01,2022-12-31,1000000.0,1015294.820285328,0.015294820285328026,0.015519591744950656,-0.17482697923450052,87,0.3218390804597701
market_breadth_gate,2023,2023-01-01,2023-12-31,1000000.0,1573628.7544992524,0.5736287544992524,0.5840678305615012,-0.10410316728798752,115,0.4608695652173913
market_breadth_gate,2024,2024-01-01,2024-12-31,1000000.0,1633791.0912497984,0.6337910912497984,0.6365476488851223,-0.27892785256939,116,0.41379310344827586
market_breadth_gate,2025,2025-01-01,2025-12-31,1000000.0,1536414.9861956555,0.5364149861956555,0.5405102037373952,-0.08678097601032664,71,0.5070422535211268
market_breadth_gate,2026H1-7,2026-01-01,2026-07-31,1000000.0,769328.4032960802,-0.2306715967039198,-0.3704285320789188,-0.25478667927963516,70,0.2
baseline2_candidate,2020,2020-01-01,2020-12-31,1000000.0,1422758.2344941618,0.42275823449416183,0.424482014377344,-0.06260513160134162,26,0.7307692307692307
baseline2_candidate,2021,2021-01-01,2021-12-31,1000000.0,1632484.5996893486,0.6324845996893487,0.6419311194342978,-0.07495954339725164,61,0.6229508196721312
baseline2_candidate,2022,2022-01-01,2022-12-31,1000000.0,1197594.3975539817,0.19759439755398178,0.2007477262989581,-0.14433270812228993,62,0.43548387096774194
baseline2_candidate,2023,2023-01-01,2023-12-31,1000000.0,1262221.6661934375,0.26222166619343756,0.2665155468027831,-0.09089929784397832,71,0.4647887323943662
baseline2_candidate,2024,2024-01-01,2024-12-31,1000000.0,1593352.6156497258,0.5933526156497257,0.5959035839501203,-0.2641381883731432,104,0.47115384615384615
baseline2_candidate,2025,2025-01-01,2025-12-31,1000000.0,1473268.6054302102,0.4732686054302102,0.4768112913475131,-0.045834066331538637,43,0.627906976744186
baseline2_candidate,2026H1-7,2026-01-01,2026-07-31,1000000.0,778411.0657159898,-0.22158893428401016,-0.35725446135812056,-0.2581396840825718,61,0.19672131147540983
