start_year,start,end,variant,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate
2020,2020-01-01,2026-07-31,baseline1,1000000.0,22568383.90294156,21.56838390294156,0.6062544336512672,-0.3776470258877703,876,0.4383561643835616
2020,2020-01-01,2026-07-31,baseline2,1000000.0,23054674.80197227,22.05467480197227,0.6114699086574138,-0.31732704882019,672,0.49255952380952384
2021,2021-01-01,2026-07-31,baseline1,1000000.0,10413793.912826963,9.413793912826963,0.5231208236503819,-0.40634967735392846,791,0.42098609355246525
2021,2021-01-01,2026-07-31,baseline2,1000000.0,11610731.081891865,10.610731081891865,0.5531709213862048,-0.3173270860075129,621,0.4718196457326892
2022,2022-01-01,2026-07-31,baseline1,1000000.0,3720450.1985360757,2.7204501985360756,0.3331259527824011,-0.4063107845479267,664,0.39006024096385544
2022,2022-01-01,2026-07-31,baseline2,1000000.0,5992539.432276603,4.992539432276603,0.47970514401685294,-0.317323619624708,540,0.44074074074074077
2023,2023-01-01,2026-07-31,baseline1,1000000.0,3151257.1830750094,2.1512571830750096,0.37885367392609703,-0.40629696703761053,505,0.39801980198019804
2023,2023-01-01,2026-07-31,baseline2,1000000.0,4174239.2982085245,3.1742392982085246,0.4917303478999424,-0.3173271501255992,406,0.4458128078817734
2024,2024-01-01,2026-07-31,baseline1,1000000.0,2021819.0478602462,1.0218190478602462,0.3142383732983609,-0.40628230312065683,382,0.3717277486910995
2024,2024-01-01,2026-07-31,baseline2,1000000.0,3016556.236948172,2.016556236948172,0.5350509445398468,-0.31321416782979217,315,0.43174603174603177
2025,2025-01-01,2026-07-31,baseline1,1000000.0,1241019.9114303126,0.24101991143031265,0.1470171003620564,-0.4063047287421462,201,0.38308457711442784
2025,2025-01-01,2026-07-31,baseline2,1000000.0,1504576.0874584403,0.5045760874584404,0.2962732436207858,-0.3073761244752854,157,0.42038216560509556
2026,2026-01-01,2026-07-31,baseline1,1000000.0,635663.4462818257,-0.3643365537181743,-0.5504314858028192,-0.41287649696729056,101,0.19801980198019803
2026,2026-01-01,2026-07-31,baseline2,1000000.0,766673.3031173757,-0.2333266968826243,-0.37425731376933313,-0.3076149812535587,86,0.2441860465116279
