variant,period,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate
strategy2,2020,1000000.0,1963587.7568595747,0.9635877568595748,0.9681430895590606,-0.052987216677588544,44,0.75
strategy3_candidate,2020,1000000.0,1963587.7568595747,0.9635877568595748,0.9681430895590606,-0.052987216677588544,44,0.75
strategy2,2021,1000000.0,1909786.3383798595,0.9097863383798594,0.9243885973085655,-0.06478370508070397,79,0.6455696202531646
strategy3_candidate,2021,1000000.0,1889830.0846046677,0.8898300846046678,0.9040442750472057,-0.060683094067311094,80,0.65
strategy2,2022,1000000.0,1392324.035566112,0.39232403556611195,0.3990606229613094,-0.24993861047457,131,0.4198473282442748
strategy3_candidate,2022,1000000.0,1393736.833175086,0.3937368331750859,0.4005009698548354,-0.2379656777584469,134,0.4253731343283582
strategy2,2023,1000000.0,1412579.9375914012,0.4125799375914012,0.41971353873979544,-0.07962657056251621,87,0.4942528735632184
strategy3_candidate,2023,1000000.0,1440785.919542007,0.44078591954200697,0.44847953732206025,-0.07853258968165577,89,0.5056179775280899
strategy2,2024,1000000.0,1997515.327900982,0.9975153279009821,1.0022671556588425,-0.22962701382072692,154,0.44805194805194803
strategy3_candidate,2024,1000000.0,1843886.9074908278,0.8438869074908277,0.8477653962454639,-0.2245247598564727,180,0.4388888888888889
strategy2,2025,1000000.0,1863416.33024209,0.8634163302420899,0.8706191315180627,-0.03989003354447429,61,0.6065573770491803
strategy3_candidate,2025,1000000.0,1823568.365542075,0.8235683655420749,0.8303718799134048,-0.0328490521935878,62,0.6451612903225806
strategy2,2026,1000000.0,766673.3031173757,-0.2333266968826243,-0.37425731376933313,-0.3076149812535587,86,0.2441860465116279
strategy3_candidate,2026,1000000.0,819658.6220802645,-0.18034137791973548,-0.29594583035222566,-0.25107377423516086,89,0.2696629213483146
