date,equity,cash,holdings
2020-01-02,10099675.564869799,330.56486979837064,20
2020-01-03,10042373.564869799,330.56486979837064,20
2020-01-06,10144492.564869799,330.56486979837064,20
2020-01-07,10269200.564869799,330.56486979837064,20
2020-01-08,10125268.564869797,330.56486979837064,20
2020-01-09,10173571.564869799,330.56486979837064,20
2020-01-10,10126108.564869799,330.56486979837064,20
2020-01-13,10273191.564869799,330.56486979837064,20
2020-01-14,10313599.564869799,330.56486979837064,20
2020-01-15,10237695.564869799,330.56486979837064,20
2020-01-16,10104747.564869799,330.56486979837064,20
2020-01-17,10183128.564869799,330.56486979837064,20
2020-01-20,10199442.564869799,330.56486979837064,20
2020-01-21,9987033.564869799,330.56486979837064,20
2020-01-22,10046883.564869799,330.56486979837064,20
2020-01-23,9705545.564869799,330.56486979837064,20
2020-02-03,8846656.012747599,29.01274759840453,20
2020-02-04,8976067.012747599,29.01274759840453,20
2020-02-05,9161198.012747599,29.01274759840453,20
2020-02-06,9284198.012747599,29.01274759840453,20
2020-02-07,9308837.012747599,29.01274759840453,20
2020-02-10,9485608.012747599,29.01274759840453,20
2020-02-11,9444427.012747599,29.01274759840453,20
2020-02-12,9563748.012747599,29.01274759840453,20
2020-02-13,9445097.012747599,29.01274759840453,20
2020-02-14,9390467.012747599,29.01274759840453,20
2020-02-17,9613093.012747599,29.01274759840453,20
2020-02-18,9669868.012747599,29.01274759840453,20
2020-02-19,9637245.012747599,29.01274759840453,20
2020-02-20,9758418.012747599,29.01274759840453,20
2020-02-21,9757251.012747599,29.01274759840453,20
2020-02-24,9671835.012747599,29.01274759840453,20
2020-02-25,9556607.012747599,29.01274759840453,20
2020-02-26,9517636.012747599,29.01274759840453,20
2020-02-27,9514858.012747599,29.01274759840453,20
2020-02-28,9121806.012747599,29.01274759840453,20
2020-03-02,9373651.588519197,3.5885191973648034,20
2020-03-03,9386211.588519197,3.5885191973648034,20
2020-03-04,9522907.588519197,3.5885191973648034,20
2020-03-05,9662277.588519197,3.5885191973648034,20
2020-03-06,9811211.588519197,3.5885191973648034,20
2020-03-09,9539291.588519197,3.5885191973648034,20
2020-03-10,9613528.588519197,3.5885191973648034,20
2020-03-11,9485234.588519197,3.5885191973648034,20
2020-03-12,9282846.588519197,3.5885191973648034,20
2020-03-13,9011820.588519197,3.5885191973648034,20
2020-03-16,8827600.588519197,3.5885191973648034,20
2020-03-17,8742787.588519197,3.5885191973648034,20
2020-03-18,8619590.588519197,3.5885191973648034,20
2020-03-19,8577434.588519197,3.5885191973648034,20
2020-03-20,8684033.588519197,3.5885191973648034,20
2020-03-23,8394508.588519197,3.5885191973648034,20
2020-03-24,8573860.588519197,3.5885191973648034,20
2020-03-25,8746275.588519197,3.5885191973648034,20
2020-03-26,8672952.588519197,3.5885191973648034,20
2020-03-27,8735480.588519197,3.5885191973648034,20
2020-03-30,8578227.588519197,3.5885191973648034,20
2020-03-31,8584704.588519197,3.5885191973648034,20
2020-04-01,8550194.198732998,1312.1987329978,21
2020-04-02,8867856.198732998,1312.1987329978,21
2020-04-03,8753608.198732998,1312.1987329978,21
2020-04-07,9066599.198732998,1312.1987329978,21
2020-04-08,9139574.198732998,1312.1987329978,21
2020-04-09,9179916.198732998,1312.1987329978,21
2020-04-10,8874033.198732998,1312.1987329978,21
2020-04-13,8732236.198732998,1312.1987329978,21
2020-04-14,9049499.198732998,1312.1987329978,21
2020-04-15,9136811.198732998,1312.1987329978,21
2020-04-16,9081882.198732998,1312.1987329978,21
2020-04-17,9159056.198732998,1312.1987329978,21
2020-04-20,9224582.198732998,1312.1987329978,21
2020-04-21,9019204.198732998,1312.1987329978,21
2020-04-22,9055356.198732998,15572.198732997827,21
2020-04-23,8913177.198732998,15572.198732997827,21
2020-04-24,8802223.198732998,15572.198732997827,21
2020-04-27,8684370.198732998,15572.198732997827,21
2020-04-28,8615961.198732998,15572.198732997827,21
2020-04-29,8802301.198732998,15572.198732997827,21
2020-04-30,9182178.198732998,23982.198732997873,21
2020-05-06,9160905.4431872,680.4431871994748,20
2020-05-07,9198989.4431872,680.4431871994748,20
2020-05-08,9219763.4431872,680.4431871994748,20
2020-05-11,9176851.4431872,680.4431871994748,20
2020-05-12,9076277.4431872,680.4431871994748,20
2020-05-13,9098545.4431872,680.4431871994748,20
2020-05-14,9043954.4431872,680.4431871994748,20
2020-05-15,9101433.4431872,680.4431871994748,20
2020-05-18,9123524.4431872,12848.443187199515,20
2020-05-19,9142841.4431872,12848.443187199515,20
2020-05-20,9120195.4431872,12848.443187199515,20
2020-05-21,9103523.4431872,45368.44318719944,20
2020-05-22,8949054.4431872,45368.44318719944,20
2020-05-25,9071829.4431872,45368.44318719944,20
2020-05-26,9138106.4431872,45368.44318719944,20
2020-05-27,9240025.4431872,45368.44318719944,20
2020-05-28,9283876.4431872,45368.44318719944,20
2020-05-29,9320765.4431872,45368.44318719944,20
2020-06-01,9430620.038206,162402.03820599976,20
2020-06-02,9472412.038206,162402.03820599976,20
2020-06-03,9412118.038206,162402.03820599976,20
2020-06-04,9468451.038206,175317.03820599982,20
2020-06-05,9446443.038206,175317.03820599982,20
2020-06-08,9417684.038206,175317.03820599982,20
2020-06-09,9399157.038206,175317.03820599982,20
2020-06-10,9465483.038206,175317.03820599982,20
2020-06-11,9424059.038206,175317.03820599982,20
2020-06-12,9462018.038206,175317.03820599982,20
2020-06-15,9414409.038206,175317.03820599982,20
2020-06-16,9541104.038206,175317.03820599982,20
2020-06-17,9552070.038206,199764.03820599976,20
2020-06-18,9502149.038206,199764.03820599976,20
2020-06-19,9615728.038206,199764.03820599976,20
2020-06-22,9645381.038206,199764.03820599976,20
2020-06-23,9619881.038206,199764.03820599976,20
2020-06-24,9577384.038206,208555.4382059998,20
2020-06-29,9494186.638206,208555.4382059998,20
2020-06-30,9616364.838206,208555.4382059998,20
2020-07-01,9721012.17849992,185.17849992017727,20
2020-07-02,9856322.17849992,185.17849992017727,20
2020-07-03,10004920.17849992,185.17849992017727,20
2020-07-06,10421160.17849992,185.17849992017727,20
2020-07-07,10529111.17849992,185.17849992017727,20
2020-07-08,10729387.17849992,185.17849992017727,20
2020-07-09,10956791.17849992,185.17849992017727,20
2020-07-10,10880266.77849992,185.17849992017727,20
2020-07-13,11240411.37849992,8105.178499920149,20
2020-07-14,11267064.77849992,8105.178499920149,20
2020-07-15,10993165.37849992,8105.178499920149,20
2020-07-16,10556205.978499921,8105.178499920149,20
2020-07-17,10581527.77849992,8105.178499920149,20
2020-07-20,11016255.37849992,8105.178499920149,20
2020-07-21,11000372.17849992,8105.178499920149,20
2020-07-22,11053213.37849992,8105.178499920149,20
2020-07-23,11031286.57849992,8105.178499920149,20
2020-07-24,10556807.978499921,8105.178499920149,20
2020-07-27,10544675.37849992,8105.178499920149,20
2020-07-28,10638654.77849992,8105.178499920149,20
2020-07-29,10853887.37849992,8105.178499920149,20
2020-07-30,10801074.77849992,8105.178499920149,20
2020-07-31,10896085.17849992,8105.178499920149,20
2020-08-03,11185181.29017644,636867.2901764397,19
2020-08-04,11301593.29017644,636867.2901764397,19
2020-08-05,11336447.29017644,636867.2901764397,19
2020-08-06,11326149.29017644,636867.2901764397,19
2020-08-07,11323525.29017644,636867.2901764397,19
2020-08-10,11512281.29017644,636867.2901764397,19
2020-08-11,11292690.29017644,636867.2901764397,19
2020-08-12,11266634.29017644,636867.2901764397,19
2020-08-13,11368513.29017644,636867.2901764397,19
2020-08-14,11313131.29017644,636867.2901764397,19
2020-08-17,11560968.29017644,636867.2901764397,19
2020-08-18,11699472.29017644,636867.2901764397,19
2020-08-19,11749686.29017644,636867.2901764397,19
2020-08-20,11552148.29017644,636867.2901764397,19
2020-08-21,11681043.29017644,636867.2901764397,19
2020-08-24,11751782.29017644,636867.2901764397,19
2020-08-25,11822601.29017644,636867.2901764397,19
2020-08-26,11489772.29017644,636867.2901764397,19
2020-08-27,11586869.29017644,636867.2901764397,19
2020-08-28,11725413.29017644,636867.2901764397,19
