date,time,symbol,side,fill_price,quantity,amount,commission,stamp_tax
2020-01-02,09:31:00,600395.SH,BUY,6.152279999999999,63900,393130.692,117.93920759999999,0.0
2020-01-02,09:31:00,603600.SH,BUY,12.404760000000001,30600,379585.656,113.8756968,0.0
2020-01-02,09:31:00,600377.SH,BUY,11.322600000000001,53200,602362.3200000001,180.708696,0.0
2020-01-02,09:31:00,603587.SH,BUY,25.57104,14400,368222.976,110.4668928,0.0
2020-01-02,09:31:00,600337.SH,BUY,4.448880000000001,97600,434210.6880000001,130.2632064,0.0
2020-01-02,09:31:00,601222.SH,BUY,4.89978,125300,613942.434,184.18273019999998,0.0
2020-01-02,09:31:00,002004.SZ,BUY,4.9599,68100,337769.19,101.33075699999999,0.0
2020-01-02,09:31:00,603167.SH,BUY,10.85166,38100,413448.24600000004,124.0344738,0.0
2020-01-02,09:31:00,600548.SH,BUY,11.54304,32700,377457.408,113.2372224,0.0
2020-01-02,09:31:00,600808.SH,BUY,3.09618,150700,466594.326,139.97829779999998,0.0
2020-01-02,09:31:00,000778.SZ,BUY,4.21842,178100,751300.602,225.39018059999998,0.0
2020-01-02,09:31:00,600348.SH,BUY,5.58114,98900,551974.746,165.5924238,0.0
2020-01-02,09:31:00,603608.SH,BUY,9.3186,51300,478044.18,143.413254,0.0
2020-01-02,09:31:00,002154.SZ,BUY,3.21642,162500,522668.25,156.80047499999998,0.0
2020-01-02,09:31:00,600295.SH,BUY,9.1182,72900,664716.78,199.415034,0.0
2020-01-02,09:31:00,603730.SH,BUY,30.2604,16900,511400.76,153.42022799999998,0.0
2020-01-02,09:31:00,002756.SZ,BUY,18.09612,16700,302205.20399999997,90.66156119999998,0.0
2020-01-02,09:31:00,601003.SH,BUY,5.72142,76900,439977.19800000003,131.9931594,0.0
2020-01-02,09:31:00,002128.SZ,BUY,8.707379999999999,74500,648699.8099999999,194.60994299999996,0.0
2020-01-02,09:31:00,600153.SH,BUY,9.07812,81400,738958.968,221.68769039999998,0.0
2020-02-03,09:31:00,600337.SH,SELL,4.5908,97600,448062.07999999996,134.41862399999997,448.06208
2020-02-03,09:31:00,002004.SZ,BUY,4.529039999999999,8900,40308.45599999999,12.092536799999996,0.0
2020-02-03,09:31:00,603167.SH,BUY,9.09816,16200,147390.192,44.2170576,0.0
2020-02-03,09:31:00,600808.SH,BUY,2.56512,4600,11799.552,5.0,0.0
2020-02-03,09:31:00,600295.SH,SELL,7.37522,72900,537653.538,161.29606139999996,537.6535379999999
2020-02-03,09:31:00,002756.SZ,BUY,18.3366,1000,18336.600000000002,5.50098,0.0
2020-02-03,09:31:00,002381.SZ,BUY,7.77552,57700,448647.504,134.5942512,0.0
2020-02-03,09:31:00,002206.SZ,BUY,3.66732,86700,317956.64400000003,95.3869932,0.0
2020-03-02,09:31:00,600395.SH,SELL,5.56884,63900,355848.876,106.75466279999999,355.848876
2020-03-02,09:31:00,603600.SH,SELL,11.746459999999999,30600,359441.676,107.83250279999999,359.441676
2020-03-02,09:31:00,600377.SH,BUY,10.10016,4900,49490.78400000001,14.8472352,0.0
2020-03-02,09:31:00,603587.SH,SELL,21.59672,14400,310992.76800000004,93.29783040000001,310.99276800000007
2020-03-02,09:31:00,601222.SH,SELL,5.20956,125300,652757.868,195.82736039999998,652.757868
2020-03-02,09:31:00,002004.SZ,SELL,4.9301200000000005,77000,379619.24000000005,113.885772,379.61924000000005
2020-03-02,09:31:00,603167.SH,SELL,8.353259999999999,54300,453582.0179999999,136.07460539999997,453.58201799999995
2020-03-02,09:31:00,600548.SH,SELL,9.5309,32700,311660.43000000005,93.498129,311.6604300000001
2020-03-02,09:31:00,600808.SH,BUY,2.77554,75100,208443.054,62.532916199999995,0.0
2020-03-02,09:31:00,000778.SZ,SELL,3.58282,178100,638100.242,191.43007259999996,638.100242
2020-03-02,09:31:00,600348.SH,SELL,4.6906,98900,463900.33999999997,139.17010199999999,463.90033999999997
2020-03-02,09:31:00,603608.SH,SELL,9.50096,51300,487399.24799999996,146.21977439999998,487.399248
2020-03-02,09:31:00,002154.SZ,SELL,3.31336,37700,124913.67199999999,37.4741016,124.91367199999999
2020-03-02,09:31:00,603730.SH,SELL,32.45496,16900,548488.824,164.5466472,548.488824
2020-03-02,09:31:00,002756.SZ,SELL,19.88016,17700,351878.832,105.56364959999999,351.878832
2020-03-02,09:31:00,601003.SH,SELL,4.87024,76900,374521.456,112.3564368,374.521456
2020-03-02,09:31:00,002128.SZ,SELL,7.554860000000001,14000,105768.04000000001,31.730412,105.76804000000001
2020-03-02,09:31:00,600153.SH,SELL,7.67462,81400,624714.068,187.41422039999998,624.714068
2020-03-02,09:31:00,002381.SZ,SELL,8.0838,7100,57394.98,17.218494,57.394980000000004
2020-03-02,09:31:00,002206.SZ,BUY,3.8176200000000002,18100,69098.922,20.7296766,0.0
2020-03-02,09:31:00,600688.SH,BUY,4.29858,104900,450921.042,135.27631259999998,0.0
2020-03-02,09:31:00,002397.SZ,BUY,5.39076,65600,353633.856,106.0901568,0.0
2020-03-02,09:31:00,601567.SH,BUY,8.1663,53900,440163.57,132.049071,0.0
2020-03-02,09:31:00,002275.SZ,BUY,14.30856,48200,689672.592,206.90177759999997,0.0
2020-03-02,09:31:00,600873.SH,BUY,4.3987799999999995,109200,480346.77599999995,144.10403279999997,0.0
2020-03-02,09:31:00,601965.SH,BUY,8.58714,46300,397584.582,119.27537459999999,0.0
2020-03-02,09:31:00,002361.SZ,BUY,4.59918,85600,393689.80799999996,118.10694239999998,0.0
2020-03-02,09:31:00,002632.SZ,BUY,7.79556,51800,403810.00800000003,121.1430024,0.0
2020-03-02,09:31:00,000708.SZ,BUY,27.44478,16000,439116.48000000004,131.734944,0.0
2020-03-02,09:31:00,600761.SH,BUY,9.3186,47800,445429.08,133.628724,0.0
2020-03-02,09:31:00,002595.SZ,BUY,21.182280000000002,21100,446946.10800000007,134.0838324,0.0
2020-03-02,09:31:00,600642.SH,BUY,5.270519999999999,87700,462224.60399999993,138.66738119999997,0.0
2020-03-02,09:31:00,002550.SZ,BUY,4.62924,100800,466627.39200000005,139.9882176,0.0
2020-03-02,09:31:00,600308.SH,BUY,4.47894,87800,393250.932,117.97527959999998,0.0
2020-04-01,09:31:00,600377.SH,SELL,9.79038,58100,568821.0780000001,170.6463234,568.821078
2020-04-01,09:31:00,600808.SH,SELL,2.495,230400,574848.0,172.4544,574.848
2020-04-01,09:31:00,002154.SZ,SELL,3.0239399999999996,124800,377387.71199999994,113.21631359999998,377.38771199999996
