name,selection_score,eligible_dd35,dev_annual,dev_dd,val_annual,val_dd,holdout_annual,holdout_dd,full_annual,full_dd,full_sharpe,final_equity,avg_holdings,parameters
deep_quality25,0.3002853545910166,True,0.2718679995639748,-0.3275922856517982,0.32870270961805836,-0.1948755519640697,0.17630565862532843,-0.15508972269804266,0.25025184742752393,-0.3275922856517982,1.0848657062220157,44569741.504913665,20.13177339901478,"{""name"": ""deep_quality25"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
deep_wide,0.28830133321228546,True,0.2671323038458284,-0.33858007346427876,0.3094703625787425,-0.2083603696869344,0.24888323001203805,-0.15327104490236865,0.2633383141953396,-0.33858007346427876,1.1091444102631056,47785847.7115229,20.116995073891626,"{""name"": ""deep_wide"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 20, ""buffer"": 60, ""exposure"": 0.95, ""cap"": 1.5}"
deep_full,0.2833745332350259,True,0.2796252490823885,-0.3306861552959446,0.28712381738766335,-0.2085535490691699,0.1875077468505708,-0.16123992359487027,0.25123030562985815,-0.3306861552959446,1.038612799336786,44803659.245553836,20.161330049261085,"{""name"": ""deep_full"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5}"
deep_base,0.2799539192779332,True,0.26851564590781174,-0.316296877002057,0.2913921926480547,-0.1980660171564389,0.18447448765419439,-0.1549859998359867,0.24479219512622818,-0.316296877002057,1.0503326830197603,43283492.188459516,20.092980295566502,"{""name"": ""deep_base"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
deep_cap20,0.2789634720939479,True,0.26691266834298166,-0.31612537345001235,0.2910142758449141,-0.19825407942841178,0.18139496893459528,-0.15552537598507787,0.24296256832175267,-0.31612537345001235,1.0456265133442437,42859573.24963103,20.067118226600986,"{""name"": ""deep_cap20"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 2.0}"
deep_25,0.27807113284254503,True,0.24888928740223992,-0.32503409604334466,0.30725297828285014,-0.19856091268883658,0.18594750016990513,-0.15032887177258192,0.2358883029307115,-0.32503409604334466,1.034882538063265,41253541.83482258,24.910098522167488,"{""name"": ""deep_25"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 25, ""buffer"": 50, ""exposure"": 0.95, ""cap"": 1.5}"
deep_15,0.2652827023493912,True,0.2648849815929737,-0.3490455514680819,0.26568042310580875,-0.2139439137027206,0.24851911796842852,-0.15164853997953176,0.2577443102401009,-0.3490455514680819,1.0738338745584834,46387727.457911804,15.508620689655173,"{""name"": ""deep_15"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 15, ""buffer"": 30, ""exposure"": 0.95, ""cap"": 1.5}"
deep_fast80,0.22989832918902908,True,0.20654125759367292,-0.31714796679551915,0.25325540078438524,-0.2037364682653633,0.29728607882386826,-0.15474344244347749,0.23072963741528119,-0.31714796679551915,1.0109952616031141,40114932.04063395,20.016625615763548,"{""name"": ""deep_fast80"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 80, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
deep_full_wide,0.2933671474841919,False,0.27854462735252783,-0.3534835441268339,0.308189667615856,-0.21884832464220683,0.25321145317191673,-0.15922277430579912,0.2707930071291522,-0.3534835441268339,1.0983767611515287,49704599.73320706,20.21243842364532,"{""name"": ""deep_full_wide"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 20, ""buffer"": 60, ""exposure"": 1.0, ""cap"": 1.5}"
deeper_65,0.26294961151256047,False,0.2589341608712703,-0.31199158777476044,0.26696506215385063,-0.2515607061329844,0.23537576046605269,-0.1592772630066076,0.24914956583525227,-0.3622728332045363,1.032053588736429,44307466.62785514,20.075738916256157,"{""name"": ""deeper_65"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.65, 0.3, 0.05], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
