date,equity,cash,holdings
2020-01-02,10094614.765359,487931.76535899926,20
2020-01-03,10040289.765359,487931.76535899926,20
2020-01-06,10137406.765359,487931.76535899926,20
2020-01-07,10255782.765359,487931.76535899926,20
2020-01-08,10119084.765359,487931.76535899926,20
2020-01-09,10165091.765359,487931.76535899926,20
2020-01-10,10120114.765359,487931.76535899926,20
2020-01-13,10259560.765359,487931.76535899926,20
2020-01-14,10297812.765359,487931.76535899926,20
2020-01-15,10225646.765359,487931.76535899926,20
2020-01-16,10099451.765359,487931.76535899926,20
2020-01-17,10173748.765359,487931.76535899926,20
2020-01-20,10189188.765359,487931.76535899926,20
2020-01-21,9987254.765359,487931.76535899926,20
2020-01-22,10044187.765359,487931.76535899926,20
2020-01-23,9719435.765359,487931.76535899926,20
2020-02-03,8904987.878297798,92.87829779935419,21
2020-02-04,9056352.878297798,92.87829779935419,21
2020-02-05,9239353.878297798,92.87829779935419,21
2020-02-06,9358992.8782978,92.87829779935419,21
2020-02-07,9375402.878297798,92.87829779935419,21
2020-02-10,9548107.878297798,92.87829779935419,21
2020-02-11,9506274.878297798,92.87829779935419,21
2020-02-12,9621301.878297798,92.87829779935419,21
2020-02-13,9502753.878297798,92.87829779935419,21
2020-02-14,9451765.878297798,92.87829779935419,21
2020-02-17,9675980.878297798,92.87829779935419,21
2020-02-18,9728283.878297798,92.87829779935419,21
2020-02-19,9693612.878297798,92.87829779935419,21
2020-02-20,9818929.878297798,92.87829779935419,21
2020-02-21,9817822.878297798,92.87829779935419,21
2020-02-24,9729355.878297798,92.87829779935419,21
2020-02-25,9615885.878297798,92.87829779935419,21
2020-02-26,9583265.878297798,92.87829779935419,21
2020-02-27,9578691.878297798,92.87829779935419,21
2020-02-28,9190104.878297798,92.87829779935419,21
2020-03-02,9434694.714432798,434198.71443279955,20
2020-03-03,9446806.714432798,434198.71443279955,20
2020-03-04,9578071.714432798,434198.71443279955,20
2020-03-05,9711990.714432798,434198.71443279955,20
2020-03-06,9854908.714432798,434198.71443279955,20
2020-03-09,9593415.714432798,434198.71443279955,20
2020-03-10,9665035.714432798,434198.71443279955,20
2020-03-11,9541638.714432798,434198.71443279955,20
2020-03-12,9347379.714432798,434198.71443279955,20
2020-03-13,9087475.714432798,434198.71443279955,20
2020-03-16,8910249.714432798,434198.71443279955,20
2020-03-17,8828935.714432798,434198.71443279955,20
2020-03-18,8710431.7144328,434198.71443279955,20
2020-03-19,8669942.714432798,434198.71443279955,20
2020-03-20,8772220.714432798,434198.71443279955,20
2020-03-23,8494109.7144328,434198.71443279955,20
2020-03-24,8666304.714432798,434198.71443279955,20
2020-03-25,8831779.714432798,434198.71443279955,20
2020-03-26,8761237.7144328,434198.71443279955,20
