date,time,symbol,side,fill_price,quantity,amount,commission,stamp_tax
2020-01-02,09:31:00,600395.SH,BUY,6.152279999999999,60700,373443.39599999995,112.03301879999998,0.0
2020-01-02,09:31:00,603600.SH,BUY,12.404760000000001,29000,359738.04000000004,107.921412,0.0
2020-01-02,09:31:00,600377.SH,BUY,11.322600000000001,20400,230981.04000000004,69.294312,0.0
2020-01-02,09:31:00,603587.SH,BUY,25.57104,11700,299181.168,89.75435039999999,0.0
2020-01-02,09:31:00,600337.SH,BUY,4.448880000000001,66000,293626.0800000001,88.08782400000001,0.0
2020-01-02,09:31:00,601222.SH,BUY,4.89978,114600,561514.788,168.45443639999996,0.0
2020-01-02,09:31:00,002004.SZ,BUY,4.9599,64600,320409.54000000004,96.122862,0.0
2020-01-02,09:31:00,603167.SH,BUY,10.85166,31700,343997.62200000003,103.1992866,0.0
2020-01-02,09:31:00,600548.SH,BUY,11.54304,31100,358988.544,107.69656319999999,0.0
2020-01-02,09:31:00,600808.SH,BUY,3.09618,134300,415816.974,124.74509219999999,0.0
2020-01-02,09:31:00,000778.SZ,BUY,4.21842,155300,655120.626,196.5361878,0.0
2020-01-02,09:31:00,600348.SH,BUY,5.58114,94000,524627.16,157.388148,0.0
2020-01-02,09:31:00,603608.SH,BUY,9.3186,48700,453815.82,136.144746,0.0
2020-01-02,09:31:00,002154.SZ,BUY,3.21642,154400,496615.24799999996,148.98457439999999,0.0
2020-01-02,09:31:00,600295.SH,BUY,9.1182,45600,415789.92,124.73697599999998,0.0
2020-01-02,09:31:00,603730.SH,BUY,30.2604,11600,351020.64,105.306192,0.0
2020-01-02,09:31:00,002756.SZ,BUY,18.09612,15800,285918.696,85.77560879999999,0.0
2020-01-02,09:31:00,601003.SH,BUY,5.72142,73100,418235.802,125.4707406,0.0
2020-01-02,09:31:00,002128.SZ,BUY,8.707379999999999,70700,615611.766,184.68352979999997,0.0
2020-01-02,09:31:00,600153.SH,BUY,9.07812,78600,713540.232,214.06206959999997,0.0
2020-02-03,09:31:00,600395.SH,BUY,5.280539999999999,26000,137294.03999999998,41.18821199999999,0.0
2020-02-03,09:31:00,600377.SH,BUY,10.31058,41700,429951.186,128.98535579999998,0.0
2020-02-03,09:31:00,603587.SH,BUY,23.166240000000002,2300,53282.352000000006,15.9847056,0.0
2020-02-03,09:31:00,600337.SH,SELL,4.5908,66000,302992.8,90.89783999999999,302.9928
2020-02-03,09:31:00,002004.SZ,BUY,4.529039999999999,9800,44384.59199999999,13.315377599999996,0.0
2020-02-03,09:31:00,603167.SH,BUY,9.09816,5100,46400.616,13.9201848,0.0
2020-02-03,09:31:00,600808.SH,BUY,2.56512,15800,40528.896,12.1586688,0.0
2020-02-03,09:31:00,600295.SH,SELL,7.37522,45400,334834.988,100.45049639999999,334.834988
2020-02-03,09:31:00,002756.SZ,BUY,18.3366,1300,23837.58,7.151274,0.0
2020-02-03,09:31:00,002381.SZ,BUY,7.77552,35700,277586.064,83.2758192,0.0
2020-02-03,09:31:00,002206.SZ,BUY,3.66732,89700,328958.604,98.68758119999998,0.0
2020-02-03,09:31:00,600873.SH,BUY,3.86772,138300,534905.676,160.47170279999997,0.0
2020-02-03,09:31:00,601567.SH,BUY,7.27452,31400,228419.92799999999,68.52597839999999,0.0
2020-03-02,09:31:00,600395.SH,SELL,5.56884,69900,389261.91599999997,116.77857479999999,389.261916
2020-03-02,09:31:00,603600.SH,SELL,11.746459999999999,29000,340647.33999999997,102.19420199999998,340.64734
2020-03-02,09:31:00,600377.SH,SELL,10.05984,5500,55329.119999999995,16.598736,55.329119999999996
2020-03-02,09:31:00,603587.SH,SELL,21.59672,10400,224605.888,67.38176639999999,224.60588800000002
2020-03-02,09:31:00,601222.SH,SELL,5.20956,114600,597015.576,179.10467279999997,597.015576
2020-03-02,09:31:00,002004.SZ,SELL,4.9301200000000005,74400,366800.928,110.04027839999999,366.800928
2020-03-02,09:31:00,603167.SH,SELL,8.353259999999999,20200,168735.85199999998,50.62075559999999,168.735852
2020-03-02,09:31:00,600548.SH,SELL,9.5309,25000,238272.50000000003,71.48175,238.27250000000004
2020-03-02,09:31:00,600808.SH,BUY,2.77554,74300,206222.622,61.8667866,0.0
2020-03-02,09:31:00,000778.SZ,SELL,3.58282,155300,556411.946,166.9235838,556.4119460000001
2020-03-02,09:31:00,600348.SH,SELL,4.6906,94000,440916.39999999997,132.27491999999998,440.91639999999995
2020-03-02,09:31:00,603608.SH,SELL,9.50096,48700,462696.752,138.80902559999998,462.696752
2020-03-02,09:31:00,002154.SZ,SELL,3.31336,32800,108678.208,32.6034624,108.678208
2020-03-02,09:31:00,600295.SH,SELL,7.794379999999999,200,1558.876,5.0,1.558876
2020-03-02,09:31:00,603730.SH,SELL,32.45496,11600,376477.536,112.94326079999999,376.47753600000004
2020-03-02,09:31:00,002756.SZ,SELL,19.88016,17100,339950.736,101.98522079999998,339.950736
2020-03-02,09:31:00,601003.SH,SELL,4.87024,73100,356014.544,106.80436319999998,356.014544
2020-03-02,09:31:00,002128.SZ,SELL,7.554860000000001,11800,89147.34800000001,26.7442044,89.14734800000001
2020-03-02,09:31:00,600153.SH,SELL,7.67462,78600,603225.132,180.96753959999998,603.225132
2020-03-02,09:31:00,002381.SZ,BUY,8.1162,13600,110380.31999999999,33.114095999999996,0.0
2020-03-02,09:31:00,002206.SZ,BUY,3.8176200000000002,12400,47338.488000000005,14.2015464,0.0
2020-03-02,09:31:00,600873.SH,SELL,4.38122,31900,139760.918,41.9282754,139.760918
2020-03-02,09:31:00,601567.SH,BUY,8.1663,21100,172308.93,51.69267899999999,0.0
2020-03-02,09:31:00,600688.SH,BUY,4.29858,102100,438885.01800000004,131.6655054,0.0
2020-03-02,09:31:00,002397.SZ,BUY,5.39076,63900,344469.564,103.3408692,0.0
2020-03-02,09:31:00,002275.SZ,BUY,14.30856,16600,237522.096,71.25662879999999,0.0
2020-03-02,09:31:00,601965.SH,BUY,8.58714,32400,278223.336,83.4670008,0.0
2020-03-02,09:31:00,002361.SZ,BUY,4.59918,83400,383571.61199999996,115.07148359999998,0.0
2020-03-02,09:31:00,002632.SZ,BUY,7.79556,50400,392896.224,117.86886719999998,0.0
2020-03-02,09:31:00,000708.SZ,BUY,27.44478,15600,428138.568,128.4415704,0.0
2020-03-02,09:31:00,600761.SH,BUY,9.3186,37200,346651.92,103.99557599999999,0.0
2020-03-02,09:31:00,002595.SZ,BUY,21.182280000000002,20400,432118.51200000005,129.6355536,0.0
2020-03-02,09:31:00,600642.SH,BUY,5.270519999999999,64200,338367.38399999996,101.51021519999998,0.0
2020-03-02,09:31:00,002550.SZ,BUY,4.62924,73300,339323.292,101.7969876,0.0
2020-03-02,09:31:00,600308.SH,BUY,4.47894,92000,412062.48,123.61874399999998,0.0
2020-04-01,09:31:00,600395.SH,SELL,5.32932,16800,89532.576,26.8597728,89.532576
2020-04-01,09:31:00,600377.SH,SELL,9.79038,22700,222241.62600000002,66.6724878,222.24162600000002
2020-04-01,09:31:00,603587.SH,SELL,20.96798,3600,75484.728,22.6454184,75.484728
2020-04-01,09:31:00,603167.SH,SELL,7.80436,11900,92871.884,27.861565199999998,92.87188400000001
2020-04-01,09:31:00,600548.SH,SELL,8.61274,6100,52537.714,15.7613142,52.537714
2020-04-01,09:31:00,600808.SH,SELL,2.495,100400,250498.0,75.1494,250.49800000000002
2020-04-01,09:31:00,002154.SZ,SELL,3.0239399999999996,121600,367711.10399999993,110.31333119999996,367.7111039999999
2020-04-01,09:31:00,002128.SZ,SELL,7.29538,25500,186032.19,55.809656999999994,186.03219
2020-04-01,09:31:00,002381.SZ,SELL,7.47502,13600,101660.272,30.498081599999995,101.660272
2020-04-01,09:31:00,002206.SZ,SELL,3.47304,20500,71197.32,21.359196,71.19732
2020-04-01,09:31:00,600873.SH,SELL,4.37124,106400,465099.93600000005,139.5299808,465.09993600000007
2020-04-01,09:31:00,601567.SH,SELL,7.29538,20800,151743.90399999998,45.52317119999999,151.743904
2020-04-01,09:31:00,600688.SH,SELL,3.85228,102100,393317.788,117.99533639999999,393.317788
2020-04-01,09:31:00,002397.SZ,SELL,4.38122,22900,100329.938,30.098981399999996,100.329938
2020-04-01,09:31:00,002275.SZ,SELL,12.794360000000001,3300,42221.388000000006,12.666416400000001,42.221388000000005
2020-04-01,09:31:00,601965.SH,SELL,8.912139999999999,32400,288753.33599999995,86.62600079999997,288.75333599999993
2020-04-01,09:31:00,002361.SZ,SELL,4.011959999999999,26500,106316.93999999999,31.895081999999995,106.31693999999999
2020-04-01,09:31:00,002632.SZ,SELL,7.56484,26200,198198.80800000002,59.4596424,198.198808
2020-04-01,09:31:00,000708.SZ,SELL,24.86018,15000,372902.7,111.87080999999999,372.90270000000004
