date,equity_local,cash_local,holdings_local,equity_platform,cash_platform,holdings_platform,equity_gap,equity_gap_pct
2020-01-02,10089487.500069404,1509460.500069404,20,10092964.49,1890229.49,19,-3476.9899305962026,-0.00034449639984779346
2020-01-03,10035146.500069404,1509460.500069404,20,10082103.49,1890229.49,19,-46956.9899305962,-0.004657459624092364
2020-01-06,10117256.500069404,1509460.500069404,20,10148196.49,1890229.49,19,-30939.989930596203,-0.003048816601164961
2020-01-07,10229003.500069404,1509460.500069404,20,10261348.49,1890229.49,19,-32344.989930596203,-0.0031521188430659874
2020-01-08,10090154.500069404,1509460.500069404,20,10160202.49,1890229.49,19,-70047.9899305962,-0.00689434979268766
2020-01-09,10134391.500069404,1509460.500069404,20,10216911.49,1890229.49,19,-82519.9899305962,-0.00807680383757503
2020-01-10,10090920.500069404,1509460.500069404,20,10192664.49,1890229.49,19,-101743.9899305962,-0.009982079762403395
2020-01-13,10219936.500069404,1509460.500069404,20,10308452.49,1890229.49,19,-88515.9899305962,-0.00858673889378292
2020-01-14,10259819.500069404,1509460.500069404,20,10336076.49,1890229.49,19,-76256.9899305962,-0.00737775015542641
2020-01-15,10193695.500069404,1509460.500069404,20,10320848.49,1890229.49,19,-127152.9899305962,-0.012320013228931392
2020-01-16,10079618.500069404,1509460.500069404,20,10267123.49,1890229.49,19,-187504.9899305962,-0.01826266043388125
2020-01-17,10159737.500069404,1509460.500069404,20,10426697.49,1890229.49,19,-266959.9899305962,-0.025603503907793534
2020-01-20,10165237.500069404,1509460.500069404,20,10448851.49,1890229.49,19,-283613.9899305962,-0.027143077897319845
2020-01-21,9977369.500069404,1509460.500069404,20,10251542.49,1890229.49,19,-274172.9899305962,-0.026744559679486413
2020-01-22,10029243.500069404,1509460.500069404,20,10270689.49,1890229.49,19,-241445.9899305962,-0.023508255231129205
2020-01-23,9737104.500069404,1509460.500069404,20,9970703.49,1890229.49,19,-233598.9899305962,-0.02342853642823517
2020-02-03,9002674.913084805,265.9130848044297,23,9436842.79,544.79,28,-434167.8769151941,-0.04600774714349076
2020-02-04,9191181.913084805,265.9130848044297,23,9644833.79,544.79,28,-453651.8769151941,-0.047035738177836905
2020-02-05,9364706.913084805,265.9130848044297,23,9842158.79,544.79,28,-477451.8769151941,-0.04851088944026216
2020-02-06,9482157.913084805,265.9130848044297,23,10001015.79,544.79,28,-518857.8769151941,-0.05188051772040991
2020-02-07,9492556.913084805,265.9130848044297,23,9934290.79,544.79,28,-441733.8769151941,-0.04446556742227137
2020-02-10,9660655.913084805,265.9130848044297,23,10032827.79,544.79,28,-372171.8769151941,-0.037095411653148114
2020-02-11,9621547.913084805,265.9130848044297,23,9951374.79,544.79,28,-329826.8769151941,-0.033143850359915406
2020-02-12,9725496.913084805,265.9130848044297,23,10058352.79,544.79,28,-332855.8769151941,-0.03309248381565211
2020-02-13,9605315.913084805,265.9130848044297,23,9864343.79,544.79,28,-259027.8769151941,-0.02625900743420806
2020-02-14,9565459.913084805,265.9130848044297,23,9881444.79,544.79,28,-315984.8769151941,-0.03197759878544992
2020-02-17,9797437.913084805,265.9130848044297,23,10194965.79,544.79,28,-397527.8769151941,-0.038992566047168054
2020-02-18,9851110.913084805,265.9130848044297,23,10282360.79,544.79,28,-431249.8769151941,-0.04194074548858484
2020-02-19,9820433.913084805,265.9130848044297,23,10299451.79,544.79,28,-479017.8769151941,-0.04650906540290667
2020-02-20,9946768.913084805,265.9130848044297,23,10419512.79,544.79,28,-472743.8769151941,-0.045371015559278804
2020-02-21,9946811.913084805,265.9130848044297,23,10452512.79,544.79,28,-505700.8769151941,-0.048380794845714226
2020-02-24,9858887.913084805,265.9130848044297,23,10484368.79,544.79,28,-625480.8769151941,-0.05965842001969435
2020-02-25,9747110.913084805,265.9130848044297,23,10444473.79,544.79,28,-697362.8769151941,-0.06676859848917238
2020-02-26,9735584.913084805,265.9130848044297,23,10375073.79,544.79,28,-639488.8769151941,-0.0616370437318301
2020-02-27,9724849.913084805,265.9130848044297,23,10400741.79,544.79,28,-675891.8769151941,-0.06498496843417878
2020-02-28,9351525.913084805,265.9130848044297,23,9968893.79,544.79,28,-617367.8769151941,-0.0619294266666266
2020-03-02,9607946.826867007,938203.8268670057,24,10296054.77,810225.77,28,-688107.9431329928,-0.06683219529270168
2020-03-03,9627095.826867007,938203.8268670057,24,10397217.77,810225.77,28,-770121.9431329928,-0.07407000220338689
2020-03-04,9767442.826867007,938203.8268670057,24,10585641.77,810225.77,28,-818198.9431329928,-0.07729327714941114
2020-03-05,9894706.826867007,938203.8268670057,24,10849772.77,810225.77,28,-955065.9431329928,-0.08802635441119866
2020-03-06,10036753.826867007,938203.8268670057,24,10931469.77,810225.77,28,-894715.9431329928,-0.08184772605678559
2020-03-09,9785872.826867007,938203.8268670057,24,10705449.77,810225.77,28,-919576.9431329928,-0.08589802043721073
2020-03-10,9861139.826867007,938203.8268670057,24,10749797.77,810225.77,28,-888657.9431329928,-0.08266741032217506
2020-03-11,9739826.826867007,938203.8268670057,24,10592719.77,810225.77,28,-852892.9431329928,-0.08051689855408994
2020-03-12,9549104.826867007,938203.8268670057,24,10394426.77,810225.77,28,-845321.9431329928,-0.08132453687323371
2020-03-13,9296291.826867007,938203.8268670057,24,10231600.77,810225.77,28,-935308.9431329928,-0.0914137449415936
2020-03-16,9115302.826867007,938203.8268670057,24,9930861.77,810225.77,28,-815558.9431329928,-0.08212368292112404
2020-03-17,9040500.826867007,938203.8268670057,24,9852736.77,810225.77,28,-812235.9431329928,-0.08243759699397646
2020-03-18,8924760.826867007,938203.8268670057,24,9676425.77,810225.77,28,-751664.9431329928,-0.07768001956501269
2020-03-19,8879829.826867007,938203.8268670057,24,9715276.77,810225.77,28,-835446.9431329928,-0.08599311814901522
2020-03-20,8973855.826867007,938203.8268670057,24,9853644.77,810225.77,28,-879788.9431329928,-0.08928563629689212
2020-03-23,8696727.826867007,938203.8268670057,24,9491460.77,810225.77,28,-794732.9431329928,-0.08373136257855418
2020-03-24,8860723.826867007,938203.8268670057,24,9668901.77,810225.77,28,-808177.9431329928,-0.08358528841823087
2020-03-25,9018230.826867007,938203.8268670057,24,9875741.77,810225.77,28,-857510.9431329928,-0.08683002888328795
2020-03-26,8941173.826867007,938203.8268670057,24,9784016.77,810225.77,28,-842842.9431329928,-0.08614487923991909
2020-03-27,9004902.826867007,938203.8268670057,24,9770850.77,810225.77,28,-765947.9431329928,-0.07839112081055688
2020-03-30,8858533.826867007,938203.8268670057,24,9660825.77,810225.77,28,-802291.9431329928,-0.08304589713483601
2020-03-31,8852284.826867007,938203.8268670057,24,9697018.77,810225.77,28,-844733.9431329928,-0.08711274703792216
2020-04-01,8824375.897988006,28.897988007462118,37,9666160.78,930902.78,33,-841784.8820119929,-0.0870857521585724
2020-04-02,9072532.897988006,28.897988007462118,37,9948131.78,930902.78,33,-875598.8820119929,-0.08801641367199431
2020-04-03,8998519.897988006,28.897988007462118,37,9892312.78,930902.78,33,-893792.8820119929,-0.09035226664274487
2020-04-07,9281591.897988006,28.897988007462118,37,10212174.78,930902.78,33,-930582.8820119929,-0.09112484872805837
2020-04-08,9312051.897988008,28.897988007462118,37,10237765.78,930902.78,33,-925713.882011991,-0.0904214749491945
2020-04-09,9375250.897988006,28.897988007462118,37,10344131.78,930902.78,33,-968880.8820119929,-0.09366478527325883
2020-04-10,9182295.897988006,28.897988007462118,37,10105763.78,930902.78,33,-923467.8820119929,-0.0913803154433116
2020-04-13,9060406.897988006,28.897988007462118,37,9919284.78,930902.78,33,-858877.8820119929,-0.08658667444892054
2020-04-14,9333329.897988006,28.897988007462118,37,10231185.78,930902.78,33,-897855.8820119929,-0.08775677632275314
2020-04-15,9351087.897988006,28.897988007462118,37,10217857.78,930902.78,33,-866769.8820119929,-0.08482892409293186
2020-04-16,9317896.897988006,28.897988007462118,37,10198172.78,930902.78,33,-880275.8820119929,-0.08631701982323081
2020-04-17,9379780.897988006,28.897988007462118,37,10236629.78,930902.78,33,-856848.8820119929,-0.08370419761453884
2020-04-20,9438730.897988006,28.897988007462118,37,10360291.78,930902.78,33,-921560.8820119929,-0.0889512478587734
