日期,总资产,现金,证券,数量,持仓,收盘价, 收益
2026-09-11,32194483.39,5764246.39,,,,,
,,,镇洋发展(603213.SH),1200,16320.00,13.6,-1420.72
,,,行动教育(605098.SH),4300,234565.00,54.55,4069.37
,,,渤海轮渡(603167.SH),161100,1321020.00,8.2,-134679.42
,,,圣泉集团(605589.SH),29400,1118964.00,38.06,123547.20
,,,三人行(605168.SH),5300,241415.00,45.55,49326.09
,,,四方股份(601126.SH),35400,1425558.00,40.27,37228.34
,,,京能电力(600578.SH),231600,1292328.00,5.58,22561.48
,,,中天科技(600522.SH),35300,1217497.00,34.49,221515.91
,,,中创物流(603967.SH),39300,451557.00,11.49,-78939.47
,,,建业股份(603948.SH),3600,68256.00,18.96,-18342.77
,,,中材科技(002080.SZ),18300,942816.00,51.52,157774.08
,,,长城科技(603897.SH),32700,944049.00,28.87,137122.85
,,,东宏股份(603856.SH),4100,46945.00,11.45,-9148.75
,,,明阳智能(601615.SH),147600,1425816.00,9.66,-229627.77
,,,景津装备(603279.SH),56400,644088.00,11.42,8693.57
,,,通达股份(002560.SZ),218300,1501904.00,6.88,152241.09
,,,亚翔集成(603929.SH),8300,1283927.00,154.69,37068.06
,,,四川成渝(601107.SH),2300,13547.00,5.89,977.81
,,,环旭电子(601231.SH),55600,1497864.00,26.94,296370.19
,,,共创草坪(605099.SH),12800,362368.00,28.31,-30213.10
,,,日月股份(603218.SH),36300,341220.00,9.4,2853.34
,,,恒盛能源(605580.SH),46800,1003860.00,21.45,197927.13
,,,海星股份(603115.SH),13100,1156075.00,88.25,264932.54
,,,咸亨国际(605056.SH),58000,755740.00,13.03,-39118.45
,,,旗滨集团(601636.SH),226300,1285384.00,5.68,-23371.01
,,,联明股份(603006.SH),45300,471573.00,10.41,-158316.93
,,,永兴股份(601033.SH),12300,178473.00,14.51,4602.91
,,,宁波高发(603788.SH),24600,329394.00,13.39,-56724.54
,,,富安娜(002327.SZ),8100,49815.00,6.15,-4772.93
,,,舒华体育(605299.SH),125100,1517463.00,12.13,-13152.25
,,,圣晖集成(603163.SH),19700,1571272.00,79.76,87284.78
,,,热威股份(603075.SH),30200,598564.00,19.82,-245651.74
,,,联德股份(605060.SH),3800,145160.00,38.2,8045.28
,,,奥海科技(002993.SZ),27400,975440.00,35.6,31260.81
2026-09-10,32454112.39,5764246.39,,,,,
,,,圣晖集成(603163.SH),19700,1639237.00,83.21,155249.78
