日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2026-09-01,09:31:00,603368.SH,柳药集团,卖出,15.738,-5300,-83413.84,25.02,83.41
2026-09-01,09:31:00,605056.SH,咸亨国际,买入,14.088,19300,271900.72,81.57,0.00
2026-09-01,09:31:00,605580.SH,恒盛能源,买入,17.886,20500,366656.85,110.00,0.00
2026-09-01,09:31:00,605060.SH,联德股份,卖出,43.563,-17600,-766703.52,230.01,766.70
2026-09-01,09:31:00,601636.SH,旗滨集团,买入,5.782,226300,1308362.50,392.51,0.00
2026-09-01,09:31:00,605299.SH,舒华体育,买入,13.146,54600,717784.70,215.34,0.00
2026-09-01,09:31:00,603075.SH,热威股份,卖出,19.281,-9700,-187029.19,56.11,187.03
2026-09-01,09:31:00,603897.SH,长城科技,卖出,31.028,-6600,-204783.61,61.44,204.78
2026-09-01,09:31:00,600578.SH,京能电力,买入,5.481,231600,1269385.70,380.82,0.00
2026-09-01,09:31:00,603218.SH,日月股份,买入,9.319,36300,338265.18,101.48,0.00
2026-09-01,09:31:00,605099.SH,共创草坪,买入,30.661,12800,392463.36,117.74,0.00
2026-09-01,09:31:00,603006.SH,联明股份,卖出,11.008,-24800,-272996.91,81.90,273.00
2026-09-01,09:31:00,603998.SH,方盛制药,卖出,10.958,-17400,-190669.90,57.20,190.67
2026-09-01,09:31:00,603167.SH,渤海轮渡,卖出,8.134,-24900,-202529.13,60.76,202.53
2026-09-01,09:31:00,603163.SH,圣晖集成,买入,80.571,6100,491482.00,147.44,0.00
2026-09-01,09:31:00,601928.SH,凤凰传媒,卖出,8.563,-17200,-147280.85,44.18,147.28
2026-09-01,09:31:00,601199.SH,江南水务,卖出,6.008,-31900,-191653.92,57.50,191.65
2026-09-01,09:31:00,603115.SH,海星股份,卖出,83.383,-900,-75044.61,22.51,75.04
2026-09-01,09:31:00,603071.SH,物产环能,卖出,12.595,-500,-6297.38,5.00,6.30
2026-09-01,09:31:00,605377.SH,华旺科技,卖出,8.273,-26000,-215108.92,64.53,215.11
2026-09-01,09:31:00,603929.SH,亚翔集成,买入,165.661,900,149094.59,44.73,0.00
2026-09-01,09:31:00,003018.SZ,金富科技,卖出,51.896,-29300,-1520552.80,456.17,1520.55
2026-09-01,09:31:00,603279.SH,景津装备,买入,11.262,56400,635203.87,190.56,0.00
2026-09-01,09:31:00,603183.SH,建研院,卖出,4.820,-19500,-93996.63,28.20,94.00
2026-09-01,09:31:00,605098.SH,行动教育,卖出,55.469,-6200,-343906.81,103.17,343.91
2026-09-01,09:31:00,605589.SH,圣泉集团,卖出,40.619,-4800,-194969.28,58.49,194.97
2026-09-01,09:31:00,603856.SH,东宏股份,卖出,11.677,-21500,-251046.90,75.31,251.05
2026-09-01,09:31:00,603788.SH,宁波高发,卖出,13.772,-7400,-101915.76,30.57,101.92
2026-09-01,09:31:00,603002.SH,宏昌电子,卖出,17.515,-89100,-1560577.59,468.17,1560.58
2026-09-01,09:31:00,601886.SH,江河集团,卖出,13.872,-119900,-1663276.78,498.98,1663.28
2026-09-01,09:31:00,603948.SH,建业股份,卖出,20.120,-5900,-118706.11,35.61,118.71
2026-09-01,09:31:00,601033.SH,永兴股份,卖出,14.601,-20900,-305155.47,91.55,305.16
2026-09-01,09:31:00,002560.SZ,通达股份,买入,6.222,67000,416902.14,125.07,0.00
2026-09-01,09:31:00,002080.SZ,中材科技,卖出,54.291,-3500,-190019.20,57.01,190.02
