factor,mean_ic,min_ic,positive_years,mean_spread
min20,0.04712136277188361,0.0030062590316194413,9,0.0035427163576605297
overnight20,0.03972833608701304,0.01995015532500975,9,0.009514360526900105
overnight1,0.02408558223684711,0.017824046146988088,9,0.005593142651900813
amihud20,0.017896057788945798,-0.05489856196281044,5,0.0065632099937037655
intraday1,-0.01299612134257882,-0.02162761430665362,0,-0.002668741021585044
vol_ratio,-0.021784364770867887,-0.052359489661259674,2,-0.00257964395443577
skew20,-0.02422011727949801,-0.05953318884923656,0,-0.003985951242954676
downvol20,-0.054161567022693896,-0.0853592564319787,0,-0.00407336345605842
signed_amount20,-0.0755067667292575,-0.10143483745274438,0,-0.0103709155268547
intraday20,-0.08088950623964249,-0.12037263208615448,0,-0.014622080768217298
range20,-0.09203733211394972,-0.13989139942427337,0,-0.008659815311136078
