factor,year,rank_ic,top_bottom_spread,days
overnight1,2018,0.03768349523546483,0.008398631748185274,124
overnight1,2019,0.032136918978216356,0.006272655080299488,244
overnight1,2020,0.02485109331700098,0.008129649072587185,243
overnight1,2021,0.020429195296509967,0.006017793220284667,243
overnight1,2022,0.02237503515638003,0.004836257952769242,242
overnight1,2023,0.019133224710304642,0.003102775655707799,242
overnight1,2024,0.019991390112655247,0.004186721700312411,242
overnight1,2025,0.017824046146988088,0.0023673956471755297,243
overnight1,2026,0.022345841178103863,0.007026403789785718,140
intraday1,2018,-0.02162761430665362,-0.00610936725052226,124
intraday1,2019,-0.015264293659436259,-0.004065419188816271,244
intraday1,2020,-0.005777809363433016,0.0007062276525265469,243
intraday1,2021,-0.0056056471318330445,-0.0007466260437623082,243
intraday1,2022,-0.015383291643740565,-0.00463949095856224,242
intraday1,2023,-0.01337918713386145,-0.0022755940898999336,242
intraday1,2024,-0.006855224979225647,-0.0017983905667578483,242
intraday1,2025,-0.017600254630965435,-0.0023546232667943368,243
intraday1,2026,-0.01547176923406036,-0.0027353854816767487,140
overnight20,2018,0.07607554699113435,0.014081762841492339,124
overnight20,2019,0.046821866272122155,0.00847175822131098,244
overnight20,2020,0.050276048895724894,0.017683240324158783,243
overnight20,2021,0.027475234912792912,0.00945238656407009,243
overnight20,2022,0.02152236033203817,0.004693257118172787,242
overnight20,2023,0.03422878949668561,0.004932698332393008,242
overnight20,2024,0.02184963152926577,0.003261284928192061,242
overnight20,2025,0.01995015532500975,0.005546753455565021,243
overnight20,2026,0.059355391028343744,0.017506102956745873,140
intraday20,2018,-0.12037263208615448,-0.027032837629900348,124
intraday20,2019,-0.0872195280418704,-0.016131573094044345,244
intraday20,2020,-0.04973264058681687,-0.0075697923102848765,243
intraday20,2021,-0.05363789867323305,-0.008123788741673719,243
intraday20,2022,-0.1060207951473102,-0.02278708444472954,242
intraday20,2023,-0.045118683954535506,-0.003350321549636333,242
intraday20,2024,-0.08133873573967257,-0.020145444911244415,242
intraday20,2025,-0.08885289461379628,-0.01045619319208205,243
intraday20,2026,-0.0957117473133931,-0.016001691040360054,140
range20,2018,-0.13989139942427337,-0.021032696513473503,124
range20,2019,-0.09159785962854773,-0.00944983731933586,244
range20,2020,-0.07299827002991108,-0.004481767653660013,243
range20,2021,-0.0939086981556622,-0.009640887838836452,243
range20,2022,-0.08562989749501397,-0.007253597659226474,242
range20,2023,-0.11340417824945877,-0.013666474316802046,242
range20,2024,-0.10429309509273632,-0.01568820473227473,242
range20,2025,-0.03591891541386866,0.010910876736246237,243
range20,2026,-0.09069367553607546,-0.007635748502861856,140
amihud20,2018,-0.012249927257515683,0.001911114862922475,124
amihud20,2019,-0.0371948971110767,-0.0030554900387495237,244
amihud20,2020,-0.05489856196281044,-0.014108893711302983,243
amihud20,2021,0.05414759520215816,0.019293485327724246,243
amihud20,2022,0.0561038931293172,0.02153062765253555,242
amihud20,2023,0.06967355299093447,0.016404693256435607,242
amihud20,2024,-0.00535747141990259,-0.0011186944832396115,242
amihud20,2025,0.05523738624899316,0.014873857104010731,243
amihud20,2026,0.0356029502804146,0.003338189972997397,140
