strategy,period,annualized_return,max_drawdown,sharpe,average_exposure
ret10_f0.2_r5,设计期2018-2023,0.062158900871668976,-0.1606324556362826,0.5333733058936246,0.6716540837336995
ret10_f0.2_r5,验证期2024,0.08826048503420214,-0.08280342339587687,0.5757746974075554,0.5801652892561983
ret10_f0.2_r5,验证期2025-2026-08,0.07870842698489411,-0.15748446974089092,0.7014172345963061,0.6764267990074442
ret10_f0.2_r5,全周期,0.0681680859381022,-0.17544829033853238,0.565035279492574,0.6620361560418648
ret10_f0.2_r10,设计期2018-2023,0.05493338514816126,-0.19611420287581494,0.45449459011550297,0.6936170212765956
ret10_f0.2_r10,验证期2024,0.016912789738942502,-0.09196294632128643,0.18999361177703622,0.5636363636363635
ret10_f0.2_r10,验证期2025-2026-08,0.0835499336011376,-0.1498118741736877,0.7743051466185452,0.6168734491315137
ret10_f0.2_r10,全周期,0.05578008851247507,-0.1967354495990482,0.46961820755202494,0.6639391056137012
ret10_f0.2_r20,设计期2018-2023,0.08770624309809327,-0.17292919134556484,0.6379862840196961,0.7375428963623885
ret10_f0.2_r20,验证期2024,-0.09094220562508648,-0.1441322025687588,-0.47347990479538316,0.6628099173553719
ret10_f0.2_r20,验证期2025-2026-08,0.10296318464877108,-0.11805638177406474,1.116869202672247,0.5970223325062035
ret10_f0.2_r20,全周期,0.06815498081191129,-0.20236343572899795,0.535595191237097,0.7019980970504281
ret10_f0.2_r40,设计期2018-2023,0.0825894413156063,-0.16627981488946153,0.6271430798265469,0.6606726149622513
ret10_f0.2_r40,验证期2024,-0.022853540651336046,-0.09478787211435935,-0.08652885226586592,0.5305785123966943
ret10_f0.2_r40,验证期2025-2026-08,0.04538533504471398,-0.12621770020065481,0.4524977940350466,0.4779156327543424
ret10_f0.2_r40,全周期,0.06259335209184913,-0.16627981488946153,0.5122973525867879,0.6106565176022835
ret10_f0.4_r5,设计期2018-2023,0.0786908416286809,-0.13465293764332986,0.627833431308437,0.7537405628002746
ret10_f0.4_r5,验证期2024,0.08708111249101935,-0.11347913794026565,0.5545059034882193,0.6851239669421488
