date,symbol,previous_raw_close,preclose,close,qfq_close,pctChg,implied_factor
2018-07-12,000001.SZ,8.78,8.64,8.88,6.90116304,2.777775,1.0162037037037035
2019-06-26,000001.SZ,13.43,13.29,13.37,10.50004928,0.601956,1.0105342362678706
2020-05-28,000001.SZ,13.0,12.78,13.07,10.44115248,2.2692,1.0172143974960877
2021-05-14,000001.SZ,23.07,22.89,23.32,18.77600472,1.8785,1.0078636959370904
2022-07-22,000001.SZ,13.01,12.78,12.81,10.49953716,0.2347,1.017996870109546
2023-06-14,000001.SZ,11.77,11.49,11.47,9.63031523,-0.1741,1.0243690165361183
2024-06-14,000001.SZ,10.8,10.08,10.18,9.15773458,0.9921,1.0714285714285714
2024-10-10,000001.SZ,11.68,11.43,11.98,11.01269886,4.8119,1.021872265966754
2025-06-12,000001.SZ,11.85,11.49,11.68,11.07332912,1.6536,1.031331592689295
2025-10-15,000001.SZ,11.57,11.33,11.4,11.0368188,0.6178,1.0211827007943513
2026-06-12,000001.SZ,11.3,10.94,11.24,11.24,2.7422,1.0329067641681902
2018-08-23,000002.SZ,23.92,23.02,22.82,17.91753376,-0.868813,1.0390964378801044
2019-08-15,000002.SZ,27.13,26.08,26.34,21.51395886,0.9969,1.040260736196319
2020-08-14,000002.SZ,28.6,27.58,27.68,23.44460016,0.3626,1.0369833212472808
2021-08-25,000002.SZ,23.02,21.77,21.24,19.02294756,-2.4345,1.0574184657785943
2022-08-25,000002.SZ,16.62,15.65,15.83,15.05640373,1.1502,1.0619808306709266
2023-08-25,000002.SZ,13.71,13.04,13.44,13.44,3.0675,1.0513803680981597
2018-06-22,000006.SZ,6.12,5.94,5.99,5.15894141,0.841746,1.0303030303030303
2019-06-19,000006.SZ,5.61,5.42,5.46,4.86732246,0.738007,1.0350553505535056
2020-06-18,000006.SZ,6.08,5.9,6.06,5.56700082,2.7119,1.0305084745762711
2021-06-23,000006.SZ,5.25,5.06,5.04,4.80383568,-0.3953,1.0375494071146245
2022-06-21,000006.SZ,4.4,4.28,4.32,4.23302112,0.9346,1.0280373831775702
2023-06-28,000006.SZ,4.47,4.38,4.35,4.35,-0.6849,1.0205479452054793
2018-06-07,000008.SZ,5.01,4.96,4.96,4.93042848,0.0,1.0100806451612903
2019-07-22,000009.SZ,5.57,4.63,4.5,4.4085555,-2.807778,1.2030237580993521
2024-07-26,000009.SZ,7.98,7.94,8.1,8.0410806,2.0151,1.0050377833753148
2018-06-29,000011.SZ,11.09,10.79,11.07,8.74827783,2.594993,1.0278035217794255
2019-05-16,000011.SZ,10.64,10.34,10.3,8.3759291,-0.386847,1.0290135396518376
2020-05-18,000011.SZ,9.15,8.79,8.81,7.45768262,0.2275,1.0409556313993176
2021-04-30,000011.SZ,12.9,12.49,11.7,10.229193,-6.3251,1.032826261008807
2022-07-11,000011.SZ,12.86,12.18,11.68,10.78181968,-4.1051,1.0558292282430213
2023-07-10,000011.SZ,9.55,9.19,9.23,8.85397903,0.4353,1.0391730141458109
2024-06-17,000011.SZ,8.12,7.81,7.79,7.76925523,-0.2561,1.0396927016645325
2018-06-27,000012.SZ,5.75,4.96,4.92,3.828867,-0.806451,1.159274193548387
2019-06-26,000012.SZ,4.66,4.19,4.23,3.66114537,0.954653,1.1121718377088305
2020-07-01,000012.SZ,5.02,4.95,4.9,4.3010191,-1.0101,1.014141414141414
2021-06-17,000012.SZ,9.84,9.74,9.72,8.61941412,-0.2053,1.0102669404517453
2022-06-24,000012.SZ,7.66,7.46,7.6,6.920142,1.8767,1.0268096514745308
2023-07-14,000012.SZ,6.04,5.89,5.88,5.49035592,-0.1698,1.0254668930390494
2024-07-16,000012.SZ,5.19,4.94,4.89,4.79703132,-1.0121,1.0506072874493928
2025-07-23,000012.SZ,5.09,5.02,4.98,4.95344166,-0.7968,1.0139442231075697
2026-07-23,000012.SZ,3.75,3.73,3.81,3.81,2.1448,1.0053619302949062
