symbol,first_date,last_date,rows,exchange,ends_before_dataset,current_name,name_marks_delisted
000001.SZ,2018-01-02,2026-09-11,2111,SZ,False,平安银行,False
000002.SZ,2018-01-02,2026-09-11,2111,SZ,False,万科A,False
000004.SZ,2018-01-02,2026-07-13,2067,SZ,True,国华退,True
000005.SZ,2018-01-02,2024-04-26,1533,SZ,True,ST星源,False
000006.SZ,2018-01-02,2026-09-11,2111,SZ,False,深振业A,False
000007.SZ,2018-01-02,2026-09-11,2111,SZ,False,全新好,False
000008.SZ,2018-01-02,2026-09-11,2111,SZ,False,神州高铁,False
000009.SZ,2018-01-02,2026-09-11,2111,SZ,False,中国宝安,False
000010.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST美丽,False
000011.SZ,2018-01-02,2026-09-11,2111,SZ,False,深物业A,False
000012.SZ,2018-01-02,2026-09-11,2111,SZ,False,南玻A,False
000014.SZ,2018-01-02,2026-09-11,2111,SZ,False,沙河股份,False
000016.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST康佳A,False
000017.SZ,2018-01-02,2026-09-11,2111,SZ,False,深中华A,False
000018.SZ,2018-01-02,2020-01-07,491,SZ,True,神城A退,True
000019.SZ,2018-01-02,2026-09-11,2111,SZ,False,深粮控股,False
000020.SZ,2018-01-02,2026-09-11,2111,SZ,False,深华发A,False
000021.SZ,2018-01-02,2026-09-11,2111,SZ,False,深科技,False
000022.SZ,2018-01-02,2018-12-25,240,SZ,True,,False
000023.SZ,2018-01-02,2024-09-02,1620,SZ,True,*ST深天,False
000025.SZ,2018-01-02,2026-09-11,2111,SZ,False,特力A,False
000026.SZ,2018-01-02,2026-09-11,2111,SZ,False,飞亚达,False
000027.SZ,2018-01-02,2026-09-11,2111,SZ,False,深圳能源,False
000028.SZ,2018-01-02,2026-09-11,2111,SZ,False,国药一致,False
000029.SZ,2018-01-02,2026-09-11,2111,SZ,False,深深房A,False
000030.SZ,2018-01-02,2026-09-11,2111,SZ,False,富奥股份,False
000031.SZ,2018-01-02,2026-09-11,2111,SZ,False,大悦城,False
000032.SZ,2018-01-02,2026-09-11,2111,SZ,False,深桑达A,False
000034.SZ,2018-01-02,2026-09-11,2111,SZ,False,神州数码,False
000035.SZ,2018-01-02,2026-09-11,2111,SZ,False,中国天楹,False
000036.SZ,2018-01-02,2026-09-11,2111,SZ,False,华联控股,False
000037.SZ,2018-01-02,2026-09-11,2111,SZ,False,深南电A,False
000038.SZ,2018-01-02,2023-07-12,1341,SZ,True,大通退,True
000039.SZ,2018-01-02,2026-09-11,2111,SZ,False,中集集团,False
000040.SZ,2018-01-02,2025-04-30,1777,SZ,True,*ST旭蓝,False
000042.SZ,2018-01-02,2026-09-11,2111,SZ,False,中洲控股,False
000043.SZ,2018-01-02,2019-12-13,475,SZ,True,,False
