factor,mean_rank_ic,positive_years,mean_top_bottom,positive_spread_years,worst_year_spread
mom_skip20,-0.01567714699106619,2,0.0010646815900948157,6,-0.02450873051133478
position60,-0.04669030873976458,1,-0.003450749051665978,2,-0.012813230596996858
mom_skip5,-0.04070665317812744,1,-0.004625312074842633,2,-0.01565478639697408
ret120,-0.0437617394991188,1,-0.005512196431300708,5,-0.03740808935633862
liq_ratio,-0.042745214513773444,0,-0.006886232949733219,2,-0.015448239360030615
ret5,-0.029374956471734166,0,-0.00781939833898262,2,-0.016404975600695364
ret60,-0.052836485612262896,1,-0.008650474208449228,2,-0.022357407135175755
amount20,-0.06303920602267829,1,-0.011108878422559497,2,-0.030205975264786925
vol20,-0.08244331097957598,0,-0.011416690363553287,1,-0.018134254505951644
ret20,-0.05965267407651065,0,-0.011512535595978028,1,-0.027950872254403278
vol60,-0.08516092905150452,0,-0.012709807426840617,1,-0.028533006312665442
