event,hold_days,2018-2023,2024,2025-2026-08,minimum_period_mean
limit_after_negative20,20,-0.001445941053398408,0.08784704514479154,0.0013231587387198826,-0.001445941053398408
limit_after_negative20,10,-0.0017015678390311048,0.050127066312334385,-0.0037665093758814496,-0.0037665093758814496
limit_after_negative20,2,-0.005244486070081226,0.008178746022996165,-0.005522575490372387,-0.005522575490372387
limit_after_negative20,3,-0.0055213347059471386,0.018637069738331433,-0.0059071431372551934,-0.0059071431372551934
limit_after_negative20,5,-0.0054587928501176304,0.03528275106053186,-0.00727602549025684,-0.00727602549025684
intraday_limit_not_close,3,-0.011201651779202501,-0.011211089971758919,-0.009358660466846871,-0.011211089971758919
intraday_limit_not_close,5,-0.012358166121593727,-0.013432304128214953,-0.010625068484891158,-0.013432304128214953
intraday_limit_not_close,10,-0.014506912088646077,-0.005346538484902428,-0.0106023523459152,-0.014506912088646077
intraday_limit_not_close,2,-0.010274970983014192,-0.014792549483205521,-0.008842137199217118,-0.014792549483205521
close_limit_opened,2,-0.011241330325443931,-0.015532416659036761,-0.00762813035064566,-0.015532416659036761
close_limit_any,2,-0.011867779320822197,-0.01623920662092319,-0.008310736883883571,-0.01623920662092319
close_limit_opened,3,-0.013375699975371013,-0.01755690202710344,-0.00873799884378329,-0.01755690202710344
close_limit_any,3,-0.014235111261614143,-0.01846592676184038,-0.009613383838691038,-0.01846592676184038
close_limit_opened,5,-0.016886507787070914,-0.01932436130875106,-0.013453102506875304,-0.01932436130875106
intraday_limit_not_close,20,-0.020377976611808117,0.017868670821929396,-0.008801846625666444,-0.020377976611808117
close_limit_any,5,-0.018032572874101746,-0.02107971046204894,-0.014473175446949737,-0.02107971046204894
limit_after_positive20,2,-0.01241377372956395,-0.021722322141266404,-0.008616050820007916,-0.021722322141266404
close_limit_opened,10,-0.023150489279763032,-0.020454218723463487,-0.016213681690226522,-0.023150489279763032
close_limit_any,10,-0.024674129145031795,-0.022965128140807506,-0.017587735090364896,-0.024674129145031795
limit_after_positive20,3,-0.014935596854585481,-0.026869986397870516,-0.00996252387846727,-0.026869986397870516
close_limit_opened,20,-0.03275104977055601,-0.015486728864051799,-0.020627890175504354,-0.03275104977055601
limit_after_positive20,5,-0.01906499851466076,-0.03401533492245039,-0.015297024199465974,-0.03401533492245039
close_limit_any,20,-0.0346983242038165,-0.018526804215986376,-0.02193669636095324,-0.0346983242038165
limit_after_positive20,10,-0.02696340796205258,-0.03972043613437706,-0.019471893755756593,-0.03972043613437706
limit_after_positive20,20,-0.037841040647432024,-0.0430449299915333,-0.025307474488385877,-0.0430449299915333
