event,hold_days,period,events,mean_net_return,median_net_return,win_rate
close_limit_any,2,2018-2023,61716,-0.011867779320822197,-0.017453113815318548,0.37179985741136823
close_limit_any,2,2024,14739,-0.01623920662092319,-0.020431749849669216,0.3733631861048918
close_limit_any,2,2025-2026-08,23072,-0.008310736883883571,-0.015485116387867587,0.4001386962552011
close_limit_any,3,2018-2023,61714,-0.014235111261614143,-0.02268945896547802,0.3722332047833555
close_limit_any,3,2024,14739,-0.01846592676184038,-0.02654794520547942,0.37838387950335844
close_limit_any,3,2025-2026-08,23028,-0.009613383838691038,-0.018121212121212087,0.40485495918012854
close_limit_any,5,2018-2023,61708,-0.018032572874101746,-0.029198866218575863,0.36400466714202373
close_limit_any,5,2024,14739,-0.02107971046204894,-0.034776978417266007,0.3737702693534161
close_limit_any,5,2025-2026-08,22926,-0.014473175446949737,-0.026272592179808756,0.38715868446305507
close_limit_any,10,2018-2023,61685,-0.024674129145031795,-0.04173883161512026,0.3538947880359893
close_limit_any,10,2024,14735,-0.022965128140807506,-0.04249635036496357,0.3783508652867323
close_limit_any,10,2025-2026-08,22619,-0.017587735090364896,-0.036683403068340274,0.37910606127591845
close_limit_any,20,2018-2023,61644,-0.0346983242038165,-0.06277944558070736,0.33555577185127505
close_limit_any,20,2024,14731,-0.018526804215986376,-0.04466432337434111,0.39949765800013576
close_limit_any,20,2025-2026-08,21878,-0.02193669636095324,-0.053210809894955684,0.3684523265380748
close_limit_opened,2,2018-2023,58026,-0.011241330325443931,-0.016869565217391407,0.3739013545651949
close_limit_opened,2,2024,13876,-0.015532416659036761,-0.019745722503306466,0.3766215047564139
close_limit_opened,2,2025-2026-08,21925,-0.00762813035064566,-0.015070294784580546,0.4021436716077537
close_limit_opened,3,2018-2023,58024,-0.013375699975371013,-0.021748031496063018,0.37410381910933405
close_limit_opened,3,2024,13876,-0.01755690202710344,-0.0252936008705577,0.38108965119631016
close_limit_opened,3,2025-2026-08,21882,-0.00873799884378329,-0.017170810782545114,0.40768668311854495
close_limit_opened,5,2018-2023,58018,-0.016886507787070914,-0.028043351950042587,0.3669033748147127
close_limit_opened,5,2024,13876,-0.01932436130875106,-0.032700735009162867,0.3789276448544249
close_limit_opened,5,2025-2026-08,21786,-0.013453102506875304,-0.025190055536919047,0.39043422381345816
