horizon,prediction_year,train_begin,train_label_cutoff,train_rows,test_rows,rank_ic
5,2021,2018-01-01,2020-12-01,450000,410762,0.046608845075588295
5,2022,2019-01-01,2021-12-01,450000,498973,0.04621213852951594
5,2023,2020-01-01,2022-12-01,450000,477625,0.08374931790209347
5,2024,2021-01-01,2023-12-01,450000,503127,0.08687066200522685
5,2025,2022-01-01,2024-12-01,450000,620861,0.06920287802675362
5,2026,2023-01-01,2025-12-01,450000,402030,0.06190822459458679
10,2021,2018-01-01,2020-12-01,450000,410762,0.05788227239849462
10,2022,2019-01-01,2021-12-01,450000,498973,0.05806894330945957
10,2023,2020-01-01,2022-12-01,450000,477625,0.1086437099279302
10,2024,2021-01-01,2023-12-01,450000,503127,0.1035617838545474
10,2025,2022-01-01,2024-12-01,450000,620861,0.07001344370020501
10,2026,2023-01-01,2025-12-01,450000,402030,0.09203057201876919
20,2021,2018-01-01,2020-12-01,450000,410762,0.07539805747750879
20,2022,2019-01-01,2021-12-01,450000,498973,0.0672829112039272
20,2023,2020-01-01,2022-12-01,450000,477625,0.13880482968725893
20,2024,2021-01-01,2023-12-01,450000,503127,0.10096854932456203
20,2025,2022-01-01,2024-12-01,450000,620861,0.07448315895998012
20,2026,2023-01-01,2025-12-01,450000,402030,0.13108643419915827
