,annualized_return,annualized_return,annualized_return,annualized_return,max_drawdown,max_drawdown,max_drawdown,max_drawdown,sharpe,sharpe,sharpe,sharpe
period,design_2018_2023,full,history_2025_202608,validation_2024,design_2018_2023,full,history_2025_202608,validation_2024,design_2018_2023,full,history_2025_202608,validation_2024
overlay,,,,,,,,,,,,
O0_R8原版,0.05870877266580976,0.09737825763579666,0.2176783916014513,0.14661601118037892,-0.2820901713830576,-0.28923867885930976,-0.20707163121531424,-0.20424744393184668,0.4066689439302838,0.5788789078504452,1.2344282842779124,0.6321622497227929
O10_双资产分级,-0.001324303348446354,0.03682116618358844,0.13442800403390942,0.11872379408447276,-0.29516012402976743,-0.29516012402976743,-0.16038698040747434,-0.10022230626447348,0.05370427538237818,0.3411359516174357,1.1086783497259354,0.676960481429501
O1_策略60日趋势,0.00857595134144118,0.05157122517255264,0.14279122439397507,0.17755473767067964,-0.2933613113492044,-0.2933613113492044,-0.1359732935900595,-0.09375919213357731,0.13326529979798546,0.4315202054015363,1.111292708278013,0.8953848553298658
O2_策略120日趋势,-0.02250222363576415,0.015854938449606504,0.1490387574962455,0.04304714427026357,-0.2776481954200182,-0.3159222190938693,-0.14988740935113354,-0.12007751444892611,-0.10260582472582078,0.184761147401678,1.1248283831293833,0.3117057445331071
O3_策略双趋势,0.00880919228542032,0.040655758905809636,0.16832813317625162,0.03519253221147145,-0.2534159024152106,-0.2534159024152106,-0.1692491869717837,-0.11681151346843743,0.13536613190246005,0.3464814410660217,1.1964703160259578,0.27577999462926084
O4_组合波动目标,0.0018655233899402823,0.016258666983697934,0.11903236834612896,-0.05662200717414945,-0.24195351565882706,-0.2862381497540456,-0.19593401298983315,-0.19366952327357867,0.08966861001256032,0.18578032882703496,0.8622418999251005,-0.24120747806289658
O5_回撤分级,-0.011232483708186303,0.017533038250582278,0.14363622624453054,-0.004528448575205846,-0.24169095729619916,-0.28819578746291763,-0.19114157678789567,-0.16591005779929746,-0.011660322374497156,0.1949841493958315,0.9979829140019245,0.08011561356759456
O6_回撤加趋势恢复,-0.010216617400633732,0.030820341785298133,0.17863947266600477,0.0532041031537982,-0.2840957254823008,-0.2840957254823008,-0.18791269996578097,-0.13373089003030403,0.011694325860994313,0.2733626528245141,1.1666644230594518,0.35468272261960765
O7_策略与指数确认,0.0027434883967365487,0.023118976078826403,0.059750757358089546,0.08929326036730245,-0.3176013544665446,-0.3176013544665446,-0.20489606518544912,-0.11706136020731495,0.08492831680883599,0.24603989175002325,0.561246900778818,0.5642757655178857
O8_R8加指数趋势,0.0349510729373852,0.07014035564161958,0.18772807684083603,0.10101617318770706,-0.22568361007412274,-0.23395321951202186,-0.20970764887426518,-0.15621767538659037,0.2986661701440707,0.4897116603356102,1.2158903641594003,0.524610108767635
O9_趋势轮换,-0.028164767480642783,0.0012901858183900217,0.017757437553789224,0.16596562617767385,-0.3804979901609853,-0.3804979901609853,-0.27298879917558483,-0.09375919213357753,-0.12788576389785422,0.08835825122645574,0.19313032928522172,0.8740968830647509
