period,Q3分散100只40日,Q3平衡80只40日,Q3平衡进攻各半,Q3进攻50只60日
2018,-0.22159529785893983,-0.2229854880096176,-0.18592847378738553,-0.14802023923138896
2019,0.2565138454064879,0.27241771159742445,0.2633124568481666,0.25289433840005704
2020,0.24613702591560305,0.2498490907306401,0.28587078482251016,0.32090005243372555
2021,0.3856261110854169,0.3875164059658953,0.4337324611330864,0.4784894039505492
2022,-0.05562776318110341,-0.05675740906503113,-0.049095962318839836,-0.04281412693914255
2023,0.08571709106266812,0.09093808679034376,0.05071300889961705,0.011045253090649298
2024,-0.041760723880393535,-0.04579729648637698,-0.08005488720930931,-0.11515274363266081
2025,0.41532439562817736,0.4501334204891554,0.49696290077865,0.5426914923736996
2025-2026-08,0.2524727061487284,0.28309336151788456,0.3015891915654376,0.31797208725206194
2026,0.04436497100519898,0.0702078378537252,0.05740657104459368,0.042658905780899925
全周期,0.106618561876481,0.11360066723969964,0.12104996960321857,0.12680515088000788
阶段1_2018-2023,0.09553361322141996,0.09894180194653002,0.11194388986253179,0.12358431980244755
阶段2_2024,-0.041760723880393535,-0.04579729648637698,-0.08005488720930931,-0.11515274363266081
