,annualized_return,annualized_return,annualized_return,annualized_return,max_drawdown,max_drawdown,max_drawdown,max_drawdown,sharpe,sharpe,sharpe,sharpe
period,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08
gate,,,,,,,,,,,,
G0_无门控,0.11360066723969986,0.09894180194652935,-0.045443739793102456,0.2970455920262012,-0.28123395314234967,-0.25168053279891534,-0.23390799919377503,-0.22696967876249063,0.6425950851966526,0.5962329261250805,-0.05596564511133968,1.3341485398506752
G1_趋势广度下限,0.1022085171256808,0.10096035427064987,-0.07662771080305253,0.24576069917750276,-0.2577167451558432,-0.2516654869721334,-0.20884233979246747,-0.22696967876249063,0.6231859552788093,0.633975968192382,-0.2779614717064689,1.1641474519649473
G2_市场普跌降仓,0.11620748961280203,0.11624462666771018,-0.06577072627483993,0.25714399606555305,-0.25771674515584386,-0.23536269280879174,-0.20884233979246714,-0.1703059240805207,0.702310105690987,0.7161251283948888,-0.20546875565699269,1.3265703202041248
G3_残差系统下沉,0.11377185580576477,0.09883239280311606,-0.13018631254594704,0.3731296750481039,-0.27831370684281787,-0.2516632583285051,-0.23733760142502158,-0.16723051452973692,0.7014604306903723,0.6275495537892337,-0.5384956875066197,2.0559779250372454
G4_残差离散不足,0.10529176004247609,0.09627780884586845,0.09794697978671496,0.15671495066815977,-0.25167640902503874,-0.25167640902503874,-0.15200232355589338,-0.22316174828910162,0.6595223311826508,0.618909095588597,0.5420433512280394,0.9288066264571456
G5_候选覆盖不足,0.1022085171256808,0.10096035427064987,-0.07662771080305253,0.24576069917750276,-0.2577167451558432,-0.2516654869721334,-0.20884233979246747,-0.22696967876249063,0.6231859552788093,0.633975968192382,-0.2779614717064689,1.1641474519649473
G6_评分区分不足,0.09003166426975162,0.08493873260214646,-0.11490689209958338,0.2713741616438037,-0.2844516889174934,-0.251665594878141,-0.23733760142502103,-0.21944141247289706,0.5596876463314087,0.5460856066425903,-0.42449957992594656,1.3434044180371632
G7_普跌且低离散,0.12054833660813391,0.12283310397532787,0.02369522347630504,0.18878414848884129,-0.2688912234382762,-0.2516806318812437,-0.23390799919377514,-0.22243119717588444,0.7047438574890151,0.737952141946035,0.2203635489667308,0.9916046774472351
G8_双质量确认,0.09913068536965852,0.09858521277572585,0.019536725709129232,0.16067131350116237,-0.18184324136081864,-0.17444884961451013,-0.146788925330678,-0.18184324136081775,0.7035022489447675,0.7095786544139417,0.19872756899080016,1.081662002063379
G9_三级机会仓位,0.07410865199375016,0.06024610276572284,0.01392939248872671,0.17511057079276404,-0.1936438329819512,-0.1936438329819512,-0.11732083855270725,-0.1827946622650285,0.5917462737219347,0.5068944137198461,0.16869082224937942,1.1346747808035118
