,annualized_return,annualized_return,annualized_return,annualized_return,max_drawdown,max_drawdown,max_drawdown,max_drawdown,sharpe,sharpe,sharpe,sharpe
period,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08
strategy,,,,,,,,,,,,
双袖套逆波动,0.07534474025331495,0.06656334666216002,0.1305586741185889,0.07559811081724721,-0.20580196696845288,-0.20580196696845288,-0.14085551101252658,-0.14173612579901695,0.5544484068155726,0.5057080499929439,0.7205477409199033,0.6297393288756156
因子动量120,0.09937920476251416,0.0975674596724172,0.1733122280712025,0.06453920257604273,-0.24852835792746752,-0.24852835792746752,-0.10860269019047308,-0.1891474303836871,0.6642658514486834,0.6487080014918587,0.9438479182902141,0.5166083675166852
因子动量60,0.07959233652343012,0.0849576616821861,0.0873083241840451,0.056723405226963175,-0.22192412918401005,-0.22192412918401005,-0.1506422124404745,-0.2002566048164245,0.5550862050692389,0.5850346136153338,0.5290102332857606,0.4637244579812828
静态_100,0.12073729412946088,0.11655424366173595,0.06084855000948464,0.17538685047473224,-0.25845509606757355,-0.25845509606757355,-0.21523405359279701,-0.22184973291057797,0.7118526508191789,0.7110375881855342,0.37242912216887947,1.002442898610649
静态_50,0.08579313030006297,0.07376792262020371,0.14741185823817649,0.09435175761178072,-0.2138369925135608,-0.2138369925135608,-0.13844356013901116,-0.14202922299157628,0.6092345392899433,0.5430581251447453,0.7885030728718658,0.7458864619935582
静态_70,0.10019802012497725,0.09113420697212238,0.11281801944120007,0.1268650484539675,-0.2317915353148502,-0.2317915353148502,-0.1683079618469312,-0.17318905910327664,0.6637350586444913,0.6239906921217013,0.6135833011643105,0.8835854171617643
静态_80,0.10719028057487368,0.09969456266049903,0.09549693182680685,0.14308038880468277,-0.24071622853765706,-0.24071622853765706,-0.1833572603458773,-0.18914743038368742,0.6837563505741983,0.6573491479360558,0.5293929756615148,0.932890874020482
静态_90,0.1140378332973151,0.10816893631343838,0.07817100605395955,0.15925713438964806,-0.24960443288943768,-0.24960443288943768,-0.19816908306813552,-0.2054701238078115,0.699607482095928,0.6862469733694847,0.4487932190319976,0.9718546999890894
