date,equity,cash,positions
2023-01-03,10000000.0,10000000.0,0
2023-01-04,10000000.0,10000000.0,0
2023-01-05,10000000.0,10000000.0,0
2023-01-06,10000000.0,10000000.0,0
2023-01-09,10000000.0,10000000.0,0
2023-01-10,10000000.0,10000000.0,0
2023-01-11,10000000.0,10000000.0,0
2023-01-12,9997859.532452773,9249909.972452773,1
2023-01-13,9983426.992452772,9249909.972452773,1
2023-01-16,10045271.213541627,8501025.273541627,2
2023-01-17,10066009.443541627,8501025.273541627,2
2023-01-18,10132669.943541627,8501025.273541627,2
2023-01-19,10209670.403541628,8501025.273541627,2
2023-01-20,10231045.163541628,8501025.273541627,2
2023-01-30,10262097.823541626,8501025.273541627,2
2023-01-31,10219343.97222304,8199358.102223041,3
2023-02-01,10322791.27222304,8199358.102223041,3
2023-02-02,10416896.40222304,8199358.102223041,3
2023-02-03,10481384.13222304,8199358.102223041,3
2023-02-06,10444112.010236135,8685280.180236135,3
2023-02-07,10457517.230236135,8685280.180236135,3
2023-02-08,10454224.780236134,8685280.180236135,3
2023-02-09,10430494.780236134,8685280.180236135,3
2023-02-10,10401495.880236134,8685280.180236135,3
2023-02-13,10402632.235623978,9542070.535623979,2
2023-02-14,10411149.735623978,9542070.535623979,2
2023-02-15,10399025.02930828,9938021.62930828,1
2023-02-16,10386669.829308279,9938021.62930828,1
2023-02-17,10386927.22930828,9938021.62930828,1
2023-02-20,10391045.62930828,9938021.62930828,1
2023-02-21,10392590.02930828,9938021.62930828,1
2023-02-22,10416270.829308279,9938021.62930828,1
2023-02-23,10403915.62930828,9938021.62930828,1
2023-02-24,10398767.62930828,9938021.62930828,1
2023-02-27,10388729.02930828,9938021.62930828,1
2023-02-28,10388471.62930828,9938021.62930828,1
2023-03-01,10363246.42930828,9938021.62930828,1
2023-03-02,10367740.66895818,10367740.66895818,0
2023-03-03,10367740.66895818,10367740.66895818,0
2023-03-06,10367740.66895818,10367740.66895818,0
2023-03-07,10367740.66895818,10367740.66895818,0
2023-03-08,10339790.058220968,8034393.048220967,3
2023-03-09,10395754.308220968,8034393.048220967,3
2023-03-10,10414244.418220967,8034393.048220967,3
2023-03-13,10405766.498220967,8034393.048220967,3
2023-03-14,10413787.738945203,8752408.218945203,2
2023-03-15,10412076.618945204,8752408.218945203,2
2023-03-16,10383209.418945203,8752408.218945203,2
2023-03-17,10384504.098945204,8752408.218945203,2
2023-03-20,10358680.258945204,8752408.218945203,2
2023-03-21,10346906.321832186,8182442.961832185,3
2023-03-22,10349884.441832185,8182442.961832185,3
2023-03-23,10510193.881832186,8182442.961832185,3
2023-03-24,10513166.361832185,8182442.961832185,3
2023-03-27,10683028.15912747,7629203.289127471,4
2023-03-28,10749221.677403923,8816147.317403924,3
2023-03-29,10695672.157403924,8816147.317403924,3
2023-03-30,10643494.477403924,8816147.317403924,3
2023-03-31,10638635.517403923,8816147.317403924,3
