variant,description,start_year,start,end,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate,mean_trade_return
r01_overheat_bear_guard,收益线1：高温转弱+极端熊市保护,2020,2020-01-01,2026-07-31,10000000.0,172900625.71665084,16.290062571665086,0.5424827449130778,-0.30776170111691514,683,0.48462664714494874,0.056826362744652734
r02_rerank_with_guard,收益线2：温度概率排序+高温转弱保护,2020,2020-01-01,2026-07-31,10000000.0,165290683.59343135,15.529068359343135,0.5319613251113438,-0.32236357866819243,712,0.4747191011235955,0.055316983225383795
r03_linkage_breadth_guard,收益线3：行业联动+高温转弱保护,2020,2020-01-01,2026-07-31,10000000.0,125864170.6935626,11.58641706935626,0.4697787938418505,-0.29962783177456154,694,0.47262247838616717,0.051835844846640056
d01_rising_relaxed,回撤线1：升温为主、强势行业小幅降温仍可入场,2020,2020-01-01,2026-07-31,10000000.0,63749697.085080534,5.374969708508053,0.32534692078564365,-0.1456015007855055,317,0.5173501577287066,0.08345660777821765
d02_breadth_relaxed,回撤线2：宽度为主、强龙头升温可替代确认,2020,2020-01-01,2026-07-31,10000000.0,61967110.14978263,5.196711014978263,0.3196436084710841,-0.15493224955838814,367,0.4904632152588556,0.07043542446388289
d03_recovery_relaxed,回撤线3：保留复苏门槛并用温度概率排序,2020,2020-01-01,2026-07-31,10000000.0,56754915.29836957,4.6754915298369575,0.30213004344131833,-0.1684785013091199,337,0.5103857566765578,0.07230718841064064
r01_overheat_bear_guard,收益线1：高温转弱+极端熊市保护,2023,2023-01-01,2026-07-31,10000000.0,35012141.127764225,2.5012141127764225,0.42009917077607084,-0.30776324350929285,422,0.44549763033175355,0.04580442878306164
r03_linkage_breadth_guard,收益线3：行业联动+高温转弱保护,2023,2023-01-01,2026-07-31,10000000.0,34938960.79552457,2.493896079552457,0.4192677876614166,-0.2996270675157956,442,0.4411764705882353,0.045240432781037704
r02_rerank_with_guard,收益线2：温度概率排序+高温转弱保护,2023,2023-01-01,2026-07-31,10000000.0,32145955.644932643,2.2145955644932642,0.3865549484933162,-0.3223633824308866,448,0.43080357142857145,0.04380576092734385
d01_rising_relaxed,回撤线1：升温为主、强势行业小幅降温仍可入场,2023,2023-01-01,2026-07-31,10000000.0,30215098.2339233,2.0215098233923303,0.36272280796649503,-0.13656135000109793,207,0.5120772946859904,0.081213367794138
d02_breadth_relaxed,回撤线2：宽度为主、强龙头升温可替代确认,2023,2023-01-01,2026-07-31,10000000.0,27183887.570946984,1.7183887570946985,0.32299230269926227,-0.15493155632870592,242,0.45867768595041325,0.06285393755510256
d03_recovery_relaxed,回撤线3：保留复苏门槛并用温度概率排序,2023,2023-01-01,2026-07-31,10000000.0,26378632.85462503,1.6378632854625033,0.31190449324683733,-0.16847631045975142,226,0.49557522123893805,0.067904169594807
d01_rising_relaxed,回撤线1：升温为主、强势行业小幅降温仍可入场,2026,2026-01-01,2026-07-31,10000000.0,9957645.640932908,-0.004235435906709162,-0.007461292658816454,-0.10685306438273312,42,0.30952380952380953,-0.003241060499362795
d02_breadth_relaxed,回撤线2：宽度为主、强龙头升温可替代确认,2026,2026-01-01,2026-07-31,10000000.0,9078533.1441094,-0.09214668558906003,-0.1568225607662741,-0.13227757659161776,62,0.27419354838709675,-0.01673792366750806
d03_recovery_relaxed,回撤线3：保留复苏门槛并用温度概率排序,2026,2026-01-01,2026-07-31,10000000.0,8829760.499284973,-0.11702395007150268,-0.19716320641649554,-0.168473743589881,65,0.27692307692307694,-0.0173823345558135
r03_linkage_breadth_guard,收益线3：行业联动+高温转弱保护,2026,2026-01-01,2026-07-31,10000000.0,7731048.314551061,-0.2268951685448939,-0.3649653183960072,-0.2953428523954509,95,0.25263157894736843,-0.03292316021885108
r01_overheat_bear_guard,收益线1：高温转弱+极端熊市保护,2026,2026-01-01,2026-07-31,10000000.0,7618449.845245117,-0.23815501547548823,-0.3811940309178419,-0.3013803411845768,93,0.24731182795698925,-0.035956958043439485
r02_rerank_with_guard,收益线2：温度概率排序+高温转弱保护,2026,2026-01-01,2026-07-31,10000000.0,7525061.627858179,-0.24749383721418217,-0.39451568467036413,-0.3157960222299757,98,0.24489795918367346,-0.034202443491500735
