symbol,entry_date,exit_date,reason,return
688188.SH,2023-01-12,2023-02-13,TIME,0.14225002855927021
688023.SH,2023-01-16,2023-02-15,TIME,0.15185585205587987
688382.SH,2023-01-31,2023-03-02,TIME,0.19173935888659777
688105.SH,2023-03-08,2023-03-14,STOP,-0.07683677888621054
688536.SH,2023-03-21,2023-03-28,STOP,-0.07708632528542453
688276.SH,2023-03-08,2023-04-04,STOP,-0.0786534303711765
688036.SH,2023-03-08,2023-04-06,TPALL,0.36040438592424423
688325.SH,2023-04-18,2023-04-24,STOP,-0.07679818584362785
688222.SH,2023-03-27,2023-04-26,TIME,0.11755621843025912
688045.SH,2023-04-25,2023-04-26,STOP,-0.0911479785498534
688282.SH,2023-04-10,2023-05-08,TPALL,0.33105414044283965
688259.SH,2023-04-28,2023-05-08,STOP,-0.07367618588247049
688308.SH,2023-04-26,2023-05-10,STOP,-0.10564979689987102
688209.SH,2023-04-26,2023-05-10,STOP,-0.10129527769970155
688233.SH,2023-04-28,2023-05-11,STOP,-0.08720715952876769
688499.SH,2023-05-04,2023-05-19,STOP,-0.07999740667595492
688619.SH,2023-05-08,2023-05-19,STOP,-0.18130877993704747
688779.SH,2023-04-26,2023-05-26,TIME,0.0490418808852253
688117.SH,2023-04-27,2023-05-29,TIME,0.2605514875647073
688213.SH,2023-04-27,2023-05-29,TIME,0.2070519030328863
688045.SH,2023-04-27,2023-05-29,TIME,0.1088367578318468
688032.SH,2023-05-09,2023-06-02,STOP,-0.08152372663038004
688399.SH,2023-05-09,2023-06-07,STOP,-0.08751643614820283
688659.SH,2023-05-15,2023-06-08,TPALL,0.32545272971097244
688123.SH,2023-05-11,2023-06-12,TIME,0.11004691379128699
688320.SH,2023-05-11,2023-06-12,TIME,0.15909644771062537
688292.SH,2023-05-18,2023-06-19,TIME,0.09632458385899206
688619.SH,2023-05-22,2023-06-21,TIME,0.15136729699621487
688233.SH,2023-05-22,2023-06-21,TIME,-0.04882756554562291
688382.SH,2023-06-13,2023-06-26,STOP,-0.08515664495303843
688798.SH,2023-06-19,2023-06-26,STOP,-0.0773920589312032
688661.SH,2023-06-28,2023-06-30,STOP,-0.07570525288335678
688308.SH,2023-06-01,2023-07-03,TIME,0.10371417905198746
688707.SH,2023-06-07,2023-07-07,TIME,0.07358868433426347
