date,equity,cash,positions
2020-01-02,10000000.0,10000000.0,0
2020-01-03,10000000.0,10000000.0,0
2020-01-06,10000000.0,10000000.0,0
2020-01-07,10000000.0,10000000.0,0
2020-01-08,10000000.0,10000000.0,0
2020-01-09,10000000.0,10000000.0,0
2020-01-10,10000000.0,10000000.0,0
2020-01-13,10000000.0,10000000.0,0
2020-01-14,10000000.0,10000000.0,0
2020-01-15,10000000.0,10000000.0,0
2020-01-16,10000000.0,10000000.0,0
2020-01-17,10000000.0,10000000.0,0
2020-01-20,10000000.0,10000000.0,0
2020-01-21,10000000.0,10000000.0,0
2020-01-22,10000000.0,10000000.0,0
2020-01-23,10000000.0,10000000.0,0
2020-02-03,10000000.0,10000000.0,0
2020-02-04,10000000.0,10000000.0,0
2020-02-05,10000000.0,10000000.0,0
2020-02-06,10000000.0,10000000.0,0
2020-02-07,10000000.0,10000000.0,0
2020-02-10,10000000.0,10000000.0,0
2020-02-11,10000000.0,10000000.0,0
2020-02-12,10000000.0,10000000.0,0
2020-02-13,10000000.0,10000000.0,0
2020-02-14,10000000.0,10000000.0,0
2020-02-17,10000000.0,10000000.0,0
2020-02-18,10000000.0,10000000.0,0
2020-02-19,10000000.0,10000000.0,0
2020-02-20,10000000.0,10000000.0,0
2020-02-21,10000000.0,10000000.0,0
2020-02-24,10000000.0,10000000.0,0
2020-02-25,10000000.0,10000000.0,0
2020-02-26,10000000.0,10000000.0,0
2020-02-27,10000000.0,10000000.0,0
2020-02-28,10000000.0,10000000.0,0
2020-03-02,10000000.0,10000000.0,0
2020-03-03,10000000.0,10000000.0,0
2020-03-04,10000000.0,10000000.0,0
2020-03-05,10000000.0,10000000.0,0
2020-03-06,10000000.0,10000000.0,0
2020-03-09,10000000.0,10000000.0,0
2020-03-10,10000000.0,10000000.0,0
2020-03-11,10000000.0,10000000.0,0
2020-03-12,10000000.0,10000000.0,0
2020-03-13,10000000.0,10000000.0,0
2020-03-16,10000000.0,10000000.0,0
2020-03-17,10000000.0,10000000.0,0
2020-03-18,10000000.0,10000000.0,0
2020-03-19,10000000.0,10000000.0,0
2020-03-20,10000000.0,10000000.0,0
2020-03-23,10000000.0,10000000.0,0
2020-03-24,10000000.0,10000000.0,0
2020-03-25,10000000.0,10000000.0,0
2020-03-26,10000000.0,10000000.0,0
2020-03-27,10000000.0,10000000.0,0
2020-03-30,10000000.0,10000000.0,0
2020-03-31,10000000.0,10000000.0,0
2020-04-01,10000000.0,10000000.0,0
2020-04-02,10000000.0,10000000.0,0
2020-04-03,10006550.489338955,8999727.879338956,1
2020-04-07,10045216.279338956,8999727.879338956,1
2020-04-08,10049536.479338955,8999727.879338956,1
2020-04-09,10044784.259338956,8999727.879338956,1
2020-04-10,10026423.409338955,8999727.879338956,1
2020-04-13,10000502.209338956,8999727.879338956,1
2020-04-14,10013246.799338955,8999727.879338956,1
2020-04-15,10059472.939338956,8999727.879338956,1
2020-04-16,10199010.464095294,7993515.264095295,2
2020-04-17,10154219.864095295,7993515.264095295,2
2020-04-20,10289447.664095296,7993515.264095295,2
2020-04-21,10323298.844918184,8634049.244918184,2
2020-04-22,10328705.144918185,8634049.244918184,2
2020-04-23,10431533.392187785,9334803.892187785,1
2020-04-24,10438456.792187786,9334803.892187785,1
2020-04-27,10413595.492187785,9334803.892187785,1
2020-04-28,10372369.792187786,9334803.892187785,1
2020-04-29,10341839.475262783,7261355.435262784,3
2020-04-30,10500296.335262783,7261355.435262784,3
2020-05-06,10955603.830760606,6215391.150760606,4
2020-05-07,10851650.690760605,6215391.150760606,4
2020-05-08,10897499.570760606,6215391.150760606,4
2020-05-11,10967552.700760607,6215391.150760606,4
2020-05-12,11008724.810760606,6215391.150760606,4
2020-05-13,11029768.410760608,6215391.150760606,4
2020-05-14,10952769.230760606,6215391.150760606,4
2020-05-15,11019739.918339962,6856495.668339962,4
2020-05-18,11073350.609004753,8028012.6590047525,3
2020-05-19,11092831.466029665,8762522.056029664,2
2020-05-20,11175717.306029664,8762522.056029664,2
2020-05-21,11093876.456029665,8762522.056029664,2
2020-05-22,11026817.736029664,8762522.056029664,2
2020-05-25,11098416.496029664,8762522.056029664,2
2020-05-26,11226663.526029665,8762522.056029664,2
2020-05-27,11265088.386029664,8762522.056029664,2
2020-05-28,11207812.95505359,9431305.51505359,2
2020-05-29,11205235.44747035,10544708.84747035,1
2020-06-01,11228812.827470351,10544708.84747035,1
2020-06-02,11212254.66747035,10544708.84747035,1
2020-06-03,11195156.567470351,10544708.84747035,1
2020-06-04,11218733.94747035,10544708.84747035,1
2020-06-05,11208611.761874218,11208611.761874218,0
2020-06-08,11208611.761874218,11208611.761874218,0
2020-06-09,11208611.761874218,11208611.761874218,0
2020-06-10,11228070.102342218,10087427.102342218,1
2020-06-11,11212936.102342218,10087427.102342218,1
2020-06-12,11217213.102342218,10087427.102342218,1
2020-06-15,11241559.102342218,10087427.102342218,1
2020-06-16,11295844.102342218,10087427.102342218,1
2020-06-17,11311307.102342218,10087427.102342218,1
2020-06-18,11258338.102342218,10087427.102342218,1
2020-06-19,11250771.102342218,10087427.102342218,1
2020-06-22,11290641.551208954,8961248.891208954,2
2020-06-23,11293121.511208955,8961248.891208954,2
2020-06-24,11261942.251208954,8961248.891208954,2
2020-06-29,11235368.571208954,8961248.891208954,2
2020-06-30,11336574.991208954,8961248.891208954,2
2020-07-01,11327691.851208955,8961248.891208954,2
2020-07-02,11364742.991208954,8961248.891208954,2
2020-07-03,11336271.751208954,8961248.891208954,2
2020-07-06,11464760.111208953,8961248.891208954,2
2020-07-07,11522234.031208955,8961248.891208954,2
2020-07-08,11552426.431208953,8961248.891208954,2
2020-07-09,11617999.491208954,8961248.891208954,2
2020-07-10,11590298.175541893,10323066.895541893,1
2020-07-13,11673815.175541893,10323066.895541893,1
2020-07-14,11943853.475541893,10323066.895541893,1
2020-07-15,11990102.200500548,11990102.200500548,0
2020-07-16,11990102.200500548,11990102.200500548,0
2020-07-17,11990102.200500548,11990102.200500548,0
2020-07-20,11990102.200500548,11990102.200500548,0
2020-07-21,11990102.200500548,11990102.200500548,0
2020-07-22,11990102.200500548,11990102.200500548,0
2020-07-23,11990102.200500548,11990102.200500548,0
2020-07-24,11990102.200500548,11990102.200500548,0
2020-07-27,11990102.200500548,11990102.200500548,0
2020-07-28,11990102.200500548,11990102.200500548,0
2020-07-29,11990102.200500548,11990102.200500548,0
2020-07-30,11990102.200500548,11990102.200500548,0
2020-07-31,11990102.200500548,11990102.200500548,0
2020-08-03,11990102.200500548,11990102.200500548,0
2020-08-04,11990102.200500548,11990102.200500548,0
2020-08-05,11990102.200500548,11990102.200500548,0
2020-08-06,11990102.200500548,11990102.200500548,0
2020-08-07,11990102.200500548,11990102.200500548,0
2020-08-10,11990102.200500548,11990102.200500548,0
2020-08-11,11990102.200500548,11990102.200500548,0
2020-08-12,11990102.200500548,11990102.200500548,0
2020-08-13,11990102.200500548,11990102.200500548,0
2020-08-14,11990102.200500548,11990102.200500548,0
2020-08-17,11990102.200500548,11990102.200500548,0
2020-08-18,11990102.200500548,11990102.200500548,0
2020-08-19,11990102.200500548,11990102.200500548,0
2020-08-20,11990102.200500548,11990102.200500548,0
2020-08-21,11990102.200500548,11990102.200500548,0
2020-08-24,11990102.200500548,11990102.200500548,0
2020-08-25,11990102.200500548,11990102.200500548,0
2020-08-26,11990102.200500548,11990102.200500548,0
2020-08-27,11990102.200500548,11990102.200500548,0
2020-08-28,11990102.200500548,11990102.200500548,0
2020-08-31,11990102.200500548,11990102.200500548,0
2020-09-01,11990102.200500548,11990102.200500548,0
2020-09-02,11990102.200500548,11990102.200500548,0
2020-09-03,11990102.200500548,11990102.200500548,0
2020-09-04,11990102.200500548,11990102.200500548,0
2020-09-07,11990102.200500548,11990102.200500548,0
2020-09-08,11990102.200500548,11990102.200500548,0
2020-09-09,11990102.200500548,11990102.200500548,0
2020-09-10,11990102.200500548,11990102.200500548,0
2020-09-11,11990102.200500548,11990102.200500548,0
2020-09-14,11990102.200500548,11990102.200500548,0
2020-09-15,12065376.317229789,10790739.317229789,1
2020-09-16,12071379.317229789,10790739.317229789,1
2020-09-17,12091389.317229789,10790739.317229789,1
2020-09-18,12119403.317229789,10790739.317229789,1
2020-09-21,12108437.837229788,10790739.317229789,1
2020-09-22,12075501.37722979,10790739.317229789,1
2020-09-23,12092189.71722979,10790739.317229789,1
2020-09-24,12095391.317229789,10790739.317229789,1
2020-09-25,12070218.737229789,10790739.317229789,1
2020-09-28,11969928.61722979,10790739.317229789,1
2020-09-29,12020353.817229789,10790739.317229789,1
2020-09-30,12032399.837229788,10790739.317229789,1
2020-10-09,12045087.74945952,9584221.37945952,2
2020-10-12,12164839.79945952,9584221.37945952,2
2020-10-13,12132696.509459522,9584221.37945952,2
2020-10-14,12066540.20945952,9584221.37945952,2
2020-10-15,12065207.477101948,10848619.637101948,1
2020-10-16,12057175.427101947,10848619.637101948,1
2020-10-19,12052891.667101948,10848619.637101948,1
2020-10-20,12066278.417101948,10848619.637101948,1
2020-10-21,12054498.077101948,10848619.637101948,1
2020-10-22,12040040.387101948,10848619.637101948,1
2020-10-23,12015944.237101948,10848619.637101948,1
2020-10-26,12020227.997101948,10848619.637101948,1
2020-10-27,12001486.547101948,10848619.637101948,1
2020-10-28,11981138.687101949,10848619.637101948,1
2020-10-29,11950708.066384789,11950708.066384789,0
2020-10-30,11950708.066384789,11950708.066384789,0
2020-11-02,11950708.066384789,11950708.066384789,0
