variant,name,year,start,end,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate,mean_trade_return
baseline2-1,基准2-1：温度进攻,2020,2020-01-01,2020-12-31,1000000.0,1937536.9249434983,0.9375369249434984,0.9419427539320144,-0.052979580603098486,43,0.7441860465116279,0.16315620837703795
baseline2-1,基准2-1：温度进攻,2021,2021-01-01,2021-12-31,1000000.0,1763209.3597100298,0.7632093597100298,0.7750213535995372,-0.05850630748669927,78,0.6282051282051282,0.08264275170034466
baseline2-1,基准2-1：温度进攻,2022,2022-01-01,2022-12-31,1000000.0,1423978.8272422433,0.42397882724224334,0.43133774879330433,-0.2658579790449006,128,0.4296875,0.0433085925625217
baseline2-1,基准2-1：温度进攻,2023,2023-01-01,2023-12-31,1000000.0,1440785.919542007,0.44078591954200697,0.44847953732206025,-0.07853258968165577,89,0.5056179775280899,0.04087066445231604
baseline2-1,基准2-1：温度进攻,2024,2024-01-01,2024-12-31,1000000.0,1735624.9657956327,0.7356249657956326,0.7389143677529406,-0.22728725191269428,171,0.4327485380116959,0.06553659589587849
baseline2-1,基准2-1：温度进攻,2025,2025-01-01,2025-12-31,1000000.0,1793617.0642630584,0.7936170642630584,0.8001240409534667,-0.036385494118591044,55,0.6545454545454545,0.10539544562339889
baseline2-1,基准2-1：温度进攻,2026,2026-01-01,2026-07-31,1000000.0,802472.5673018467,-0.19752743269815332,-0.3217844056161543,-0.2631550679526894,87,0.26436781609195403,-0.029821468259289878
baseline2-2,基准2-2：升温防守,2020,2020-01-01,2020-12-31,1000000.0,1174942.7044447353,0.17494270444473536,0.17559337747025583,-0.0411532690377705,11,0.7272727272727273,0.15195636141278326
baseline2-2,基准2-2：升温防守,2021,2021-01-01,2021-12-31,1000000.0,1337776.9958092468,0.3377769958092467,0.34236809259336964,-0.08234270090180196,38,0.5263157894736842,0.08858170390402223
baseline2-2,基准2-2：升温防守,2022,2022-01-01,2022-12-31,1000000.0,1413755.8270023167,0.4137558270023167,0.4209126087162154,-0.14553340097662004,58,0.5344827586206896,0.08454338393569547
baseline2-2,基准2-2：升温防守,2023,2023-01-01,2023-12-31,1000000.0,1180604.2569234727,0.1806042569234727,0.18346622073604069,-0.05298876879666803,33,0.5151515151515151,0.05473973117987162
baseline2-2,基准2-2：升温防守,2024,2024-01-01,2024-12-31,1000000.0,2007503.7165990353,1.0075037165990355,1.0123137739251358,-0.1365392372007006,93,0.5806451612903226,0.1347512757268386
baseline2-2,基准2-2：升温防守,2025,2025-01-01,2025-12-31,1000000.0,1238956.087234606,0.23895608723460593,0.24060265611106524,-0.0363834779248563,33,0.5454545454545454,0.05203464491186334
baseline2-2,基准2-2：升温防守,2026,2026-01-01,2026-07-31,1000000.0,995917.5147375435,-0.00408248526245647,-0.007192270859508354,-0.10677713170182601,42,0.30952380952380953,-0.003242040089257227
