symbol,entry_date,exit_date,reason,return
688068.SH,2020-04-03,2020-04-23,TPALL,0.3409265250194263
688006.SH,2020-04-16,2020-05-18,TIME,0.16428374373054433
688099.SH,2020-04-29,2020-05-19,TPALL,0.32690911182828064
688068.SH,2020-04-29,2020-05-29,TIME,0.07394654722904169
688005.SH,2020-05-06,2020-06-05,TIME,0.2741234135975473
688310.SH,2020-06-10,2020-07-10,TIME,0.21462418590474136
688128.SH,2020-06-22,2020-07-15,TPALL,0.4802588866296117
688019.SH,2020-09-15,2020-10-15,TIME,0.05422493498740823
688007.SH,2020-10-09,2020-10-29,STOP,-0.08655445991994072
688108.SH,2020-11-06,2020-11-26,STOP,-0.08162912769517898
688366.SH,2020-11-03,2020-11-30,STOP,-0.08959378577086552
688266.SH,2020-12-24,2021-01-08,STOP,-0.0933544842823607
688108.SH,2020-12-25,2021-01-12,STOP,-0.10056667851259958
688277.SH,2021-01-13,2021-01-14,STOP,-0.10760632723446201
688258.SH,2021-01-08,2021-01-26,STOP,-0.07379213122574711
688277.SH,2021-01-15,2021-02-05,STOP,-0.08546904671118699
688298.SH,2021-02-01,2021-02-08,STOP,-0.09006683496166239
688580.SH,2021-01-14,2021-02-18,TIME,0.054382907429478725
688298.SH,2021-03-01,2021-03-05,STOP,-0.0902284047492122
688177.SH,2021-02-18,2021-03-11,STOP,-0.10990672749082671
688222.SH,2021-03-09,2021-03-24,STOP,-0.08450458268999732
688088.SH,2021-04-06,2021-04-14,STOP,-0.1054345027801663
688088.SH,2021-04-15,2021-04-28,STOP,-0.08286055938877895
688116.SH,2021-04-08,2021-05-10,TIME,0.25768849139991185
688222.SH,2021-04-30,2021-05-11,STOP,-0.08993677502362143
688200.SH,2021-04-16,2021-05-17,TIME,0.05927358478561618
688021.SH,2021-04-28,2021-05-28,TIME,0.20394676675739692
688127.SH,2021-04-29,2021-06-01,TIME,0.2878518012532344
688266.SH,2021-05-12,2021-06-11,TIME,0.2296971279423462
688222.SH,2021-05-14,2021-06-15,TIME,0.21023099211132354
688408.SH,2021-05-21,2021-06-21,TIME,0.2646757884563182
688590.SH,2021-06-17,2021-07-19,TIME,0.26972473599610414
688001.SH,2021-07-07,2021-07-26,TPALL,0.30494935770438314
688313.SH,2021-08-17,2021-08-30,STOP,-0.09088241067475226
688070.SH,2021-08-30,2021-09-22,STOP,-0.09600458987454404
688328.SH,2021-09-03,2021-09-22,STOP,-0.10608037204990065
688219.SH,2021-09-01,2021-09-27,STOP,-0.0834272624293202
688039.SH,2021-11-01,2021-11-03,STOP,-0.08947436141405184
688630.SH,2021-10-28,2021-11-10,TPALL,0.338277931358636
688179.SH,2021-10-29,2021-11-15,TPALL,0.35810754513051146
688127.SH,2021-11-09,2021-11-17,TPALL,0.332932595331162
688039.SH,2021-11-04,2021-11-18,TPALL,0.3222408783958468
688560.SH,2021-10-29,2021-11-19,TPALL,0.3151433977832665
688083.SH,2021-11-01,2021-12-01,TIME,0.19200804494539264
688368.SH,2021-11-02,2021-12-02,TIME,-0.0057326580953812895
688222.SH,2021-11-02,2021-12-02,TIME,-0.025981994582039373
688018.SH,2021-11-02,2021-12-02,TIME,0.20516220011969585
688266.SH,2021-11-12,2021-12-02,STOP,-0.07682244400121019
688155.SH,2021-11-03,2021-12-03,TIME,0.2928302623887349
688575.SH,2021-12-06,2021-12-21,TPALL,0.3501628664467093
688669.SH,2021-11-22,2021-12-22,TIME,0.011079430183941367
688617.SH,2022-01-05,2022-01-10,STOP,-0.0748302358450669
688310.SH,2022-01-20,2022-01-24,STOP,-0.09849106962461689
688680.SH,2022-01-12,2022-02-11,STOP,-0.11568500919711681
688017.SH,2022-02-28,2022-03-07,STOP,-0.08730259689594659
688088.SH,2022-03-02,2022-03-08,STOP,-0.09677438443326546
688039.SH,2022-03-02,2022-03-08,STOP,-0.08933171456098794
688559.SH,2022-02-28,2022-03-09,STOP,-0.11641985135268353
688033.SH,2022-03-09,2022-03-25,STOP,-0.07628023674109086
688599.SH,2022-02-24,2022-03-28,TIME,-0.07235419007753108
688408.SH,2022-03-18,2022-03-28,STOP,-0.09225899889539868
688598.SH,2022-03-09,2022-04-08,TIME,0.02719304485078093
688499.SH,2022-03-11,2022-04-11,TIME,-0.03803588420024938
688083.SH,2022-03-24,2022-04-11,STOP,-0.09067562568232926
688366.SH,2022-03-17,2022-04-12,STOP,-0.08922113281335117
688667.SH,2022-03-17,2022-04-12,STOP,-0.09639952015419684
688800.SH,2022-04-11,2022-04-12,STOP,-0.11415255293854333
688696.SH,2022-03-22,2022-04-21,TIME,-0.03262483787312889
688800.SH,2022-04-13,2022-04-26,STOP,-0.1128130736324944
688608.SH,2022-05-05,2022-05-10,STOP,-0.07954063201655978
688408.SH,2022-04-28,2022-05-13,TPALL,0.3241869076511649
688390.SH,2022-04-28,2022-05-18,TPALL,0.3053843647277518
688711.SH,2022-05-05,2022-05-20,TPALL,0.34964199648680744
688006.SH,2022-04-28,2022-05-23,TPALL,0.33039947890151516
688772.SH,2022-04-28,2022-05-30,TIME,0.2779207843137129
688148.SH,2022-04-29,2022-05-30,TIME,0.21239849449502696
688233.SH,2022-05-05,2022-06-06,TIME,0.2326744960333337
688595.SH,2022-05-05,2022-06-06,TIME,0.23026996505357913
688023.SH,2022-05-05,2022-06-06,TIME,0.08706809284832337
688106.SH,2022-05-06,2022-06-07,TIME,0.26690225268376777
688339.SH,2022-05-11,2022-06-10,TIME,0.14258802072743046
688608.SH,2022-05-12,2022-06-13,TIME,0.2731533949469339
688699.SH,2022-05-12,2022-06-13,TIME,0.10128782418038787
688158.SH,2022-05-16,2022-06-15,TIME,0.08927435106167189
688575.SH,2022-05-19,2022-06-20,TIME,-0.004454285474024048
688068.SH,2022-05-20,2022-06-20,TIME,0.0336528786503796
688029.SH,2022-05-23,2022-06-22,TIME,0.2583899769327762
688256.SH,2022-05-25,2022-06-24,TIME,0.2426656604277817
688276.SH,2022-06-10,2022-06-30,TPALL,0.39020859224584836
688793.SH,2022-06-15,2022-07-08,STOP,-0.08952254887529949
688139.SH,2022-08-08,2022-09-06,STOP,-0.08004152313144586
688020.SH,2022-09-19,2022-10-12,STOP,-0.07984484016672817
688029.SH,2022-09-29,2022-10-17,TPALL,0.3711768432884277
688798.SH,2022-10-18,2022-10-31,STOP,-0.13699925813596378
688772.SH,2022-10-26,2022-10-31,STOP,-0.08079990080414792
688686.SH,2022-10-27,2022-10-31,STOP,-0.07766265401692626
688033.SH,2022-10-24,2022-11-07,TPALL,0.3184657159832321
688202.SH,2022-10-13,2022-11-14,TIME,0.2599729827131833
688148.SH,2022-10-17,2022-11-16,TIME,0.23415996626189026
688608.SH,2022-10-18,2022-11-16,TPALL,0.37500644693217555
688012.SH,2022-10-18,2022-11-17,TIME,0.2120448014739394
688082.SH,2022-10-18,2022-11-17,TIME,0.22388867081989114
688259.SH,2022-10-21,2022-11-21,TIME,0.2885529161336624
688665.SH,2022-11-02,2022-11-21,TPALL,0.3465150255636801
688667.SH,2022-11-11,2022-11-29,STOP,-0.08669304916938907
688686.SH,2022-11-01,2022-12-01,TIME,0.09936888881106956
688696.SH,2022-11-02,2022-12-02,TIME,0.09609443477711554
688087.SH,2022-11-02,2022-12-02,TIME,0.03615026012824445
688538.SH,2022-11-23,2022-12-23,TIME,-0.005605048861998711
688188.SH,2023-01-12,2023-02-13,TIME,0.14225002855927005
688023.SH,2023-01-16,2023-02-15,TIME,0.15192879104931653
688382.SH,2023-01-31,2023-03-02,TIME,0.19174448340207118
688105.SH,2023-03-10,2023-03-16,STOP,-0.08522604824547947
688536.SH,2023-03-21,2023-03-28,STOP,-0.07708632528542465
688036.SH,2023-03-08,2023-04-06,TPALL,0.36040438592424406
688325.SH,2023-04-18,2023-04-24,STOP,-0.07679818584362788
688282.SH,2023-04-10,2023-05-08,TPALL,0.33105594538525274
688789.SH,2023-05-26,2023-06-07,STOP,-0.07359577489155622
688292.SH,2023-05-22,2023-06-21,TIME,0.08008618272281008
688661.SH,2023-06-28,2023-06-30,STOP,-0.07570525288335678
688308.SH,2023-06-01,2023-07-03,TIME,0.10372116723850806
688499.SH,2023-06-26,2023-07-18,STOP,-0.07994459815619813
688661.SH,2023-07-03,2023-07-27,STOP,-0.09857637629197051
688569.SH,2023-08-10,2023-08-25,STOP,-0.0779197938893365
688073.SH,2023-07-27,2023-08-28,TIME,0.11112657209543325
688578.SH,2023-08-22,2023-09-13,TPALL,0.32237943985563644
688569.SH,2023-09-01,2023-09-18,STOP,-0.07413152558909952
688668.SH,2023-08-30,2023-09-19,STOP,-0.08903163836385002
688200.SH,2023-08-30,2023-09-20,STOP,-0.07958215193799362
688383.SH,2023-08-30,2023-10-09,TIME,-0.044585218300495735
688213.SH,2023-08-30,2023-10-09,TIME,-0.021688745883320544
688662.SH,2023-09-04,2023-10-09,TIME,0.1412593069075116
688278.SH,2023-09-05,2023-10-09,TIME,0.2075511369669016
688073.SH,2023-09-19,2023-10-19,TIME,0.20700273057475327
688023.SH,2023-10-11,2023-10-19,STOP,-0.10174667290526083
688091.SH,2023-09-21,2023-10-23,TIME,-0.07005837496005758
688768.SH,2023-10-13,2023-10-23,STOP,-0.08618979748844124
688256.SH,2023-10-31,2023-11-15,TPALL,0.3140205116453345
688261.SH,2023-10-20,2023-11-20,TIME,0.07163157014716837
688107.SH,2023-11-03,2023-12-04,TIME,0.04411104252915468
688152.SH,2023-11-06,2023-12-06,TIME,0.23223800540451695
688065.SH,2023-11-09,2023-12-11,TIME,0.006088722885526053
688326.SH,2024-01-03,2024-01-05,STOP,-0.09681005706358134
688525.SH,2024-01-24,2024-01-30,STOP,-0.11491584609981254
688286.SH,2024-01-26,2024-01-30,STOP,-0.09958936015430343
688071.SH,2024-02-08,2024-02-22,TPALL,0.3251446429397294
688260.SH,2024-02-20,2024-02-26,TPALL,0.33013003226636234
688339.SH,2024-02-22,2024-03-01,TPALL,0.3450472640199391
688143.SH,2024-02-20,2024-03-18,TPALL,0.3069273610464733
688176.SH,2024-02-19,2024-03-19,TPALL,0.34220083307471727
