symbol,entry_date,exit_date,reason,return
688068.SH,2020-04-03,2020-04-23,TPALL,0.3409237350393015
688006.SH,2020-04-16,2020-05-18,TIME,0.1642837437305443
688099.SH,2020-04-29,2020-05-19,TPALL,0.3269052566100269
688068.SH,2020-04-29,2020-05-29,TIME,0.07394654722904159
688005.SH,2020-05-06,2020-06-05,TIME,0.2741222555816803
688310.SH,2020-06-10,2020-07-10,TIME,0.2146241859047413
688128.SH,2020-06-22,2020-07-15,TPALL,0.48025888662961175
688019.SH,2020-09-15,2020-10-15,TIME,0.05422493498740837
688007.SH,2020-10-09,2020-10-29,STOP,-0.08655445991994098
688108.SH,2020-11-06,2020-11-26,STOP,-0.08162912769517908
688366.SH,2020-11-03,2020-11-30,STOP,-0.0895937857708655
688266.SH,2020-12-24,2021-01-08,STOP,-0.09335448428236097
688108.SH,2020-12-25,2021-01-12,STOP,-0.1005666785125996
688277.SH,2021-01-13,2021-01-14,STOP,-0.10760632723446216
688258.SH,2021-01-08,2021-01-26,STOP,-0.07379213122574707
688277.SH,2021-01-15,2021-02-05,STOP,-0.0854690467111871
688298.SH,2021-02-01,2021-02-08,STOP,-0.09006683496166216
688580.SH,2021-01-14,2021-02-18,TIME,0.054382907429478815
688298.SH,2021-03-01,2021-03-05,STOP,-0.09022840474921229
688177.SH,2021-02-18,2021-03-11,STOP,-0.1099067274908267
688222.SH,2021-03-09,2021-03-24,STOP,-0.0845045826899972
688088.SH,2021-04-06,2021-04-14,STOP,-0.10543450278016644
688088.SH,2021-04-15,2021-04-28,STOP,-0.08286055938877897
688116.SH,2021-04-08,2021-05-10,TIME,0.25768849139991185
688222.SH,2021-04-30,2021-05-11,STOP,-0.08993677502362149
688200.SH,2021-04-16,2021-05-17,TIME,0.059273584785616
688021.SH,2021-04-28,2021-05-28,TIME,0.203946766757397
688127.SH,2021-04-29,2021-06-01,TIME,0.2878545158183016
688266.SH,2021-05-12,2021-06-11,TIME,0.22962744754927347
688222.SH,2021-05-14,2021-06-15,TIME,0.21023179517201426
688408.SH,2021-05-21,2021-06-21,TIME,0.26472868502647007
688590.SH,2021-06-17,2021-07-19,TIME,0.2697247359961039
688001.SH,2021-07-07,2021-07-26,TPALL,0.30494806355462967
688313.SH,2021-08-17,2021-08-30,STOP,-0.09088241067475214
688070.SH,2021-08-30,2021-09-22,STOP,-0.09600458987454422
688328.SH,2021-09-03,2021-09-22,STOP,-0.1060803720499007
688219.SH,2021-09-01,2021-09-27,STOP,-0.08342726242932037
688169.SH,2021-09-28,2021-10-13,STOP,-0.08207629189450578
688039.SH,2021-11-01,2021-11-03,STOP,-0.08947436141405188
688630.SH,2021-10-28,2021-11-10,TPALL,0.33827756281255195
688179.SH,2021-10-29,2021-11-15,TPALL,0.35810754513051135
688127.SH,2021-11-09,2021-11-17,TPALL,0.33293259533116204
688039.SH,2021-11-04,2021-11-18,TPALL,0.3222408783958468
688560.SH,2021-10-29,2021-11-19,TPALL,0.31514339778326633
688083.SH,2021-11-01,2021-12-01,TIME,0.19200804494539273
688368.SH,2021-11-02,2021-12-02,TIME,-0.005732658095381382
688222.SH,2021-11-02,2021-12-02,TIME,-0.025981994582039435
688018.SH,2021-11-02,2021-12-02,TIME,0.20516220011969594
688266.SH,2021-11-12,2021-12-02,STOP,-0.07682244400121012
688155.SH,2021-11-03,2021-12-03,TIME,0.2928358194319395
688575.SH,2021-12-06,2021-12-21,TPALL,0.3501628664467092
688669.SH,2021-11-22,2021-12-22,TIME,0.011079430183941363
688617.SH,2022-01-05,2022-01-10,STOP,-0.07483023584506694
688310.SH,2022-01-20,2022-01-24,STOP,-0.09849106962461683
688680.SH,2022-01-12,2022-02-11,STOP,-0.11568500919711668
688017.SH,2022-02-28,2022-03-07,STOP,-0.0873025968959465
688088.SH,2022-03-02,2022-03-08,STOP,-0.09677438443326568
688039.SH,2022-03-02,2022-03-08,STOP,-0.08933171456098825
688559.SH,2022-02-28,2022-03-09,STOP,-0.11641985135268343
688033.SH,2022-03-09,2022-03-25,STOP,-0.0762802367410912
688599.SH,2022-02-24,2022-03-28,TIME,-0.07235419007753112
688408.SH,2022-03-18,2022-03-28,STOP,-0.09225899889539904
688598.SH,2022-03-09,2022-04-08,TIME,0.027193044850780917
688499.SH,2022-03-11,2022-04-11,TIME,-0.03803588420024924
688083.SH,2022-03-24,2022-04-11,STOP,-0.09067562568232919
688366.SH,2022-03-17,2022-04-12,STOP,-0.08922113281335134
688667.SH,2022-03-17,2022-04-12,STOP,-0.09639952015419698
688800.SH,2022-04-11,2022-04-12,STOP,-0.11415255293854315
688696.SH,2022-03-22,2022-04-21,TIME,-0.032624837873128504
688800.SH,2022-04-13,2022-04-26,STOP,-0.11281307363249449
688608.SH,2022-05-05,2022-05-10,STOP,-0.07954063201655988
688408.SH,2022-04-28,2022-05-13,TPALL,0.3242010281568689
688390.SH,2022-04-28,2022-05-18,TPALL,0.3054522830427971
688711.SH,2022-05-05,2022-05-20,TPALL,0.3496497036146254
688006.SH,2022-04-28,2022-05-23,TPALL,0.3303994789015149
688772.SH,2022-04-28,2022-05-30,TIME,0.2779207843137127
688148.SH,2022-04-29,2022-05-30,TIME,0.212394574755668
688233.SH,2022-05-05,2022-06-06,TIME,0.23267449603333387
688595.SH,2022-05-05,2022-06-06,TIME,0.23026996505357894
688023.SH,2022-05-05,2022-06-06,TIME,0.08706809284832308
688518.SH,2022-05-11,2022-06-06,TPALL,0.3829047560372032
688106.SH,2022-05-06,2022-06-07,TIME,0.2668944861252984
688339.SH,2022-05-11,2022-06-10,TIME,0.14228236638466288
688608.SH,2022-05-12,2022-06-13,TIME,0.27315335064392715
