name,symbol,market,industry,ipo_date,region,connect
华兴源创,688001.SH,科创板,专用机械,2019-07-22,江苏,沪股通
睿创微纳,688002.SH,科创板,通信设备,2019-07-22,山东,沪股通
天准科技,688003.SH,科创板,专用机械,2019-07-22,江苏,沪股通
博汇科技,688004.SH,科创板,软件服务,2020-06-12,北京,N
容百科技,688005.SH,科创板,电气设备,2019-07-22,浙江,沪股通
杭可科技,688006.SH,科创板,电气设备,2019-07-22,浙江,沪股通
光峰科技,688007.SH,科创板,元器件,2019-07-22,深圳,沪股通
澜起科技,688008.SH,科创板,半导体,2019-07-22,上海,沪股通
中国通号,688009.SH,科创板,运输设备,2019-07-22,北京,沪股通
福光股份,688010.SH,科创板,元器件,2019-07-22,福建,沪股通
新光光电,688011.SH,科创板,元器件,2019-07-22,黑龙江,沪股通
中微公司,688012.SH,科创板,半导体,2019-07-22,上海,沪股通
天臣医疗,688013.SH,科创板,医疗保健,2020-09-28,江苏,N
交控科技,688015.SH,科创板,运输设备,2019-07-22,北京,N
心脉医疗,688016.SH,科创板,医疗保健,2019-07-22,上海,沪股通
绿的谐波,688017.SH,科创板,机械基件,2020-08-28,江苏,沪股通
乐鑫科技,688018.SH,科创板,半导体,2019-07-22,上海,沪股通
安集科技,688019.SH,科创板,半导体,2019-07-22,上海,沪股通
方邦股份,688020.SH,科创板,元器件,2019-07-22,广东,沪股通
奥福科技,688021.SH,科创板,汽车配件,2019-11-06,山东,N
ST瀚川,688022.SH,科创板,专用机械,2019-07-22,江苏,N
安恒信息,688023.SH,科创板,软件服务,2019-11-05,浙江,沪股通
杰普特,688025.SH,科创板,专用机械,2019-10-31,深圳,沪股通
洁特生物,688026.SH,科创板,医疗保健,2020-01-22,广东,N
国盾量子,688027.SH,科创板,通信设备,2020-07-09,安徽,沪股通
沃尔德,688028.SH,科创板,机械基件,2019-07-22,北京,沪股通
南微医学,688029.SH,科创板,医疗保健,2019-07-22,江苏,沪股通
山石网科,688030.SH,科创板,软件服务,2019-09-30,江苏,N
星环科技,688031.SH,科创板,软件服务,2022-10-18,上海,沪股通
禾迈股份,688032.SH,科创板,电气设备,2021-12-20,浙江,沪股通
*ST天宜,688033.SH,科创板,电气设备,2019-07-22,北京,N
德邦科技,688035.SH,科创板,半导体,2022-09-19,山东,沪股通
传音控股,688036.SH,科创板,通信设备,2019-09-30,深圳,沪股通
芯源微,688037.SH,科创板,半导体,2019-12-16,辽宁,沪股通
中科通达,688038.SH,科创板,软件服务,2021-07-13,湖北,N
当虹科技,688039.SH,科创板,软件服务,2019-12-11,浙江,沪股通
海光信息,688041.SH,科创板,半导体,2022-08-12,天津,沪股通
必易微,688045.SH,科创板,半导体,2022-05-26,深圳,N
药康生物,688046.SH,科创板,生物制药,2022-04-25,江苏,沪股通
龙芯中科,688047.SH,科创板,半导体,2022-06-24,北京,沪股通
长光华芯,688048.SH,科创板,半导体,2022-04-01,江苏,沪股通
炬芯科技,688049.SH,科创板,半导体,2021-11-29,广东,沪股通
爱博医疗,688050.SH,科创板,医疗保健,2020-07-29,北京,沪股通
佳华科技,688051.SH,科创板,软件服务,2020-03-20,北京,N
纳芯微,688052.SH,科创板,半导体,2022-04-22,江苏,沪股通
ST思科瑞,688053.SH,科创板,元器件,2022-07-08,四川,N
龙腾光电,688055.SH,科创板,元器件,2020-08-17,江苏,沪股通
莱伯泰科,688056.SH,科创板,电器仪表,2020-09-02,北京,N
金达莱,688057.SH,科创板,环境保护,2020-11-11,江西,N
宝兰德,688058.SH,科创板,软件服务,2019-11-01,北京,N
华锐精密,688059.SH,科创板,机械基件,2021-02-08,湖南,沪股通
云涌科技,688060.SH,科创板,IT设备,2020-07-10,江苏,N
灿瑞科技,688061.SH,科创板,半导体,2022-10-18,上海,N
迈威生物,688062.SH,科创板,生物制药,2022-01-18,上海,沪股通
派能科技,688063.SH,科创板,电气设备,2020-12-30,上海,沪股通
凯赛生物,688065.SH,科创板,化工原料,2020-08-12,上海,沪股通
*ST航图,688066.SH,科创板,软件服务,2019-07-22,北京,N
